split,model,scope,h,n,pinball_0.1,pinball_0.5,pinball_0.9,mae_p50,dir_hit
test,ar1,Capesize,7,256,0.04927958197953288,0.1040693096731882,0.04663970328611196,0.2081386193463764,0.49609375
test,ar1,Handysize,7,115,0.03198696067712435,0.05570799147296145,0.049607082016966314,0.1114159829459229,0.6260869565217392
test,ar1,POOLED,7,828,0.0415408968882533,0.061131310998214214,0.044482206311052194,0.12226262199642843,0.5797101449275363
test,ar1,Panamax,7,228,0.04144790714869305,0.042323134709071605,0.04014613554539764,0.08464626941814321,0.6535087719298246
test,ar1,Supramax,7,229,0.037780202309790394,0.034580299114088636,0.043813840384300286,0.06916059822817727,0.5764192139737991
test,lgbm,Capesize,7,256,0.04179661527370257,0.09944530226690924,0.052406737677236526,0.1988906045338185,0.62890625
test,lgbm,Handysize,7,115,0.03188785553664023,0.05337806559876187,0.030954860908878116,0.10675613119752374,0.6695652173913044
test,lgbm,POOLED,7,828,0.03401329097674935,0.06879440995375671,0.036032700874697246,0.13758881990751343,0.5942028985507246
test,lgbm,Panamax,7,228,0.030223840804760194,0.05382563196664168,0.02837869746152667,0.10765126393328336,0.5394736842105263
test,lgbm,Supramax,7,229,0.03015254291913385,0.05717490143724835,0.02789868756824327,0.1143498028744967,0.5720524017467249
test,lgbm_tuned,Capesize,7,256,0.04257661769029962,0.10198796878329333,0.04880999735209115,0.20397593756658666,0.62109375
test,lgbm_tuned,Handysize,7,115,0.03371512123406438,0.0595373943753313,0.03180364951279986,0.1190747887506626,0.6608695652173913
test,lgbm_tuned,POOLED,7,828,0.0361230567787392,0.07187279061239875,0.03528633079523795,0.1437455812247975,0.5905797101449275
test,lgbm_tuned,Panamax,7,228,0.033145435842687296,0.05699574512631514,0.028055903841002813,0.11399149025263028,0.5263157894736842
test,lgbm_tuned,Supramax,7,229,0.03308243917043341,0.05921362609860308,0.02911596858777755,0.11842725219720616,0.5851528384279476
test,lstm,Capesize,7,32,0.03681695588256314,0.07581379872766614,0.02996665343137258,0.15162759745533227,0.8125
test,lstm,Handysize,7,12,0.36282891142507095,0.24688859178037392,0.0760966765749672,0.49377718356074785,0.6666666666666666
test,lstm,POOLED,7,108,0.06146991809071923,0.09706545543477858,0.03532118262186036,0.19413091086955717,0.7037037037037037
test,lstm,Panamax,7,31,0.02040396877442732,0.08515988721389095,0.03096886692682223,0.1703197744277819,0.6774193548387096
test,lstm,Supramax,7,33,0.014367836255986586,0.07437600068714129,0.029774539991693955,0.14875200137428257,0.6363636363636364
test,rw,Capesize,7,256,0.047480602857655534,0.10343742298432441,0.05184313380995307,0.20687484596864883,0.4609375
test,rw,Handysize,7,115,0.04426266013013712,0.04184317726780612,0.04007902356254494,0.08368635453561224,0.3739130434782609
test,rw,POOLED,7,828,0.04522022665826457,0.060212269852925666,0.04375358935516774,0.12042453970585133,0.4190821256038647
test,rw,Panamax,7,228,0.0442240589211675,0.04653242679859578,0.040117624771514586,0.09306485359719156,0.39035087719298245
test,rw,Supramax,7,229,0.04416603490170868,0.034735460516846534,0.04017564879097338,0.06947092103369307,0.42358078602620086
test,xgb,Capesize,7,256,0.043666383756855776,0.09914307901451615,0.049211414458069765,0.1982861580290323,0.5546875
test,xgb,Handysize,7,115,0.02677170527406339,0.04486517164727521,0.03103387817056304,0.08973034329455042,0.6434782608695652
test,xgb,POOLED,7,828,0.028956912673989994,0.06064004719169613,0.033788160929041446,0.12128009438339225,0.5857487922705314
test,xgb,Panamax,7,228,0.022797527449109067,0.047382423550093526,0.025795918510937065,0.09476484710018705,0.5745614035087719
test,xgb,Supramax,7,229,0.019743000381635296,0.03871896741550346,0.02588694208677754,0.07743793483100692,0.6026200873362445
test,ar1,Capesize,30,256,0.11778718820050103,0.20412362834871847,0.04744523825108229,0.40824725669743694,0.44140625
test,ar1,Handysize,30,115,0.047280627816029895,0.17487385936214558,0.11723017156088812,0.34974771872429117,0.6173913043478261
test,ar1,POOLED,30,828,0.08738598480077664,0.12619835724191078,0.0773479263286949,0.25239671448382156,0.607487922705314
test,ar1,Panamax,30,228,0.08847476784848149,0.06629924680145438,0.0760360315284366,0.13259849360290876,0.6666666666666666
test,ar1,Supramax,30,229,0.07245657627693272,0.07427890323865441,0.0920542230999853,0.14855780647730882,0.7292576419213974
test,lgbm,Capesize,30,256,0.08789802765160376,0.16617247072087193,0.22839538351129954,0.33234494144174387,0.484375
test,lgbm,Handysize,30,115,0.07694500184881214,0.10777626500166211,0.06439303902051353,0.21555253000332422,0.7565217391304347
test,lgbm,POOLED,30,828,0.08061109743703801,0.10570226980230983,0.10668963129769415,0.21140453960461966,0.6823671497584541
test,lgbm,Panamax,30,228,0.07772104724935054,0.06354745202602205,0.04517136384695355,0.1270949040520441,0.7763157894736842
test,lgbm,Supramax,30,229,0.07718349176240864,0.07903160416875614,0.05312456808355278,0.15806320833751228,0.7729257641921398
test,lgbm_tuned,Capesize,30,256,0.08802173509291147,0.17084269651284512,0.25349197359042897,0.34168539302569023,0.484375
test,lgbm_tuned,Handysize,30,115,0.07809790002452785,0.08460433978055053,0.07485599400541948,0.16920867956110106,0.8260869565217391
test,lgbm_tuned,POOLED,30,828,0.08092575127586046,0.10540246743462613,0.11506086237793679,0.21080493486925225,0.6739130434782609
test,lgbm_tuned,Panamax,30,228,0.07799445097894525,0.07513328746670354,0.044309053918977895,0.1502665749334071,0.6929824561403509
test,lgbm_tuned,Supramax,30,229,0.07733172291094713,0.07282805288825499,0.05094124543943958,0.14565610577650998,0.7903930131004366
test,lstm,Capesize,30,32,0.07360508895733207,0.12594752297416278,0.10670919646828468,0.25189504594832557,0.71875
test,lstm,Handysize,30,12,0.09307921771347172,0.04486240457130608,0.022449767113989858,0.08972480914261216,1.0
test,lstm,POOLED,30,108,0.0649194795293443,0.08520943904172078,0.06458017647105029,0.17041887808344156,0.6018518518518519
test,lstm,Panamax,30,31,0.06267633138267555,0.07749759994870088,0.04284352146409802,0.15499519989740176,0.5483870967741935
test,lstm,Supramax,30,33,0.0483643653669684,0.06762194630506774,0.05946722427676979,0.13524389261013547,0.3939393939393939
test,rw,Capesize,30,256,0.110549422349784,0.16804527980090453,0.08290080717530153,0.33609055960180906,0.359375
test,rw,Handysize,30,115,0.09962937828371056,0.0975288048943886,0.08714848548295073,0.1950576097887772,0.3826086956521739
test,rw,POOLED,30,828,0.10368877057224676,0.11147754233527818,0.08515204685885491,0.22295508467055636,0.3272946859903382
test,rw,Panamax,30,228,0.10138416876327658,0.08425467605971507,0.08539369500338474,0.16850935211943013,0.3201754385964912
test,rw,Supramax,30,229,0.10035231847869795,0.08234905991313995,0.08642554528796334,0.1646981198262799,0.27074235807860264
test,xgb,Capesize,30,256,0.07996162849272459,0.1779077259896378,0.04968643566103484,0.3558154519792756,0.56640625
test,xgb,Handysize,30,115,0.06703818586338789,0.12657388964364094,0.08430116794550231,0.2531477792872819,0.7217391304347827
test,xgb,POOLED,30,828,0.06403943428744682,0.12434106175394828,0.06389091621561277,0.24868212350789656,0.7210144927536232
test,xgb,Panamax,30,228,0.057760620861506295,0.07387763854166163,0.06458996362535258,0.14775527708332326,0.7763157894736842
test,xgb,Supramax,30,229,0.05098542255526386,0.11358044708473514,0.06882447631873059,0.22716089416947027,0.8384279475982532
test,ar1,Capesize,90,256,0.16537309646434548,0.36407512865478014,0.04580728723252704,0.7281502573095603,0.3671875
test,ar1,Handysize,90,115,0.030526749114362036,0.30983612349164574,0.15446119851102022,0.6196722469832915,0.8521739130434782
test,ar1,POOLED,90,828,0.10641526105091127,0.20229486882854142,0.08667083106034239,0.40458973765708284,0.5809178743961353
test,ar1,Panamax,90,228,0.10718688097571726,0.08943609640304417,0.077801066649665,0.17887219280608835,0.5877192982456141
test,ar1,Supramax,90,229,0.07784776613391671,0.07980058634487014,0.10714018149146558,0.15960117268974028,0.6768558951965066
test,lgbm,Capesize,90,256,0.132048683867335,0.19265382298519856,0.26062486514637545,0.38530764597039713,0.63671875
test,lgbm,Handysize,90,115,0.11401453772757242,0.09002762111393979,0.10123286426489922,0.18005524222787958,0.8521739130434782
test,lgbm,POOLED,90,828,0.1176967838350141,0.12365435556290087,0.12882962804311573,0.24730871112580174,0.7065217391304348
test,lgbm,Panamax,90,228,0.11138893543494481,0.07556203736113304,0.04569618380223874,0.15112407472226608,0.7543859649122807
test,lgbm,Supramax,90,229,0.10978220448696786,0.11128867587523875,0.0781242674447767,0.2225773517504775,0.6637554585152838
test,lgbm_tuned,Capesize,90,256,0.12280173181431606,0.20885539905243614,0.2570153348470475,0.41771079810487227,0.66015625
test,lgbm_tuned,Handysize,90,115,0.10541597699818109,0.1358214149454993,0.08570861397051052,0.2716428298909986,0.8521739130434782
test,lgbm_tuned,POOLED,90,828,0.10832857039534553,0.13950242551143452,0.12177143711801543,0.27900485102286904,0.7403381642512077
test,lgbm_tuned,Panamax,90,228,0.10031584503740036,0.08750515524993735,0.0414188521632239,0.1750103104998747,0.8377192982456141
test,lgbm_tuned,Supramax,90,229,0.1015893577273496,0.11559121419356334,0.06869360398711288,0.2311824283871267,0.6768558951965066
test,lstm,Capesize,90,32,0.1847856374542253,0.3667616062290153,0.09688894015656921,0.7335232124580306,0.3125
test,lstm,Handysize,90,12,0.10991621216389379,0.33597611746441897,0.11192581228663834,0.6719522349288379,1.0
test,lstm,POOLED,90,108,0.14031080594829767,0.26988382706158576,0.07183331308038748,0.5397676541231715,0.4351851851851852
test,lstm,Panamax,90,31,0.15486883563924486,0.23270362301056813,0.050099665570697706,0.46540724602113626,0.2903225806451613
test,lstm,Supramax,90,33,0.09456055130598864,0.1868350363764282,0.05337431356182864,0.3736700727528564,0.48484848484848486
test,rw,Capesize,90,256,0.16448075470470874,0.20983252324799534,0.10020287927813622,0.4196650464959907,0.203125
test,rw,Handysize,90,115,0.14713563200318686,0.11411474656137846,0.10717034878055047,0.22822949312275692,0.14782608695652175
test,rw,POOLED,90,828,0.15190715390694903,0.15266372821806695,0.1056073766581549,0.3053274564361339,0.23792270531400966
