"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2025","1,007.00","1,007.00","1,007.00","1,007.00","","-0.79%"
"03/25/2025","1,015.00","1,015.00","1,015.00","1,015.00","","0.20%"
"03/24/2025","1,013.00","1,013.00","1,013.00","1,013.00","","0.10%"
"03/21/2025","1,012.00","1,012.00","1,012.00","1,012.00","","0.20%"
"03/20/2025","1,010.00","1,010.00","1,010.00","1,010.00","","16.90%"
"03/06/2025","864.00","864.00","864.00","864.00","","-0.46%"
"03/05/2025","868.00","868.00","868.00","868.00","","-0.91%"
"03/04/2025","876.00","876.00","876.00","876.00","","-1.24%"
"03/03/2025","887.00","887.00","887.00","887.00","","-0.89%"
"02/28/2025","895.00","895.00","895.00","895.00","","-0.89%"
"02/27/2025","903.00","903.00","903.00","903.00","","-0.44%"
"02/26/2025","907.00","907.00","907.00","907.00","","0.33%"
"02/25/2025","904.00","904.00","904.00","904.00","","1.01%"
"02/24/2025","895.00","895.00","895.00","895.00","","1.02%"
"02/21/2025","886.00","886.00","886.00","886.00","","2.31%"
"02/20/2025","866.00","866.00","866.00","866.00","","3.22%"
"02/19/2025","839.00","839.00","839.00","839.00","","3.20%"
"02/18/2025","813.00","813.00","813.00","813.00","","4.10%"
"02/17/2025","781.00","781.00","781.00","781.00","","2.09%"
"02/14/2025","765.00","765.00","765.00","765.00","","3.24%"
