week_end_date,route_code,index_name,value,unit,notes
2025-06-14,Capesize Brazil-North China,Capesize Brazil-North China freight rate,24,USD/tonne,+8% week-on-week
2025-06-14,Panamax Continent-Far East,Panamax Continent/ECSA to Far East freight rate,32,USD/tonne,approx $32 per tonne
2025-06-14,Supramax USG-Far East,Supramax USG to Far East freight rate,35,USD/tonne,nearly 7% higher than a month earlier
2025-06-14,,Ballaster count Panamax Far East/NOPAC,180,vessels,peaking at 180
2025-06-14,,Ballaster count Panamax Australasia,250,vessels,peaking at 250
2025-06-14,,Ballaster count Supramax Pacific,190,vessels,over 190 vessels (FE/NOPAC and Australasia)
2025-06-14,,Ballaster count Supramax North Atlantic,100,vessels,exceeding 100
2025-06-14,,Ballaster count Handysize Far East/North Pacific,170,vessels,approximately 170
2025-06-14,,Ballaster count Handysize Australasia,140,vessels,peaking at 140
2025-06-14,,Ballaster count Handysize North Atlantic,220,vessels,surpassed 220 ballasters
2025-06-14,,Iron ore tonne-days growth,7,percent,increase since mid-May; BCI +25% quarter-over-quarter
