week_end_date,route_code,index_name,value,unit,notes
2026-07-03,C3,C3 (Tubarao-Qingdao),30.11,USD/mt,below levels seen a month ago following earlier market correction
2026-07-03,C5,C5 (West Australia-Qingdao),12.25,USD/mt,below levels seen a month ago
2026-07-03,P1A_82,Panamax transatlantic round voyage,,index points,+385 on the week (level not stated)
2026-07-03,P2A_82,Panamax Pacific round voyage,,index points,+365 on the week (level not stated)
2026-07-03,,BCI,4100,index,+179 day-on-day; +460 week-on-week; 52-wk high 5517 / low 1654
2026-07-03,,C5TC,33678,USD/day,+1618 day-on-day
2026-07-03,,BDI,2717,index,lifted by Capesize
2026-07-03,,BPI,2203,index,+8 day-on-day; +93 week-on-week; above 5-yr avg 1894; 52-wk high 2521
2026-07-03,,P5TC,19825,USD/day,Panamax TC average
2026-07-03,,BSI,1673,index,-2 day-on-day; +3 week-on-week; 52-wk high 1718 / low 952
2026-07-03,,S10TC,19119,USD/day,-15 day-on-day
2026-07-03,,BHSI,942,index,-2 day-on-day; -3 week-on-week; 52-wk high 947 / low 588
2026-07-03,,HS7TC,16960,USD/day,-30 day-on-day
2026-07-03,,Tonne-mile index Panamax,103.0,%,
2026-07-03,,Tonne-mile index Post-Panamax,102.9,%,
2026-07-03,,Ballaster count Capesize global,624,vessels,+6% WoW
2026-07-03,,Ballaster count Panamax global,759,vessels,+13% WoW
2026-07-03,,Ballaster count Supramax global,705,vessels,+23% WoW
2026-07-03,,Ballaster count Handysize global,682,vessels,+12% WoW
