chokepoint_id,iso_year,iso_week,event_count,avg_tone,n_source_articles,retrieved_at
chokepoint1,2025,35,8,-5.435530098051093,134,2026-08-29T15:20:24.447965+00:00
chokepoint2,2025,35,18,-3.8683143995350937,161,2026-08-29T15:20:24.447965+00:00
chokepoint3,2025,35,29,-3.9885398439685624,132,2026-08-29T15:20:24.447965+00:00
chokepoint4,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint5,2025,35,112,-3.166653384231018,645,2026-08-29T15:20:24.447965+00:00
chokepoint6,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint7,2025,35,71,-5.490869237678346,367,2026-08-29T15:20:24.447965+00:00
chokepoint8,2025,35,5,-4.962125973371846,28,2026-08-29T15:20:24.447965+00:00
chokepoint9,2025,35,10,-3.5078920498920376,57,2026-08-29T15:20:24.447965+00:00
chokepoint10,2025,35,25,-2.5814158289800906,129,2026-08-29T15:20:24.447965+00:00
chokepoint11,2025,35,1,-3.01724137931034,4,2026-08-29T15:20:24.447965+00:00
chokepoint12,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint13,2025,35,1,1.70789163722026,4,2026-08-29T15:20:24.447965+00:00
chokepoint14,2025,35,2,-8.33333333333333,2,2026-08-29T15:20:24.447965+00:00
chokepoint15,2025,35,12,-7.636337305881315,159,2026-08-29T15:20:24.447965+00:00
chokepoint16,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint17,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint18,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint19,2025,35,1,4.42477876106194,8,2026-08-29T15:20:24.447965+00:00
chokepoint20,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint21,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint22,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint23,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
chokepoint24,2025,35,1,-8.18181818181818,10,2026-08-29T15:20:24.447965+00:00
chokepoint25,2025,35,0,,0,2026-08-29T15:20:24.447965+00:00
