date,bdi,bci,capesize_tc_avg_usd_day,bpi,panamax_tc_avg_usd_day,bsi,supramax_tc_avg_usd_day,bhsi,handysize_tc_avg_usd_day,source_url
2020-04-26,672,,8381,747,,388,,247,,https://www.handybulk.com/baltic-dry-index/2020/april/
2022-06-15,2284,,,,,,,,,https://www.handybulk.com/baltic-dry-index/2022/june/
2022-08-15,1477,,,,,,,,,https://www.handybulk.com/baltic-dry-index/2022/august/
2022-08-19,,,7188,,,,,,,https://www.handybulk.com/baltic-dry-index/2022/august/
2023-06-22,1240,,,,,,,,,https://www.handybulk.com/baltic-dry-index/2023/june/
2023-10-17,2058,,,,,,,,,https://www.handybulk.com/baltic-dry-index/2023/october/
2024-03-05,1262,1969,16328,1024,9218,876,,,,https://www.handybulk.com/baltic-dry-index/2024/march/
2024-09-24,2000,,,,,,,,,https://www.handybulk.com/baltic-dry-index/2024/september/
2024-12-06,,1530,12690,,9364,,,,,https://www.handybulk.com/baltic-dry-index/2024/december/
2024-12-14,1000,,,,,,,,,https://www.handybulk.com/baltic-dry-index/2024/december/
2024-12-17,1071,1340,11116,977,8796,955,,,,https://www.handybulk.com/baltic-dry-index/2024/december/
2024-12-18,1053,1308,10848,959,8627,949,,,,https://www.handybulk.com/baltic-dry-index/2024/december/
2025-02-07,793,812,,1029,9259,649,,,,https://www.handybulk.com/baltic-dry-index/2025/february/
2025-02-11,809,810,6716,1028,9248,694,,,,https://www.handybulk.com/baltic-dry-index/2025/february/
2025-02-12,801,779,6458,1011,9101,710,,,,https://www.handybulk.com/baltic-dry-index/2025/february/
2025-03-03,1229,1818,15074,1063,9569,895,,,,https://www.handybulk.com/baltic-dry-index/2025/march/
2025-03-18,1658,2768,22954,1403,12623,954,,,,https://www.handybulk.com/baltic-dry-index/2025/march/
2025-03-22,1643,2676,22190,1375,12379,1012,,,,https://www.handybulk.com/baltic-dry-index/2025/march/
2025-03-26,1652,2690,22311,1389,12504,1013,,,,https://www.handybulk.com/baltic-dry-index/2025/march/
2025-04-01,1598,2465,20442,1501,13511,988,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-02,1587,,20234,1499,13489,983,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-04,1540,2337,19383,1464,13176,973,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-08,1401,2017,16728,1356,12201,965,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-10,1259,1732,14367,1203,10824,948,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-12,1269,,14768,1189,10705,941,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-13,1274,1803,14952,1186,10673,939,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-15,1282,1827,15148,1190,10712,936,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-16,1263,1753,14535,1208,10873,937,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-17,1241,1656,13734,1238,11138,943,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-18,1261,1678,13913,1273,11460,950,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-23,1261,1661,13774,1292,11629,954,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-24,1300,1732,,1333,11996,964,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-25,1353,1846,15307,1372,12345,976,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-29,1403,1980,16420,1395,12555,975,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-04-30,1398,1978,16408,1389,12504,967,,,,https://www.handybulk.com/baltic-dry-index/2025/april/
2025-05-01,1386,1961,16265,1380,12423,957,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-03,1421,2079,17241,1368,12310,955,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-06,,2024,,,,,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-08,1374,1935,16050,1362,12257,961,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-09,1316,1752,14532,1363,12269,968,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-13,1304,1731,14354,1342,12075,970,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-15,1267,1648,13670,1295,11654,977,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-20,1347,1888,15656,1293,11635,980,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-21,1340,1863,15454,1294,11646,982,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-22,1337,1855,15383,1286,11572,988,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-23,1341,1882,15605,1269,,986,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-28,1296,1809,15005,1208,10869,974,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-30,1353,2059,17074,1137,10235,956,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-05-31,1418,2277,18885,1119,10071,951,,,,https://www.handybulk.com/baltic-dry-index/2025/may/
2025-06-03,1422,2300,19071,1107,9967,951,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
2025-06-07,1633,2842,23572,1246,11210,933,,,,https://www.handybulk.com/baltic-dry-index/2025/june/
