date,vessel_class,origin_text,dest_text,usd_per_day,route_family,series_id,source_url
2026-09-03,HANDYSIZE,Continent,East Coast South America (ECSA),8000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Continent,East Coast North America (ECNA),11000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,East Coast South America (ECSA),Continent,23000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,US Gulf (USG),Continent,15500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,North Coast South America (NCSA),Continent,15500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,South East Asia (SEA),China,18500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Indonesia,Japan-Korea,18500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,North China,South East Asia (SEA),17500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Japan-Korea,Indonesia,17500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Colombia East Coast,West Africa (WAFR),16500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,US East Coast (USEC),Turkiye,17000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,US East Coast (USEC),UK,17000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,US East Coast (USEC),Netherlands,18000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Thailand,Myanmar,16000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,ARAG via Baltic,Brazil,11000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Germany,Turkiye,16500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Poland,Turkiye,17000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Brazil,Norway,20000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,North France,West Africa (WAFR),15500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Japan,West Coast India (WCI),23500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Argentina,West Africa (WAFR),17000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Peru,Colombia West Coast,16500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Denmark via Baltic,West Africa (WAFR),16000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Indonesia via Indonesia,Taiwan,15500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,South Korea,Vietnam,18000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Australia,Indonesia,19500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,Indonesia,Taiwan,15500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,South Africa (SAF),West Coast India (WCI),13500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,South Africa (SAF),Germany,16500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,HANDYSIZE,South Africa (SAF),Vietnam,14500,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,SUPRAMAX,Continent,China,23000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,SUPRAMAX,Black Sea,China,23000,,,https://www.handybulk.com/ship-charter-rates/
2026-09-03,SUPRAMAX,East Mediterranean (EMED),China,23000,,,https://www.handybulk.com/ship-charter-rates/
