"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","614.00","614.00","614.00","614.00","","0.00%"
"03/28/2025","614.00","614.00","614.00","614.00","","1.15%"
"03/27/2025","607.00","607.00","607.00","607.00","","0.66%"
"03/26/2025","603.00","603.00","603.00","603.00","","0.33%"
"03/25/2025","601.00","601.00","601.00","601.00","","0.33%"
"03/24/2025","599.00","599.00","599.00","599.00","","0.50%"
"03/21/2025","596.00","596.00","596.00","596.00","","0.51%"
"03/20/2025","593.00","593.00","593.00","593.00","","7.23%"
"03/06/2025","553.00","553.00","553.00","553.00","","0.73%"
"03/05/2025","549.00","549.00","549.00","549.00","","0.18%"
"03/04/2025","548.00","548.00","548.00","548.00","","0.18%"
"03/03/2025","547.00","547.00","547.00","547.00","","0.00%"
"02/28/2025","547.00","547.00","547.00","547.00","","0.18%"
"02/27/2025","546.00","546.00","546.00","546.00","","-0.18%"
"02/26/2025","547.00","547.00","547.00","547.00","","0.74%"
"02/25/2025","543.00","543.00","543.00","543.00","","0.56%"
"02/24/2025","540.00","540.00","540.00","540.00","","1.12%"
"02/21/2025","534.00","534.00","534.00","534.00","","2.10%"
"02/20/2025","523.00","523.00","523.00","523.00","","2.35%"
"02/19/2025","511.00","511.00","511.00","511.00","","2.40%"
