"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","1,501.00","1,501.00","1,501.00","1,501.00","","0.27%"
"03/28/2025","1,497.00","1,497.00","1,497.00","1,497.00","","10.32%"
"03/20/2025","1,357.00","1,357.00","1,357.00","1,357.00","","36.79%"
"03/06/2025","992.00","992.00","992.00","992.00","","-0.80%"
"03/05/2025","1,000.00","1,000.00","1,000.00","1,000.00","","-2.34%"
"03/04/2025","1,024.00","1,024.00","1,024.00","1,024.00","","-2.01%"
"03/03/2025","1,045.00","1,045.00","1,045.00","1,045.00","","-1.69%"
"02/28/2025","1,063.00","1,063.00","1,063.00","1,063.00","","-2.66%"
"02/27/2025","1,092.00","1,092.00","1,092.00","1,092.00","","-3.19%"
"02/26/2025","1,128.00","1,128.00","1,128.00","1,128.00","","-2.42%"
"02/25/2025","1,156.00","1,156.00","1,156.00","1,156.00","","-1.78%"
"02/24/2025","1,177.00","1,177.00","1,177.00","1,177.00","","0.60%"
"02/21/2025","1,170.00","1,170.00","1,170.00","1,170.00","","2.27%"
"02/20/2025","1,144.00","1,144.00","1,144.00","1,144.00","","3.62%"
"02/19/2025","1,104.00","1,104.00","1,104.00","1,104.00","","5.95%"
"02/18/2025","1,042.00","1,042.00","1,042.00","1,042.00","","4.51%"
"02/17/2025","997.00","997.00","997.00","997.00","","1.73%"
"02/14/2025","980.00","980.00","980.00","980.00","","0.62%"
"02/13/2025","974.00","974.00","974.00","974.00","","-0.92%"
"02/12/2025","983.00","983.00","983.00","983.00","","-2.77%"
