"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2025","1,007.00","1,007.00","1,007.00","1,007.00","","-0.79%"
"03/25/2025","1,015.00","1,015.00","1,015.00","1,015.00","","0.20%"
"03/24/2025","1,013.00","1,013.00","1,013.00","1,013.00","","0.10%"
"03/21/2025","1,012.00","1,012.00","1,012.00","1,012.00","","0.20%"
"03/20/2025","1,010.00","1,010.00","1,010.00","1,010.00","","16.90%"
"03/06/2025","864.00","864.00","864.00","864.00","","-0.46%"
"03/05/2025","868.00","868.00","868.00","868.00","","-0.91%"
"03/04/2025","876.00","876.00","876.00","876.00","","-1.24%"
"03/03/2025","887.00","887.00","887.00","887.00","","-0.89%"
"02/28/2025","895.00","895.00","895.00","895.00","","-0.89%"
"02/27/2025","903.00","903.00","903.00","903.00","","-0.44%"
"02/26/2025","907.00","907.00","907.00","907.00","","0.33%"
"02/25/2025","904.00","904.00","904.00","904.00","","1.01%"
"02/24/2025","895.00","895.00","895.00","895.00","","1.02%"
"02/21/2025","886.00","886.00","886.00","886.00","","2.31%"
"02/20/2025","866.00","866.00","866.00","866.00","","3.22%"
"02/19/2025","839.00","839.00","839.00","839.00","","3.20%"
"02/18/2025","813.00","813.00","813.00","813.00","","4.10%"
"02/17/2025","781.00","781.00","781.00","781.00","","2.09%"
"02/14/2025","765.00","765.00","765.00","765.00","","3.24%"
"02/13/2025","741.00","741.00","741.00","741.00","","2.35%"
"02/12/2025","724.00","724.00","724.00","724.00","","1.97%"
"02/11/2025","710.00","710.00","710.00","710.00","","2.31%"
"02/10/2025","694.00","694.00","694.00","694.00","","2.51%"
"02/07/2025","677.00","677.00","677.00","677.00","","4.31%"
"02/06/2025","649.00","649.00","649.00","649.00","","4.85%"
"02/05/2025","619.00","619.00","619.00","619.00","","2.31%"
"02/04/2025","605.00","605.00","605.00","605.00","","0.50%"
"02/03/2025","602.00","602.00","602.00","602.00","","-0.17%"
"01/31/2025","603.00","603.00","603.00","603.00","","-0.33%"
"01/30/2025","605.00","605.00","605.00","605.00","","-1.14%"
"01/29/2025","612.00","612.00","612.00","612.00","","-1.13%"
"01/28/2025","619.00","619.00","619.00","619.00","","-1.59%"
"01/27/2025","629.00","629.00","629.00","629.00","","-1.56%"
"01/24/2025","639.00","639.00","639.00","639.00","","-2.29%"
"01/23/2025","654.00","654.00","654.00","654.00","","-2.97%"
"01/22/2025","674.00","674.00","674.00","674.00","","-4.13%"
"01/21/2025","703.00","703.00","703.00","703.00","","-3.30%"
"01/20/2025","727.00","727.00","727.00","727.00","","-2.68%"
"01/17/2025","747.00","747.00","747.00","747.00","","-2.35%"
