date,bdi,bci,capesize_tc_avg_usd_day,bpi,panamax_tc_avg_usd_day,bsi,supramax_tc_avg_usd_day,bhsi,handysize_tc_avg_usd_day,source
2026-08-20,2791,4429,40170,2088,18790,1637,20698,871,15670,handybulk.com/baltic-dry-index
2026-08-19,2776,4376,39684,2107,18964,1634,20651,867,15605,handybulk.com/baltic-dry-index
2026-08-18,2815,4452,40375,2155,19391,1631,20614,866,15585,handybulk.com/baltic-dry-index
2026-08-17,2878,4590,41625,2206,19853,1628,20572,864,15553,handybulk.com/baltic-dry-index
2026-08-14,2863,4538,41155,2228,20055,1622,20508,866,15579,handybulk.com/baltic-dry-index
2026-08-13,2844,4469,40528,2262,20361,1613,20392,865,15570,handybulk.com/baltic-dry-index
2026-08-12,2939,4712,42740,2302,20716,1603,20268,867,15603,handybulk.com/baltic-dry-index
2026-08-11,3046,5001,45359,2312,20813,1600,20231,870,15660,handybulk.com/baltic-dry-index
2026-08-10,3083,5105,46300,2306,20755,1603,20267,872,15704,handybulk.com/baltic-dry-index
2026-08-07,3089,5128,46512,2298,20684,1603,20258,874,15729,handybulk.com/baltic-dry-index
2026-08-06,3057,5052,45816,2275,20473,1608,20326,876,15763,handybulk.com/baltic-dry-index
2026-08-05,3063,5094,46201,2236,20128,1612,20381,879,15821,handybulk.com/baltic-dry-index
2026-08-04,2936,4778,43334,2187,19686,1613,20390,881,15864,handybulk.com/baltic-dry-index
2026-08-03,2843,4564,41395,2135,19212,1610,20347,884,15906,handybulk.com/baltic-dry-index
