date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-07-05,2019,7,5,port0,Abbot Point,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,123352,0,0,0,123352,123352,292001
2019-07-06,2019,7,6,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,47304,0,0,0,47304,47304,292002
2019-07-07,2019,7,7,port0,Abbot Point,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,64492,0,0,0,64492,64492,292003
2019-07-08,2019,7,8,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,58378,0,0,0,58378,58378,292004
2019-07-09,2019,7,9,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,77634,0,0,0,77634,77634,292005
2019-07-10,2019,7,10,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,164736,0,0,0,164736,164736,292006
2019-07-11,2019,7,11,port0,Abbot Point,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292007
2019-07-12,2019,7,12,port0,Abbot Point,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,114008,0,0,0,114008,114008,292008
2019-07-13,2019,7,13,port0,Abbot Point,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,176526,0,0,0,176526,176526,292009
2019-07-14,2019,7,14,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,42872,0,0,0,42872,42872,292010
2019-07-15,2019,7,15,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,163073,0,0,0,163073,163073,292011
2019-07-16,2019,7,16,port0,Abbot Point,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292012
2019-07-17,2019,7,17,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,36042,0,0,0,36042,36042,292013
2019-07-18,2019,7,18,port0,Abbot Point,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292014
2019-07-19,2019,7,19,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,110699,0,0,0,110699,110699,292015
2019-07-20,2019,7,20,port0,Abbot Point,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292016
2019-07-21,2019,7,21,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,79324,0,0,0,79324,79324,292017
2019-07-22,2019,7,22,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,98269,0,0,0,98269,98269,292018
2019-07-23,2019,7,23,port0,Abbot Point,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,59165,0,0,0,59165,59165,292019
2019-07-24,2019,7,24,port0,Abbot Point,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,124635,0,0,0,124635,124635,292020
2019-07-25,2019,7,25,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,24379,0,0,0,24379,24379,292021
2019-07-26,2019,7,26,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,80512,0,0,0,80512,80512,292022
2019-07-27,2019,7,27,port0,Abbot Point,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292023
2019-07-28,2019,7,28,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,88662,0,0,0,88662,88662,292024
2019-07-29,2019,7,29,port0,Abbot Point,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,115891,0,0,0,115891,115891,292025
2019-07-30,2019,7,30,port0,Abbot Point,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,248566,0,0,0,248566,248566,292026
2019-07-31,2019,7,31,port0,Abbot Point,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292027
