date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-09-29,2019,9,29,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288001
2019-09-30,2019,9,30,port28,Albany,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,32032,0,0,0,32032,32032,1288002
2019-10-01,2019,10,1,port28,Albany,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,32539,0,0,0,32539,32539,1288003
2019-10-02,2019,10,2,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288004
2019-10-03,2019,10,3,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288005
2019-10-04,2019,10,4,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288006
2019-10-05,2019,10,5,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288007
2019-10-06,2019,10,6,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288008
2019-10-07,2019,10,7,port28,Albany,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,31690,0,0,0,31690,31690,1288009
2019-10-08,2019,10,8,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288010
2019-10-09,2019,10,9,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288011
2019-10-10,2019,10,10,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288012
2019-10-11,2019,10,11,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288013
2019-10-12,2019,10,12,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288014
2019-10-13,2019,10,13,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288015
2019-10-14,2019,10,14,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288016
2019-10-15,2019,10,15,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288017
2019-10-16,2019,10,16,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288018
2019-10-17,2019,10,17,port28,Albany,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288019
