date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port45,Amsterdam,The Netherlands,NLD,1,1,6,1,15,9,24,2660,36069,3340,327,45884,42398,88282,0,7534,4227,31,13722,11793,25515,54062
2019-01-02,2019,1,2,port45,Amsterdam,The Netherlands,NLD,0,2,3,0,13,5,18,0,81061,1259,0,17637,82320,99958,0,43322,2102,0,44288,45424,89713,54063
2019-01-03,2019,1,3,port45,Amsterdam,The Netherlands,NLD,0,3,4,0,15,7,22,0,28415,1303,0,29285,29719,59004,0,21485,1996,0,87771,23481,111252,54064
2019-01-04,2019,1,4,port45,Amsterdam,The Netherlands,NLD,1,2,9,0,13,12,25,0,41090,1303,0,55095,42393,97489,0,48326,7083,0,45054,55410,100464,54065
2019-01-05,2019,1,5,port45,Amsterdam,The Netherlands,NLD,1,0,3,0,25,4,29,815,0,0,0,82751,815,83566,0,0,5862,0,55550,5862,61412,54066
2019-01-06,2019,1,6,port45,Amsterdam,The Netherlands,NLD,0,3,3,0,13,6,19,0,176226,5014,0,30982,181241,212223,0,0,0,0,12700,0,12700,54067
2019-01-07,2019,1,7,port45,Amsterdam,The Netherlands,NLD,2,4,8,1,14,15,29,1431,127566,2223,908,56317,132129,188446,0,0,6559,199,49907,6758,56666,54068
2019-01-08,2019,1,8,port45,Amsterdam,The Netherlands,NLD,0,1,6,0,14,7,21,0,0,3444,0,40657,3444,44101,0,3791,3524,0,64083,7316,71399,54069
2019-01-09,2019,1,9,port45,Amsterdam,The Netherlands,NLD,0,2,4,1,17,7,24,0,143697,1111,327,83833,145137,228970,0,0,5149,31,55974,5180,61154,54070
2019-01-10,2019,1,10,port45,Amsterdam,The Netherlands,NLD,0,2,9,0,17,11,28,0,70809,3767,0,18290,74576,92867,0,1270,2254,0,39607,3525,43132,54071
2019-01-11,2019,1,11,port45,Amsterdam,The Netherlands,NLD,0,2,7,0,16,9,25,0,132156,9477,0,74740,141633,216374,0,0,2490,0,54554,2490,57044,54072
2019-01-12,2019,1,12,port45,Amsterdam,The Netherlands,NLD,1,0,4,1,19,6,25,324,0,4628,0,53182,4953,58135,1275,0,1724,0,57644,2999,60644,54073
2019-01-13,2019,1,13,port45,Amsterdam,The Netherlands,NLD,0,3,5,0,9,8,17,0,101177,6142,0,21729,107319,129048,0,7534,2133,0,43491,9668,53160,54074
2019-01-14,2019,1,14,port45,Amsterdam,The Netherlands,NLD,0,3,9,0,13,12,25,0,76388,4144,0,63834,80533,144368,0,70084,8336,0,33317,78421,111738,54075
2019-01-15,2019,1,15,port45,Amsterdam,The Netherlands,NLD,1,2,5,1,20,9,29,2660,35027,13013,579,141969,51281,193250,0,844,6581,0,134088,7426,141514,54076
2019-01-16,2019,1,16,port45,Amsterdam,The Netherlands,NLD,0,1,9,0,11,10,21,0,51112,8187,0,26413,59300,85713,0,0,4930,0,57113,4930,62043,54077
2019-01-17,2019,1,17,port45,Amsterdam,The Netherlands,NLD,0,3,7,1,14,11,25,0,0,3171,0,62752,3171,65924,0,22909,3615,0,71022,26524,97547,54078
2019-01-18,2019,1,18,port45,Amsterdam,The Netherlands,NLD,2,1,5,1,16,9,25,324,74265,574,908,73931,76073,150004,1275,0,3024,199,16045,4499,20545,54079
2019-01-19,2019,1,19,port45,Amsterdam,The Netherlands,NLD,1,2,4,0,15,7,22,3464,107653,1377,0,53617,112495,166113,0,0,1211,0,96358,1211,97570,54080
2019-01-20,2019,1,20,port45,Amsterdam,The Netherlands,NLD,2,1,5,0,22,8,30,553,70478,3366,0,73463,74398,147861,1295,0,2482,0,94278,3778,98056,54081
2019-01-21,2019,1,21,port45,Amsterdam,The Netherlands,NLD,0,3,3,0,12,6,18,0,138990,1303,0,42758,140293,183052,0,0,1211,0,107238,1211,108450,54082
2019-01-22,2019,1,22,port45,Amsterdam,The Netherlands,NLD,0,1,4,0,22,5,27,0,1264,2032,0,43315,3296,46611,0,0,2718,0,9278,2718,11997,54083
2019-01-23,2019,1,23,port45,Amsterdam,The Netherlands,NLD,0,3,8,1,14,12,26,0,81061,2267,2488,64267,85817,150085,0,0,7372,0,8894,7372,16266,54084
2019-01-24,2019,1,24,port45,Amsterdam,The Netherlands,NLD,1,2,6,0,16,9,25,0,423,2957,0,54138,3381,57520,1295,0,5814,0,68689,7110,75800,54085
2019-01-25,2019,1,25,port45,Amsterdam,The Netherlands,NLD,0,2,5,1,13,8,21,0,82079,3310,0,32392,85390,117782,0,0,975,1517,99096,2493,101589,54086
2019-01-26,2019,1,26,port45,Amsterdam,The Netherlands,NLD,1,1,9,1,12,12,24,0,72654,16636,908,19675,90199,109874,1948,0,4569,199,105196,6718,111914,54087
2019-01-27,2019,1,27,port45,Amsterdam,The Netherlands,NLD,1,2,4,1,23,8,31,932,82875,10828,435,150244,95070,245315,472,0,232,0,51305,705,52010,54088
2019-01-28,2019,1,28,port45,Amsterdam,The Netherlands,NLD,0,1,8,0,16,9,25,0,66267,2134,0,64695,68401,133097,0,0,5744,0,111023,5744,116767,54089
2019-01-29,2019,1,29,port45,Amsterdam,The Netherlands,NLD,2,5,6,0,15,13,28,2660,221301,2301,0,31965,226263,258228,2673,19619,5686,0,91274,27978,119252,54090
2019-01-30,2019,1,30,port45,Amsterdam,The Netherlands,NLD,0,3,6,0,22,9,31,0,268307,3144,0,70405,271451,341857,0,0,3459,0,62592,3459,66051,54091
2019-01-31,2019,1,31,port45,Amsterdam,The Netherlands,NLD,0,1,4,0,17,5,22,0,36069,382,0,80983,36452,117435,0,7534,3000,0,6651,10535,17187,54092
2019-02-01,2019,2,1,port45,Amsterdam,The Netherlands,NLD,2,2,5,0,20,9,29,0,89451,2129,0,55991,91581,147572,2503,0,1850,0,50072,4354,54426,54093
2019-02-02,2019,2,2,port45,Amsterdam,The Netherlands,NLD,0,0,7,0,13,7,20,0,0,33302,0,66749,33302,100052,0,0,3123,0,41776,3123,44899,54094
2019-02-03,2019,2,3,port45,Amsterdam,The Netherlands,NLD,0,2,7,0,10,9,19,0,75688,4187,0,76071,79875,155946,0,7534,2081,0,68272,9616,77888,54095
2019-02-04,2019,2,4,port45,Amsterdam,The Netherlands,NLD,1,1,3,1,16,6,22,0,0,2011,0,55727,2011,57738,3778,0,978,0,61121,4757,65878,54096
2019-02-05,2019,2,5,port45,Amsterdam,The Netherlands,NLD,2,2,8,1,20,13,33,0,1692,2415,908,142087,5015,147103,978,30855,5774,199,7187,37807,44995,54097
