date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port57,Antwerp,Belgium,BEL,11,3,6,1,28,21,49,380827,2912,5533,4025,71264,393299,464564,108436,44937,4079,0,25819,157453,183272,1889321
2019-01-02,2019,1,2,port57,Antwerp,Belgium,BEL,15,1,10,1,41,27,68,227291,0,6889,0,110331,234180,344512,210111,202021,7797,0,35672,419931,455603,1889322
2019-01-03,2019,1,3,port57,Antwerp,Belgium,BEL,13,2,8,0,52,23,75,182456,0,4630,0,332826,187086,519913,304837,27049,7574,0,153089,339461,492551,1889323
2019-01-04,2019,1,4,port57,Antwerp,Belgium,BEL,9,0,4,3,39,16,55,265300,0,3812,374,168143,269487,437630,25045,0,0,4019,55990,29065,85055,1889324
2019-01-05,2019,1,5,port57,Antwerp,Belgium,BEL,13,0,4,1,41,18,59,271126,0,731,374,108687,272232,380920,129074,0,2652,1760,125315,133487,258802,1889325
2019-01-06,2019,1,6,port57,Antwerp,Belgium,BEL,16,2,5,1,33,24,57,206211,44566,2107,0,80194,252885,333080,311865,7403,4356,4426,43305,328052,371357,1889326
2019-01-07,2019,1,7,port57,Antwerp,Belgium,BEL,14,1,12,2,42,29,71,319643,0,35302,6723,135461,361669,497131,360386,0,6076,0,105531,366462,471994,1889327
2019-01-08,2019,1,8,port57,Antwerp,Belgium,BEL,13,0,6,3,35,22,57,82358,0,2463,374,108508,85196,193704,128914,0,2824,1760,59647,133500,193147,1889328
2019-01-09,2019,1,9,port57,Antwerp,Belgium,BEL,10,1,4,5,27,20,47,25830,24823,1463,2319,24346,54435,78782,136278,0,3518,4937,23909,144734,168644,1889329
2019-01-10,2019,1,10,port57,Antwerp,Belgium,BEL,20,3,17,4,57,44,101,272303,0,5646,969,241292,278920,520213,270749,98503,51130,2027,127715,422411,550126,1889330
2019-01-11,2019,1,11,port57,Antwerp,Belgium,BEL,14,0,7,5,39,26,65,169959,0,4200,975,68179,175134,243314,171855,0,10410,4547,40577,186813,227390,1889331
2019-01-12,2019,1,12,port57,Antwerp,Belgium,BEL,14,3,5,2,41,24,65,273243,22994,2985,0,99045,299223,398269,318264,0,6965,0,67219,325229,392449,1889332
2019-01-13,2019,1,13,port57,Antwerp,Belgium,BEL,11,5,5,1,32,22,54,192161,95138,1912,3401,126845,292613,419459,114464,357,5310,0,99138,120132,219270,1889333
2019-01-14,2019,1,14,port57,Antwerp,Belgium,BEL,7,3,12,5,49,27,76,56686,33815,6778,6922,81680,104203,185884,118327,59,6651,4036,135892,129074,264966,1889334
2019-01-15,2019,1,15,port57,Antwerp,Belgium,BEL,6,1,3,2,36,12,48,0,66230,1614,5469,167793,73315,241108,201456,0,3359,966,23877,205782,229659,1889335
2019-01-16,2019,1,16,port57,Antwerp,Belgium,BEL,21,0,11,5,44,37,81,290651,0,18596,374,173172,309622,482795,360127,0,14262,2275,222497,376665,599163,1889336
2019-01-17,2019,1,17,port57,Antwerp,Belgium,BEL,11,1,12,2,33,26,59,143089,0,11061,0,116262,154150,270413,193443,0,12327,2052,33163,207823,240987,1889337
2019-01-18,2019,1,18,port57,Antwerp,Belgium,BEL,19,3,6,2,57,30,87,244333,101870,1735,0,136717,347939,484657,462067,0,6817,2859,59323,471745,531068,1889338
2019-01-19,2019,1,19,port57,Antwerp,Belgium,BEL,13,0,10,3,46,26,72,214396,0,14317,552,159697,229266,388964,242379,0,4886,0,115160,247265,362425,1889339
2019-01-20,2019,1,20,port57,Antwerp,Belgium,BEL,16,3,8,2,38,29,67,198702,25471,4660,110,102896,228944,331841,118303,0,5042,2138,128916,125484,254401,1889340
2019-01-21,2019,1,21,port57,Antwerp,Belgium,BEL,9,4,12,3,31,28,59,202464,42540,15517,0,114163,260522,374685,184160,6788,3237,4011,62795,198197,260993,1889341
2019-01-22,2019,1,22,port57,Antwerp,Belgium,BEL,13,1,13,3,46,30,76,243491,94060,14547,4688,53024,356787,409812,293362,0,6050,0,108379,299412,407792,1889342
2019-01-23,2019,1,23,port57,Antwerp,Belgium,BEL,17,0,9,4,50,30,80,190612,0,4006,4929,262498,199547,462045,138406,0,23057,2986,116798,164450,281249,1889343
2019-01-24,2019,1,24,port57,Antwerp,Belgium,BEL,16,1,9,3,39,29,68,52309,0,3816,748,107011,56874,163886,357337,0,9808,3521,64483,370667,435151,1889344
2019-01-25,2019,1,25,port57,Antwerp,Belgium,BEL,12,2,4,4,40,22,62,262611,42819,2687,1260,38782,309378,348160,152142,0,1695,8916,90992,162755,253748,1889345
2019-01-26,2019,1,26,port57,Antwerp,Belgium,BEL,7,1,14,2,49,24,73,16438,0,10488,916,272179,27843,300022,181675,31130,6782,5014,202686,224602,427289,1889346
2019-01-27,2019,1,27,port57,Antwerp,Belgium,BEL,12,3,9,3,20,27,47,316228,55115,11081,509,57016,382935,439952,110410,7824,22755,2171,40480,143161,183642,1889347
2019-01-28,2019,1,28,port57,Antwerp,Belgium,BEL,7,1,8,3,36,19,55,38673,0,7201,748,70728,46623,117351,328433,0,6268,7739,34306,342441,376748,1889348
2019-01-29,2019,1,29,port57,Antwerp,Belgium,BEL,16,1,6,6,42,29,71,273928,0,7435,2896,187389,284261,471650,387106,0,712,7314,109644,395133,504778,1889349
2019-01-30,2019,1,30,port57,Antwerp,Belgium,BEL,16,1,12,3,49,32,81,203715,0,13368,374,117653,217457,335111,353430,0,19396,1760,49542,374587,424129,1889350
2019-01-31,2019,1,31,port57,Antwerp,Belgium,BEL,15,0,9,3,35,27,62,160806,0,4248,0,98414,165054,263469,211716,0,9872,8809,57967,230397,288365,1889351
2019-02-01,2019,2,1,port57,Antwerp,Belgium,BEL,14,2,8,4,49,28,77,255419,31252,7035,600,175485,294309,469794,201350,8392,4061,5056,95270,218860,314130,1889352
2019-02-02,2019,2,2,port57,Antwerp,Belgium,BEL,10,1,5,1,34,17,51,43743,0,1912,0,236822,45655,282478,286644,25613,4639,0,64953,316896,381850,1889353
2019-02-03,2019,2,3,port57,Antwerp,Belgium,BEL,14,1,4,2,27,21,48,372156,35869,3153,374,41128,411553,452681,117415,0,3170,1760,53547,122346,175894,1889354
2019-02-04,2019,2,4,port57,Antwerp,Belgium,BEL,9,1,8,1,41,19,60,166775,0,3092,0,53577,169867,223444,307347,27053,8615,0,122912,343015,465928,1889355
2019-02-05,2019,2,5,port57,Antwerp,Belgium,BEL,14,1,10,3,42,28,70,281751,789,4797,4626,70495,291964,362459,213838,59,11833,4479,97782,230210,327993,1889356
2019-02-06,2019,2,6,port57,Antwerp,Belgium,BEL,19,1,12,6,35,38,73,300975,0,9848,4154,88809,314977,403786,281640,0,17615,6808,58678,306064,364743,1889357
2019-02-07,2019,2,7,port57,Antwerp,Belgium,BEL,11,1,12,1,31,25,56,65075,77361,4218,0,245055,146655,391711,255313,0,12172,1842,54711,269328,324040,1889358
2019-02-08,2019,2,8,port57,Antwerp,Belgium,BEL,17,0,11,1,40,29,69,260781,0,32442,600,59055,293824,352880,337339,0,26041,966,228046,364347,592394,1889359
2019-02-09,2019,2,9,port57,Antwerp,Belgium,BEL,6,0,7,4,43,17,60,53732,0,6548,600,106698,60881,167580,71192,0,3339,2907,58360,77439,135800,1889360
2019-02-10,2019,2,10,port57,Antwerp,Belgium,BEL,13,0,11,3,44,27,71,239720,0,9200,600,291497,249521,541019,199060,0,5374,1840,169436,206275,375711,1889361
2019-02-11,2019,2,11,port57,Antwerp,Belgium,BEL,12,1,15,3,36,31,67,69895,14568,30729,1349,71131,116542,187674,223133,0,14472,4487,47724,242093,289818,1889362
2019-02-12,2019,2,12,port57,Antwerp,Belgium,BEL,16,1,9,3,35,29,64,248851,25878,3855,3996,69754,282581,352336,222976,0,8237,966,152893,232180,385073,1889363
2019-02-13,2019,2,13,port57,Antwerp,Belgium,BEL,12,2,7,3,54,24,78,55509,0,3152,3269,203425,61931,265357,251465,46296,3156,4426,92511,305344,397856,1889364
2019-02-14,2019,2,14,port57,Antwerp,Belgium,BEL,13,1,12,5,31,31,62,206374,0,8950,6562,118613,221887,340501,282471,21084,8932,3575,85577,316063,401641,1889365
2019-02-15,2019,2,15,port57,Antwerp,Belgium,BEL,15,3,5,5,43,28,71,203209,67201,3056,600,104525,274068,378593,191779,7403,6391,7834,37185,213409,250594,1889366
2019-02-16,2019,2,16,port57,Antwerp,Belgium,BEL,11,2,12,2,52,27,79,330857,20603,13206,1924,159576,366592,526168,166623,48649,6303,5570,129859,227146,357006,1889367
