date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port1048,Bahia Blanca,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132059
2019-01-02,2019,1,2,port1048,Bahia Blanca,Argentina,ARG,0,3,0,0,1,3,4,0,0,0,0,2216,0,2216,0,46052,0,0,5835,46052,51887,3132060
2019-01-03,2019,1,3,port1048,Bahia Blanca,Argentina,ARG,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,43122,0,0,0,43122,43122,3132061
2019-01-04,2019,1,4,port1048,Bahia Blanca,Argentina,ARG,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132062
2019-01-05,2019,1,5,port1048,Bahia Blanca,Argentina,ARG,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2262,11790,0,0,0,14052,14052,3132063
2019-01-06,2019,1,6,port1048,Bahia Blanca,Argentina,ARG,1,2,0,0,0,3,3,2730,0,0,0,0,2730,2730,0,58802,0,0,0,58802,58802,3132064
2019-01-07,2019,1,7,port1048,Bahia Blanca,Argentina,ARG,0,4,0,0,1,4,5,0,0,0,0,0,0,0,0,69179,0,0,198,69179,69378,3132065
2019-01-08,2019,1,8,port1048,Bahia Blanca,Argentina,ARG,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,23153,0,23153,3132066
2019-01-09,2019,1,9,port1048,Bahia Blanca,Argentina,ARG,0,2,1,0,1,3,4,0,0,776,0,0,776,776,0,87565,0,0,11614,87565,99179,3132067
2019-01-10,2019,1,10,port1048,Bahia Blanca,Argentina,ARG,0,1,1,0,0,2,2,0,0,786,0,0,786,786,0,68628,0,0,0,68628,68628,3132068
2019-01-11,2019,1,11,port1048,Bahia Blanca,Argentina,ARG,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21031,0,21031,3132069
2019-01-12,2019,1,12,port1048,Bahia Blanca,Argentina,ARG,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16904,0,0,0,16904,16904,3132070
2019-01-13,2019,1,13,port1048,Bahia Blanca,Argentina,ARG,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6161,0,0,0,0,6161,6161,3132071
2019-01-14,2019,1,14,port1048,Bahia Blanca,Argentina,ARG,0,0,1,0,1,1,2,0,0,963,0,0,963,963,0,0,0,0,0,0,0,3132072
2019-01-15,2019,1,15,port1048,Bahia Blanca,Argentina,ARG,1,1,0,0,0,2,2,459,0,0,0,0,459,459,2021,22449,0,0,0,24470,24470,3132073
2019-01-16,2019,1,16,port1048,Bahia Blanca,Argentina,ARG,0,2,0,0,1,2,3,0,0,0,0,264,0,264,0,88356,0,0,0,88356,88356,3132074
2019-01-17,2019,1,17,port1048,Bahia Blanca,Argentina,ARG,1,0,0,0,0,1,1,459,0,0,0,0,459,459,2021,0,0,0,0,2021,2021,3132075
