"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2022-01-19","port102","Balikpapan","Indonesia","IDN","1","1","1","0","3","3","6","2034","0","0","0","2299","2034","4334","0","72088","0","0","10494","72088","82583"
"2022-01-20","port102","Balikpapan","Indonesia","IDN","1","0","0","0","5","1","6","573","0","0","0","3665","573","4238","0","0","0","0","29927","0","29927"
"2022-01-21","port102","Balikpapan","Indonesia","IDN","0","1","2","0","3","3","6","0","0","4524","0","26127","4524","30651","0","47240","1085","0","17131","48325","65457"
"2022-01-22","port102","Balikpapan","Indonesia","IDN","0","1","1","1","3","3","6","0","0","1437","584","17335","2021","19357","0","0","0","115","10494","115","10609"
"2022-01-23","port102","Balikpapan","Indonesia","IDN","2","1","0","0","6","3","9","2640","0","0","0","73975","2640","76616","278","73320","0","0","18356","73598","91954"
"2022-01-24","port102","Balikpapan","Indonesia","IDN","0","1","1","1","10","3","13","0","0","1897","0","11058","1897","12955","0","63953","0","0","73298","63953","137252"
"2022-01-25","port102","Balikpapan","Indonesia","IDN","1","2","2","1","2","6","8","1357","0","2769","584","1325","4710","6035","0","145092","1085","115","10228","146292","156520"
"2022-01-26","port102","Balikpapan","Indonesia","IDN","0","0","1","0","4","1","5","0","0","962","0","0","962","962","0","0","1085","0","62275","1085","63360"
"2022-01-27","port102","Balikpapan","Indonesia","IDN","2","1","0","0","7","3","10","3502","0","0","0","31648","3502","35150","278","88389","0","0","26696","88667","115364"
"2022-01-28","port102","Balikpapan","Indonesia","IDN","0","2","0","0","5","2","7","0","0","0","0","6361","0","6361","0","87488","0","0","36421","87488","123910"
"2022-01-29","port102","Balikpapan","Indonesia","IDN","0","1","1","0","5","2","7","0","0","0","0","35972","0","35972","0","33298","5101","0","10996","38399","49395"
"2022-01-30","port102","Balikpapan","Indonesia","IDN","3","1","1","0","6","5","11","2182","0","569","0","4293","2751","7045","689","64759","0","0","21738","65448","87187"
"2022-01-31","port102","Balikpapan","Indonesia","IDN","0","2","2","0","3","4","7","0","0","208","0","0","208","208","0","166481","0","0","24790","166481","191271"
"2022-02-01","port102","Balikpapan","Indonesia","IDN","0","0","0","0","4","0","4","0","0","0","0","6247","0","6247","0","0","0","0","18265","0","18265"
"2022-02-02","port102","Balikpapan","Indonesia","IDN","1","0","1","1","6","3","9","507","0","1208","584","39830","2300","42130","0","0","0","115","43262","115","43377"
"2022-02-03","port102","Balikpapan","Indonesia","IDN","1","2","0","1","3","4","7","1250","0","0","0","29917","1250","31167","0","86143","0","0","6636","86143","92780"
"2022-02-04","port102","Balikpapan","Indonesia","IDN","0","0","0","1","1","1","2","0","0","0","0","3049","0","3049","0","0","0","0","6636","0","6636"
"2022-02-05","port102","Balikpapan","Indonesia","IDN","1","0","1","0","5","2","7","890","0","962","0","0","1853","1853","0","0","1085","0","50861","1085","51946"
"2022-02-06","port102","Balikpapan","Indonesia","IDN","1","1","1","0","3","3","6","2320","0","1037","0","3998","3358","7357","0","15242","0","0","17296","15242","32538"
"2022-02-07","port102","Balikpapan","Indonesia","IDN","0","1","3","0","6","4","10","0","0","3702","0","8399","3702","12102","0","76746","0","0","82919","76746","159666"
"2022-02-08","port102","Balikpapan","Indonesia","IDN","1","1","1","0","6","3","9","0","0","962","0","2914","962","3876","0","0","1085","0","48811","1085","49897"
"2022-02-09","port102","Balikpapan","Indonesia","IDN","2","2","1","0","4","5","9","3424","0","153","0","0","3577","3577","278","121415","0","0","38700","121693","160394"
"2022-02-10","port102","Balikpapan","Indonesia","IDN","0","0","0","0","4","0","4","0","0","0","0","2299","0","2299","0","0","0","0","14970","0","14970"
"2022-02-11","port102","Balikpapan","Indonesia","IDN","0","0","0","2","3","2","5","0","0","0","951","29875","951","30826","0","0","0","115","35389","115","35505"
"2022-02-12","port102","Balikpapan","Indonesia","IDN","2","0","1","0","5","3","8","3035","0","962","0","4168","3997","8165","278","0","1085","0","31362","1363","32725"
"2022-02-13","port102","Balikpapan","Indonesia","IDN","1","3","0","0","5","4","9","1180","0","0","0","5349","1180","6530","0","157405","0","0","18321","157405","175727"
"2022-02-14","port102","Balikpapan","Indonesia","IDN","1","1","0","0","7","2","9","1336","0","0","0","13003","1336","14339","278","71660","0","0","41353","71938","113292"
"2022-02-15","port102","Balikpapan","Indonesia","IDN","0","1","1","1","2","3","5","0","0","962","0","28659","962","29621","0","71269","1085","0","6636","72355","78991"
"2022-02-16","port102","Balikpapan","Indonesia","IDN","0","1","2","1","3","4","7","0","0","2883","0","28616","2883","31500","0","50584","1085","243","42444","51912","94357"
"2022-02-17","port102","Balikpapan","Indonesia","IDN","1","1","2","0","5","4","9","1266","0","208","0","31550","1474","33024","0","23153","4396","0","29947","27550","57497"
"2022-02-18","port102","Balikpapan","Indonesia","IDN","0","2","2","0","4","4","8","0","0","0","0","3665","0","3665","0","0","4711","0","34516","4711","39227"
"2022-02-19","port102","Balikpapan","Indonesia","IDN","1","1","2","0","3","4","7","832","3840","1897","0","34211","6570","40781","0","0","0","0","38506","0","38506"
"2022-02-20","port102","Balikpapan","Indonesia","IDN","2","2","2","0","2","6","8","2356","0","1171","0","1329","3527","4857","278","66562","1085","0","28397","67925","96322"
"2022-02-21","port102","Balikpapan","Indonesia","IDN","1","1","0","0","6","2","8","897","0","0","0","56616","897","57514","0","0","0","0","43454","0","43454"
"2022-02-22","port102","Balikpapan","Indonesia","IDN","0","0","2","2","4","4","8","0","0","1924","1168","0","3093","3093","0","0","2170","230","56583","2400","58983"
"2022-02-23","port102","Balikpapan","Indonesia","IDN","1","2","1","0","5","4","9","0","0","720","0","0","720","720","829","113172","0","0","60937","114002","174939"
"2022-02-24","port102","Balikpapan","Indonesia","IDN","1","1","1","1","4","4","8","1336","0","0","0","3049","1336","4386","278","68056","5101","243","22323","73679","96002"
"2022-02-25","port102","Balikpapan","Indonesia","IDN","0","1","2","0","0","3","3","0","0","0","0","0","0","0","0","28254","174","0","0","28429","28429"
"2022-02-26","port102","Balikpapan","Indonesia","IDN","2","1","0","0","6","3","9","2442","0","0","0","4878","2442","7320","620","78995","0","0","25170","79616","104786"
