date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-11-12,2019,11,12,port103,Baltimore,United States,USA,2,0,1,2,1,5,6,11605,0,0,3240,32974,14845,47820,788,0,288,0,0,1076,1076,1098003
2019-11-13,2019,11,13,port103,Baltimore,United States,USA,1,2,0,0,0,3,3,20437,21598,0,0,0,42035,42035,0,77020,0,0,0,77020,77020,1098006
2019-11-14,2019,11,14,port103,Baltimore,United States,USA,1,1,0,2,0,4,4,20558,0,0,3684,0,24242,24242,0,28734,0,226,0,28960,28960,1098008
2019-11-15,2019,11,15,port103,Baltimore,United States,USA,1,1,0,2,0,4,4,3465,0,0,2683,0,6149,6149,0,43681,0,0,0,43681,43681,1098010
2019-11-16,2019,11,16,port103,Baltimore,United States,USA,1,1,1,1,0,4,4,0,0,8306,5450,0,13757,13757,1240,67287,0,0,0,68528,68528,1098012
2019-11-17,2019,11,17,port103,Baltimore,United States,USA,2,0,0,0,0,2,2,0,0,0,0,0,0,0,6769,0,0,0,0,6769,6769,1098014
2019-11-18,2019,11,18,port103,Baltimore,United States,USA,0,3,0,1,0,4,4,0,0,0,2557,0,2557,2557,0,198998,0,0,0,198998,198998,1098410
2019-11-19,2019,11,19,port103,Baltimore,United States,USA,2,0,0,3,1,5,6,5683,0,0,9299,2210,14983,17193,0,0,0,0,0,0,0,1098411
2019-11-20,2019,11,20,port103,Baltimore,United States,USA,1,0,2,2,1,5,6,19304,0,17880,0,3415,37185,40600,0,0,0,0,0,0,0,1098414
2019-11-21,2019,11,21,port103,Baltimore,United States,USA,1,0,0,2,0,3,3,17644,0,0,0,0,17644,17644,0,0,0,508,0,508,508,1098417
2019-11-22,2019,11,22,port103,Baltimore,United States,USA,1,1,0,1,0,3,3,0,30577,0,0,0,30577,30577,0,0,0,0,0,0,0,1098421
2019-11-23,2019,11,23,port103,Baltimore,United States,USA,1,1,0,3,0,5,5,0,0,0,9258,0,9258,9258,633,0,0,226,0,859,859,1098425
2019-11-24,2019,11,24,port103,Baltimore,United States,USA,3,1,0,1,0,5,5,10925,0,0,2362,0,13287,13287,4833,57806,0,0,0,62640,62640,1098429
2019-11-25,2019,11,25,port103,Baltimore,United States,USA,0,1,0,4,0,5,5,0,0,0,2106,0,2106,2106,0,0,0,4136,0,4136,4136,1098433
2019-11-26,2019,11,26,port103,Baltimore,United States,USA,2,1,1,1,0,5,5,11924,0,3807,0,0,15732,15732,0,76384,0,3065,0,79450,79450,1098437
2019-11-27,2019,11,27,port103,Baltimore,United States,USA,3,2,0,0,0,5,5,12690,42800,0,0,0,55490,55490,0,38181,0,0,0,38181,38181,1098441
2019-11-28,2019,11,28,port103,Baltimore,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098866
2019-11-29,2019,11,29,port103,Baltimore,United States,USA,1,2,1,2,1,6,7,4496,12910,6860,1631,3415,25898,29314,0,33889,0,226,0,34116,34116,1098868
2019-11-30,2019,11,30,port103,Baltimore,United States,USA,2,3,1,2,0,8,8,7248,55227,4881,1945,0,69302,69302,1251,111958,0,0,0,113209,113209,1098874
2019-12-01,2019,12,1,port103,Baltimore,United States,USA,1,0,0,1,0,2,2,3653,0,0,0,0,3653,3653,0,0,0,562,0,562,562,1098877
2019-12-02,2019,12,2,port103,Baltimore,United States,USA,1,2,0,2,0,5,5,5708,7347,0,3591,0,16647,16647,788,76392,0,0,0,77181,77181,1098880
2019-12-03,2019,12,3,port103,Baltimore,United States,USA,1,1,0,3,0,5,5,839,0,0,10009,0,10849,10849,0,51336,0,226,0,51562,51562,1098883
2019-12-04,2019,12,4,port103,Baltimore,United States,USA,1,1,0,1,0,3,3,0,0,0,0,0,0,0,1465,48322,0,0,0,49788,49788,1098887
2019-12-05,2019,12,5,port103,Baltimore,United States,USA,1,1,2,2,1,6,7,5708,0,17138,2080,10031,24928,34960,788,14281,0,0,0,15069,15069,1098890
2019-12-06,2019,12,6,port103,Baltimore,United States,USA,0,1,0,1,0,2,2,0,0,0,3066,0,3066,3066,0,124760,0,0,0,124760,124760,1098893
2019-12-07,2019,12,7,port103,Baltimore,United States,USA,1,0,0,1,0,2,2,1400,0,0,1534,0,2934,2934,0,0,0,0,0,0,0,1098896
2019-12-08,2019,12,8,port103,Baltimore,United States,USA,1,1,1,2,1,5,6,3612,55641,3828,7209,1248,70291,71540,0,0,0,0,0,0,0,1098899
2019-12-09,2019,12,9,port103,Baltimore,United States,USA,1,2,1,6,1,10,11,0,11237,0,8734,12734,19971,32705,14696,0,375,4648,0,19720,19720,1098901
2019-12-10,2019,12,10,port103,Baltimore,United States,USA,3,2,1,2,0,8,8,14002,21017,4859,5520,0,45400,45400,2120,63651,412,226,0,66411,66411,1098902
2019-12-11,2019,12,11,port103,Baltimore,United States,USA,2,0,0,3,0,5,5,12177,0,0,6494,0,18672,18672,879,0,0,452,0,1331,1331,1098903
2019-12-12,2019,12,12,port103,Baltimore,United States,USA,1,0,1,3,0,5,5,12044,0,4859,5380,0,22283,22283,0,0,412,452,0,865,865,1098904
2019-12-13,2019,12,13,port103,Baltimore,United States,USA,1,3,0,0,0,4,4,2594,104303,0,0,0,106897,106897,0,0,0,0,0,0,0,1098905
