date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350881
2019-01-02,2019,1,2,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350884
2019-01-03,2019,1,3,port107,Bandar Abbas,Iran,IRN,0,0,1,0,0,1,1,0,0,355,0,0,355,355,0,0,345,0,0,345,345,2350887
2019-01-04,2019,1,4,port107,Bandar Abbas,Iran,IRN,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350890
2019-01-05,2019,1,5,port107,Bandar Abbas,Iran,IRN,0,0,0,2,0,2,2,0,0,0,1319,0,1319,1319,0,0,0,0,0,0,0,2350893
2019-01-06,2019,1,6,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350896
2019-01-07,2019,1,7,port107,Bandar Abbas,Iran,IRN,0,0,1,0,0,1,1,0,0,355,0,0,355,355,0,0,345,0,0,345,345,2350899
2019-01-08,2019,1,8,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350902
2019-01-09,2019,1,9,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350905
2019-01-10,2019,1,10,port107,Bandar Abbas,Iran,IRN,0,0,0,1,0,1,1,0,0,0,659,0,659,659,0,0,0,0,0,0,0,2350908
2019-01-11,2019,1,11,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350911
2019-01-12,2019,1,12,port107,Bandar Abbas,Iran,IRN,0,0,0,0,1,0,1,0,0,0,0,126,0,126,0,0,0,0,253,0,253,2350917
2019-01-13,2019,1,13,port107,Bandar Abbas,Iran,IRN,0,0,1,1,0,2,2,0,0,355,659,0,1015,1015,0,0,345,0,0,345,345,2350920
2019-01-14,2019,1,14,port107,Bandar Abbas,Iran,IRN,0,0,0,0,1,0,1,0,0,0,0,126,0,126,0,0,0,0,253,0,253,2350923
2019-01-15,2019,1,15,port107,Bandar Abbas,Iran,IRN,0,0,1,1,0,2,2,0,0,355,659,0,1015,1015,0,0,345,0,0,345,345,2350926
2019-01-16,2019,1,16,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350929
2019-01-17,2019,1,17,port107,Bandar Abbas,Iran,IRN,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350932
2019-01-18,2019,1,18,port107,Bandar Abbas,Iran,IRN,0,0,0,1,0,1,1,0,0,0,659,0,659,659,0,0,0,0,0,0,0,2350935
2019-01-19,2019,1,19,port107,Bandar Abbas,Iran,IRN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,315,0,0,0,0,315,315,2350938
2019-01-20,2019,1,20,port107,Bandar Abbas,Iran,IRN,0,0,1,0,0,1,1,0,0,355,0,0,355,355,0,0,345,0,0,345,345,2350941
2019-01-21,2019,1,21,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350944
2019-01-22,2019,1,22,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350947
2019-01-23,2019,1,23,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350950
2019-01-24,2019,1,24,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350953
2019-01-25,2019,1,25,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350955
2019-01-26,2019,1,26,port107,Bandar Abbas,Iran,IRN,0,0,0,1,0,1,1,0,0,0,659,0,659,659,0,0,0,0,0,0,0,2350958
2019-01-27,2019,1,27,port107,Bandar Abbas,Iran,IRN,0,0,1,0,0,1,1,0,0,355,0,0,355,355,0,0,345,0,0,345,345,2350961
2019-01-28,2019,1,28,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350964
2019-01-29,2019,1,29,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350967
2019-01-30,2019,1,30,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350970
2019-01-31,2019,1,31,port107,Bandar Abbas,Iran,IRN,0,0,1,0,0,1,1,0,0,355,0,0,355,355,0,0,345,0,0,345,345,2350973
2019-02-01,2019,2,1,port107,Bandar Abbas,Iran,IRN,0,0,0,1,0,1,1,0,0,0,659,0,659,659,0,0,0,0,0,0,0,2350976
2019-02-02,2019,2,2,port107,Bandar Abbas,Iran,IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350979
2019-02-03,2019,2,3,port107,Bandar Abbas,Iran,IRN,0,0,1,0,0,1,1,0,0,355,0,0,355,355,0,0,345,0,0,345,345,2350982
