date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-11-20,2020,11,20,port134,Beaumont,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51486,0,51486,1160001
2020-11-21,2020,11,21,port134,Beaumont,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160002
2020-11-22,2020,11,22,port134,Beaumont,United States,USA,0,0,0,1,2,1,3,0,0,0,793,0,793,793,0,0,0,2256,35185,2256,37441,1160003
2020-11-23,2020,11,23,port134,Beaumont,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160004
2020-11-24,2020,11,24,port134,Beaumont,United States,USA,0,0,0,1,4,1,5,0,0,0,0,28289,0,28289,0,0,0,0,135004,0,135004,1160005
2020-11-25,2020,11,25,port134,Beaumont,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13649,0,13649,1160006
2020-11-26,2020,11,26,port134,Beaumont,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160007
2020-11-27,2020,11,27,port134,Beaumont,United States,USA,0,0,0,0,1,0,1,0,0,0,0,4199,0,4199,0,0,0,0,0,0,0,1160009
2020-11-28,2020,11,28,port134,Beaumont,United States,USA,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,137489,0,137489,1160010
2020-11-29,2020,11,29,port134,Beaumont,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160011
2020-11-30,2020,11,30,port134,Beaumont,United States,USA,0,0,0,0,3,0,3,0,0,0,0,74294,0,74294,0,0,0,0,63617,0,63617,1160012
2020-12-01,2020,12,1,port134,Beaumont,United States,USA,0,1,0,0,1,1,2,0,24678,0,0,0,24678,24678,0,0,0,0,11732,0,11732,1160013
2020-12-02,2020,12,2,port134,Beaumont,United States,USA,0,0,0,0,4,0,4,0,0,0,0,592,0,592,0,0,0,0,74370,0,74370,1160014
2020-12-03,2020,12,3,port134,Beaumont,United States,USA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160015
2020-12-04,2020,12,4,port134,Beaumont,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160016
2020-12-05,2020,12,5,port134,Beaumont,United States,USA,0,0,1,0,5,1,6,0,0,16119,0,12335,16119,28455,0,0,0,0,108310,0,108310,1160017
2020-12-06,2020,12,6,port134,Beaumont,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55390,0,55390,1160018
2020-12-07,2020,12,7,port134,Beaumont,United States,USA,0,0,0,0,2,0,2,0,0,0,0,360,0,360,0,0,0,0,101259,0,101259,1160019
2020-12-08,2020,12,8,port134,Beaumont,United States,USA,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,8640,0,0,91967,8640,100607,1160020
2020-12-09,2020,12,9,port134,Beaumont,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,68729,0,68729,1160021
2020-12-10,2020,12,10,port134,Beaumont,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,126734,0,126734,1160022
2020-12-11,2020,12,11,port134,Beaumont,United States,USA,0,0,0,0,4,0,4,0,0,0,0,360,0,360,0,0,0,0,183099,0,183099,1160024
2020-12-12,2020,12,12,port134,Beaumont,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,69007,0,69007,1160025
2020-12-13,2020,12,13,port134,Beaumont,United States,USA,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2732,80044,2732,82777,1160026
