date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-08-10,2020,8,10,port136,Beihai,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256026
2020-08-11,2020,8,11,port136,Beihai,China,CHN,0,1,0,0,1,1,2,0,926,0,0,0,926,926,0,0,0,0,0,0,0,2256030
2020-08-12,2020,8,12,port136,Beihai,China,CHN,0,0,3,0,1,3,4,0,0,5256,0,0,5256,5256,0,0,6269,0,0,6269,6269,2256034
2019-07-07,2019,7,7,port136,Beihai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256036
2020-08-13,2020,8,13,port136,Beihai,China,CHN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2259,0,0,2259,2259,2256440
2019-07-08,2019,7,8,port136,Beihai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256442
2020-08-14,2020,8,14,port136,Beihai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256444
2019-07-09,2019,7,9,port136,Beihai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256446
2020-08-15,2020,8,15,port136,Beihai,China,CHN,0,1,0,0,0,1,1,0,54011,0,0,0,54011,54011,0,0,0,0,0,0,0,2256448
2019-07-10,2019,7,10,port136,Beihai,China,CHN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3455,0,0,0,3455,3455,2256450
2020-08-16,2020,8,16,port136,Beihai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256452
2019-07-11,2019,7,11,port136,Beihai,China,CHN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,11474,0,0,0,11474,11474,2256454
2020-08-17,2020,8,17,port136,Beihai,China,CHN,1,1,0,0,0,2,2,1540,0,0,0,0,1540,1540,0,30344,0,0,0,30344,30344,2256456
2019-07-12,2019,7,12,port136,Beihai,China,CHN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,259,0,0,0,0,259,259,2256458
2020-08-18,2020,8,18,port136,Beihai,China,CHN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7808,0,0,7808,7808,2256460
2019-07-13,2019,7,13,port136,Beihai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256462
2020-08-19,2020,8,19,port136,Beihai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256464
2019-07-14,2019,7,14,port136,Beihai,China,CHN,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,4980,2406,0,0,7386,7386,2256466
2020-08-20,2020,8,20,port136,Beihai,China,CHN,0,0,1,0,1,1,2,0,0,0,0,2315,0,2315,0,0,1546,0,0,1546,1546,2256468
2019-07-15,2019,7,15,port136,Beihai,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256470
2019-07-16,2019,7,16,port136,Beihai,China,CHN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,27914,0,0,0,27914,27914,2256471
2019-07-17,2019,7,17,port136,Beihai,China,CHN,0,0,1,0,0,1,1,0,0,1279,0,0,1279,1279,0,0,1935,0,0,1935,1935,2256472
2019-07-18,2019,7,18,port136,Beihai,China,CHN,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,17061,0,0,17061,17061,2256473
