"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2022-03-14","port137","Beira","Mozambique","MOZ","0","0","0","0","1","0","1","0","0","0","0","18301","0","18301","0","0","0","0","0","0","0"
"2021-02-07","port137","Beira","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-01-04","port137","Beira","Mozambique","MOZ","1","1","0","0","1","2","3","7843","0","0","0","20859","7843","28703","0","0","0","0","575","0","575"
"2022-03-15","port137","Beira","Mozambique","MOZ","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","2313","0","0","0","2313","2313"
"2021-02-08","port137","Beira","Mozambique","MOZ","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-01-05","port137","Beira","Mozambique","MOZ","0","0","0","0","1","0","1","0","0","0","0","33702","0","33702","0","0","0","0","0","0","0"
"2020-01-06","port137","Beira","Mozambique","MOZ","0","1","0","0","0","1","1","0","30923","0","0","0","30923","30923","0","0","0","0","0","0","0"
"2020-01-07","port137","Beira","Mozambique","MOZ","1","2","0","0","1","3","4","2463","38042","0","0","39698","40506","80205","0","38851","0","0","0","38851","38851"
"2020-01-08","port137","Beira","Mozambique","MOZ","1","0","0","0","0","1","1","0","0","0","0","0","0","0","574","0","0","0","0","574","574"
"2020-01-09","port137","Beira","Mozambique","MOZ","1","0","0","0","0","1","1","0","0","0","0","0","0","0","5675","0","0","0","0","5675","5675"
"2020-01-10","port137","Beira","Mozambique","MOZ","1","0","0","0","1","1","2","2271","0","0","0","37927","2271","40198","0","0","0","0","0","0","0"
"2020-01-11","port137","Beira","Mozambique","MOZ","1","0","0","0","0","1","1","3300","0","0","0","0","3300","3300","0","0","0","0","0","0","0"
"2020-01-12","port137","Beira","Mozambique","MOZ","2","0","0","0","0","2","2","3966","0","0","0","0","3966","3966","5439","0","0","0","0","5439","5439"
"2020-01-13","port137","Beira","Mozambique","MOZ","0","0","0","0","2","0","2","0","0","0","0","41524","0","41524","0","0","0","0","0","0","0"
"2020-01-14","port137","Beira","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-01-15","port137","Beira","Mozambique","MOZ","0","0","1","0","1","1","2","0","0","467","0","14908","467","15376","0","0","0","0","0","0","0"
"2020-01-16","port137","Beira","Mozambique","MOZ","2","1","0","0","0","3","3","2716","0","0","0","0","2716","2716","2408","16987","0","0","0","19396","19396"
"2020-01-17","port137","Beira","Mozambique","MOZ","1","0","2","0","1","3","4","3374","0","4917","0","42113","8291","50404","0","0","14800","0","0","14800","14800"
"2020-01-18","port137","Beira","Mozambique","MOZ","0","2","0","0","0","2","2","0","10492","0","0","0","10492","10492","0","40452","0","0","0","40452","40452"
"2020-01-19","port137","Beira","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-01-20","port137","Beira","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-01-21","port137","Beira","Mozambique","MOZ","1","0","0","0","0","1","1","0","0","0","0","0","0","0","6375","0","0","0","0","6375","6375"
"2020-01-22","port137","Beira","Mozambique","MOZ","0","1","0","0","1","1","2","0","0","0","0","36736","0","36736","0","0","0","0","0","0","0"
"2020-01-23","port137","Beira","Mozambique","MOZ","0","0","1","0","0","1","1","0","0","800","0","0","800","800","0","0","0","0","0","0","0"
"2020-01-24","port137","Beira","Mozambique","MOZ","0","0","0","0","2","0","2","0","0","0","0","36225","0","36225","0","0","0","0","1911","0","1911"
"2020-01-25","port137","Beira","Mozambique","MOZ","1","0","0","0","0","1","1","2745","0","0","0","0","2745","2745","0","0","0","0","0","0","0"
"2020-01-26","port137","Beira","Mozambique","MOZ","1","2","0","0","1","3","4","7092","20984","0","0","20859","28077","48937","0","27768","0","0","575","27768","28343"
"2020-01-27","port137","Beira","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-01-28","port137","Beira","Mozambique","MOZ","1","1","0","0","1","2","3","0","10492","0","0","0","10492","10492","3583","13884","0","0","0","17467","17467"
"2020-01-29","port137","Beira","Mozambique","MOZ","0","1","0","0","1","1","2","0","10492","0","0","37671","10492","48164","0","13884","0","0","0","13884","13884"
"2020-01-30","port137","Beira","Mozambique","MOZ","1","1","1","0","0","3","3","2122","10492","4589","0","0","17204","17204","2408","13884","0","0","0","16292","16292"
"2020-01-31","port137","Beira","Mozambique","MOZ","0","2","0","0","1","2","3","0","10492","0","0","0","10492","10492","0","13884","0","0","0","13884","13884"
"2020-02-01","port137","Beira","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
