date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-20,2019,1,20,port139,Belawan,Indonesia,IDN,1,0,0,0,1,1,2,6428,0,0,0,988,6428,7417,0,0,0,0,5170,0,5170,1966403
2019-01-21,2019,1,21,port139,Belawan,Indonesia,IDN,1,0,0,0,1,1,2,2271,0,0,0,2050,2271,4322,0,0,0,0,3771,0,3771,1966405
2019-01-22,2019,1,22,port139,Belawan,Indonesia,IDN,0,2,0,0,0,2,2,0,16976,0,0,0,16976,16976,0,5958,0,0,0,5958,5958,1966409
2019-01-23,2019,1,23,port139,Belawan,Indonesia,IDN,1,0,1,0,0,2,2,2403,0,0,0,0,2403,2403,1536,0,333,0,0,1870,1870,1966413
2019-01-24,2019,1,24,port139,Belawan,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966417
2019-01-25,2019,1,25,port139,Belawan,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966421
2019-01-26,2019,1,26,port139,Belawan,Indonesia,IDN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,292,0,0,0,0,292,292,1966425
2019-01-01,2019,1,1,port139,Belawan,Indonesia,IDN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966802
2019-01-02,2019,1,2,port139,Belawan,Indonesia,IDN,0,2,1,0,2,3,5,0,4884,908,0,1983,5793,7776,0,266,0,0,1867,266,2133,1966803
2019-01-03,2019,1,3,port139,Belawan,Indonesia,IDN,1,0,1,0,0,2,2,318,0,121,0,0,440,440,0,0,0,0,0,0,0,1966804
2019-01-04,2019,1,4,port139,Belawan,Indonesia,IDN,0,2,0,0,0,2,2,0,21742,0,0,0,21742,21742,0,11917,0,0,0,11917,11917,1966805
2019-01-05,2019,1,5,port139,Belawan,Indonesia,IDN,0,0,0,0,1,0,1,0,0,0,0,4619,0,4619,0,0,0,0,0,0,0,1966806
2019-01-06,2019,1,6,port139,Belawan,Indonesia,IDN,1,0,0,0,0,1,1,4372,0,0,0,0,4372,4372,0,0,0,0,0,0,0,1966807
2019-01-07,2019,1,7,port139,Belawan,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966808
2019-01-08,2019,1,8,port139,Belawan,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966809
2019-01-09,2019,1,9,port139,Belawan,Indonesia,IDN,0,0,1,1,0,2,2,0,0,0,340,0,340,340,0,0,797,246,0,1044,1044,1966810
2019-01-10,2019,1,10,port139,Belawan,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966811
2019-01-11,2019,1,11,port139,Belawan,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966812
2019-01-12,2019,1,12,port139,Belawan,Indonesia,IDN,1,0,0,0,0,1,1,2403,0,0,0,0,2403,2403,1536,0,0,0,0,1536,1536,1966813
2019-01-13,2019,1,13,port139,Belawan,Indonesia,IDN,1,1,0,0,0,2,2,6686,0,0,0,0,6686,6686,0,0,0,0,0,0,0,1966814
2019-01-14,2019,1,14,port139,Belawan,Indonesia,IDN,0,0,0,0,2,0,2,0,0,0,0,857,0,857,0,0,0,0,3136,0,3136,1966815
2019-01-15,2019,1,15,port139,Belawan,Indonesia,IDN,1,0,0,0,1,1,2,2989,0,0,0,988,2989,3978,0,0,0,0,5170,0,5170,1966816
2019-01-16,2019,1,16,port139,Belawan,Indonesia,IDN,1,0,1,0,0,2,2,2403,0,1597,0,0,4001,4001,1536,0,660,0,0,2196,2196,1966817
2019-01-17,2019,1,17,port139,Belawan,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966818
2019-01-18,2019,1,18,port139,Belawan,Indonesia,IDN,0,1,0,0,0,1,1,0,32044,0,0,0,32044,32044,0,0,0,0,0,0,0,1966819
2019-01-19,2019,1,19,port139,Belawan,Indonesia,IDN,1,1,0,0,0,2,2,747,0,0,0,0,747,747,0,39525,0,0,0,39525,39525,1966820
2019-01-27,2019,1,27,port139,Belawan,Indonesia,IDN,0,1,2,0,0,3,3,0,10871,1597,0,0,12468,12468,0,5958,2041,0,0,8000,8000,1966822
2019-01-28,2019,1,28,port139,Belawan,Indonesia,IDN,0,0,0,1,0,1,1,0,0,0,340,0,340,340,0,0,0,246,0,246,246,1966823
2019-01-29,2019,1,29,port139,Belawan,Indonesia,IDN,2,1,0,1,0,4,4,9540,0,0,166,0,9706,9706,4194,0,0,0,0,4194,4194,1966824
2019-01-30,2019,1,30,port139,Belawan,Indonesia,IDN,1,0,1,0,0,2,2,2403,0,1597,0,0,4001,4001,1536,0,660,0,0,2196,2196,1966825
2019-01-31,2019,1,31,port139,Belawan,Indonesia,IDN,0,1,0,0,0,1,1,0,9263,0,0,0,9263,9263,0,0,0,0,0,0,0,1966828
2019-02-01,2019,2,1,port139,Belawan,Indonesia,IDN,2,0,0,0,2,2,4,6313,0,0,0,6602,6313,12916,1536,0,0,0,1867,1536,3404,1966831
2019-02-02,2019,2,2,port139,Belawan,Indonesia,IDN,2,1,0,0,0,3,3,12769,10871,0,0,0,23641,23641,0,5958,0,0,0,5958,5958,1966834
2019-02-03,2019,2,3,port139,Belawan,Indonesia,IDN,1,0,0,0,0,1,1,2403,0,0,0,0,2403,2403,1536,0,0,0,0,1536,1536,1966837
