date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-05-13,2019,5,13,port224,Cebu,Philippines,PHL,2,0,5,2,2,9,11,3038,0,2499,50,0,5587,5587,117,0,598,64,0,780,780,544198
2019-05-14,2019,5,14,port224,Cebu,Philippines,PHL,1,0,2,0,0,3,3,3038,0,0,0,0,3038,3038,117,0,0,0,0,117,117,544407
2019-05-15,2019,5,15,port224,Cebu,Philippines,PHL,1,1,5,1,2,8,10,4214,51979,1249,0,2629,57443,60073,0,0,299,0,425,299,724,544413
2019-05-16,2019,5,16,port224,Cebu,Philippines,PHL,5,0,4,1,1,10,11,6458,0,1249,0,0,7708,7708,117,0,299,0,0,416,416,544417
2019-05-17,2019,5,17,port224,Cebu,Philippines,PHL,2,1,2,1,1,6,7,0,29629,5724,50,10853,35404,46258,0,0,0,64,0,64,64,544421
2019-05-18,2019,5,18,port224,Cebu,Philippines,PHL,2,0,3,1,1,6,7,0,0,194,0,0,194,194,0,0,0,0,0,0,0,544425
2019-05-19,2019,5,19,port224,Cebu,Philippines,PHL,2,0,2,0,1,4,5,3743,0,1249,0,901,4993,5894,0,0,299,0,425,299,724,544428
2019-05-20,2019,5,20,port224,Cebu,Philippines,PHL,3,1,4,1,0,9,9,3038,17803,1249,50,0,22141,22141,117,2957,299,64,0,3438,3438,544434
2019-05-21,2019,5,21,port224,Cebu,Philippines,PHL,3,0,3,0,1,6,7,5994,0,1249,0,0,7244,7244,117,0,299,0,0,416,416,544438
2019-05-22,2019,5,22,port224,Cebu,Philippines,PHL,1,0,1,1,0,3,3,8264,0,0,599,0,8863,8863,0,0,0,269,0,269,269,544442
2019-05-23,2019,5,23,port224,Cebu,Philippines,PHL,4,0,3,1,4,8,12,7804,0,327,0,4595,8131,12727,0,0,197,0,425,197,623,544446
2019-05-24,2019,5,24,port224,Cebu,Philippines,PHL,1,1,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544450
2019-05-25,2019,5,25,port224,Cebu,Philippines,PHL,1,1,2,0,1,4,5,0,17803,0,0,0,17803,17803,0,2957,0,0,0,2957,2957,544454
2019-05-26,2019,5,26,port224,Cebu,Philippines,PHL,2,0,4,1,0,7,7,3991,0,0,50,0,4041,4041,117,0,0,64,0,181,181,544458
2019-05-27,2019,5,27,port224,Cebu,Philippines,PHL,3,0,4,0,2,7,9,0,0,0,0,901,0,901,3872,0,0,0,425,3872,4297,544462
2019-05-28,2019,5,28,port224,Cebu,Philippines,PHL,4,0,1,0,0,5,5,3625,0,0,0,0,3625,3625,347,0,0,0,0,347,347,544466
2019-05-29,2019,5,29,port224,Cebu,Philippines,PHL,0,0,4,1,0,5,5,0,0,0,0,0,0,0,0,0,763,0,0,763,763,544851
2019-05-30,2019,5,30,port224,Cebu,Philippines,PHL,5,0,3,0,0,8,8,7612,0,1249,0,0,8862,8862,117,0,299,0,0,416,416,544855
2019-05-31,2019,5,31,port224,Cebu,Philippines,PHL,1,1,7,2,2,11,13,0,29148,3749,50,901,32947,33849,0,0,897,64,425,961,1387,544858
2019-06-01,2019,6,1,port224,Cebu,Philippines,PHL,1,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544861
2019-06-02,2019,6,2,port224,Cebu,Philippines,PHL,2,0,3,0,1,5,6,7114,0,6231,0,0,13346,13346,0,0,299,0,0,299,299,544864
2019-06-03,2019,6,3,port224,Cebu,Philippines,PHL,1,0,7,0,2,8,10,0,0,763,0,0,763,763,0,0,0,0,0,0,0,544867
2019-06-04,2019,6,4,port224,Cebu,Philippines,PHL,4,0,4,2,1,10,11,6076,0,3757,50,901,9883,10785,234,0,598,64,425,897,1322,544870
2019-06-05,2019,6,5,port224,Cebu,Philippines,PHL,1,0,2,1,0,4,4,5270,0,0,0,0,5270,5270,0,0,0,0,0,0,0,544873
2019-06-06,2019,6,6,port224,Cebu,Philippines,PHL,2,0,5,1,1,8,9,8375,0,0,0,0,8375,8375,0,0,0,0,11335,0,11335,544876
2019-06-07,2019,6,7,port224,Cebu,Philippines,PHL,3,1,2,0,3,6,9,0,17803,0,0,0,17803,17803,0,2957,0,0,0,2957,2957,544879
2019-06-08,2019,6,8,port224,Cebu,Philippines,PHL,2,0,4,0,2,6,8,0,0,0,0,901,0,901,0,0,0,0,425,0,425,544882
2019-06-09,2019,6,9,port224,Cebu,Philippines,PHL,1,0,3,2,0,6,6,3038,0,0,0,0,3038,3038,117,0,0,0,0,117,117,544885
2019-06-10,2019,6,10,port224,Cebu,Philippines,PHL,3,0,2,1,2,6,8,3038,0,0,50,0,3088,3088,117,0,0,64,0,181,181,544892
2019-06-11,2019,6,11,port224,Cebu,Philippines,PHL,5,1,2,1,0,9,9,9253,0,0,0,0,9253,9253,234,0,0,0,0,234,234,544895
2019-06-12,2019,6,12,port224,Cebu,Philippines,PHL,2,0,0,1,1,3,4,4114,0,0,0,0,4114,4114,0,0,0,0,0,0,0,544898
2019-06-13,2019,6,13,port224,Cebu,Philippines,PHL,2,0,4,1,1,7,8,5740,0,1249,0,901,6990,7891,230,0,299,0,425,529,954,544901
2019-06-14,2019,6,14,port224,Cebu,Philippines,PHL,0,1,3,2,0,6,6,0,28666,2152,50,0,30869,30869,0,0,299,64,0,363,363,544904
2019-06-15,2019,6,15,port224,Cebu,Philippines,PHL,1,0,3,0,1,4,5,0,0,327,0,0,327,327,0,0,197,0,0,197,197,544907
2019-06-16,2019,6,16,port224,Cebu,Philippines,PHL,4,0,5,0,0,9,9,2854,0,1577,0,0,4431,4431,0,0,496,0,0,496,496,544910
2019-06-17,2019,6,17,port224,Cebu,Philippines,PHL,3,1,5,1,2,10,12,1528,17803,327,0,901,19659,20560,0,2957,197,0,425,3154,3580,544913
2019-06-18,2019,6,18,port224,Cebu,Philippines,PHL,2,0,8,1,2,11,13,3038,0,1249,0,0,4287,4287,117,0,299,0,0,416,416,544916
2019-06-19,2019,6,19,port224,Cebu,Philippines,PHL,2,0,3,1,0,6,6,0,0,0,50,0,50,50,0,0,1257,64,0,1322,1322,544919
