date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-07-17,2019,7,17,port235,Chennai (Madras),India,IND,2,0,1,1,3,4,7,14471,0,1340,0,26233,15811,42044,753,0,1032,0,4452,1786,6238,3174174
2019-07-18,2019,7,18,port235,Chennai (Madras),India,IND,0,0,0,0,1,0,1,0,0,0,0,45259,0,45259,0,0,0,0,0,0,0,3174442
2019-07-19,2019,7,19,port235,Chennai (Madras),India,IND,1,1,0,0,4,2,6,19227,13030,0,0,38717,32258,70975,0,0,0,0,36970,0,36970,3174444
2019-07-20,2019,7,20,port235,Chennai (Madras),India,IND,3,1,2,0,2,6,8,17697,28628,437,0,147343,46763,194106,3482,0,164,0,0,3647,3647,3174448
2019-07-21,2019,7,21,port235,Chennai (Madras),India,IND,1,2,0,0,1,3,4,15247,2474,0,0,11817,17721,29538,0,0,0,0,0,0,0,3174452
2019-07-22,2019,7,22,port235,Chennai (Madras),India,IND,1,0,2,0,0,3,3,20787,0,107,0,0,20894,20894,0,0,1394,0,0,1394,1394,3174456
2019-07-23,2019,7,23,port235,Chennai (Madras),India,IND,1,0,0,1,1,2,3,16073,0,0,0,85937,16073,102011,0,0,0,1692,0,1692,1692,3174460
2019-07-24,2019,7,24,port235,Chennai (Madras),India,IND,3,0,0,0,2,3,5,14822,0,0,0,90979,14822,105802,0,0,0,0,0,0,0,3174464
2019-07-25,2019,7,25,port235,Chennai (Madras),India,IND,1,1,1,0,2,3,5,0,0,1604,0,3278,1604,4883,356,29837,0,0,0,30193,30193,3174468
2019-07-26,2019,7,26,port235,Chennai (Madras),India,IND,2,1,1,0,0,4,4,11627,1481,4377,0,0,17486,17486,0,0,0,0,0,0,0,3174472
2019-07-27,2019,7,27,port235,Chennai (Madras),India,IND,0,0,3,0,2,3,5,0,0,3066,0,12318,3066,15384,0,0,2065,0,0,2065,2065,3174474
2019-07-28,2019,7,28,port235,Chennai (Madras),India,IND,2,0,1,1,0,4,4,1393,0,140,0,0,1533,1533,6735,0,0,0,0,6735,6735,3174477
2019-07-29,2019,7,29,port235,Chennai (Madras),India,IND,2,0,0,1,1,3,4,24169,0,0,1385,4786,25555,30341,753,0,0,0,0,753,753,3174483
2019-07-30,2019,7,30,port235,Chennai (Madras),India,IND,2,1,0,0,0,3,3,24771,0,0,0,0,24771,24771,0,59480,0,0,0,59480,59480,3174487
2019-07-31,2019,7,31,port235,Chennai (Madras),India,IND,2,0,1,1,1,4,5,11125,0,0,0,0,11125,11125,753,0,1307,0,37560,2060,39621,3174491
2019-08-01,2019,8,1,port235,Chennai (Madras),India,IND,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,51553,2068,0,797,53622,54420,3174495
2019-08-02,2019,8,2,port235,Chennai (Madras),India,IND,2,1,0,0,2,3,5,45878,4642,0,0,0,50521,50521,0,0,0,0,0,0,0,3174499
2019-08-03,2019,8,3,port235,Chennai (Madras),India,IND,0,0,2,0,1,2,3,0,0,2519,0,0,2519,2519,0,0,1032,0,0,1032,1032,3174503
2019-08-04,2019,8,4,port235,Chennai (Madras),India,IND,1,0,3,0,2,4,6,2826,0,1340,0,0,4166,4166,0,0,4675,0,32549,4675,37224,3174507
2019-08-05,2019,8,5,port235,Chennai (Madras),India,IND,2,0,1,1,0,4,4,34927,0,0,2272,0,37199,37199,83,0,1560,0,0,1643,1643,3174510
2019-08-06,2019,8,6,port235,Chennai (Madras),India,IND,0,0,1,0,0,1,1,0,0,3228,0,0,3228,3228,0,0,0,0,0,0,0,3174514
2019-08-07,2019,8,7,port235,Chennai (Madras),India,IND,4,0,0,0,2,4,6,42256,0,0,0,21339,42256,63596,0,0,0,0,4452,0,4452,3174518
2019-08-08,2019,8,8,port235,Chennai (Madras),India,IND,1,0,0,0,1,1,2,7762,0,0,0,0,7762,7762,753,0,0,0,0,753,753,3174522
2019-08-09,2019,8,9,port235,Chennai (Madras),India,IND,2,0,2,0,0,4,4,26517,0,1340,0,0,27857,27857,0,0,2715,0,0,2715,2715,3174526
2019-08-10,2019,8,10,port235,Chennai (Madras),India,IND,0,0,2,0,0,2,2,0,0,1340,0,0,1340,1340,0,0,4352,0,0,4352,4352,3174530
2019-08-11,2019,8,11,port235,Chennai (Madras),India,IND,1,0,0,0,1,1,2,8462,0,0,0,30483,8462,38945,0,0,0,0,0,0,0,3174534
2019-08-12,2019,8,12,port235,Chennai (Madras),India,IND,1,0,2,0,3,3,6,0,0,1340,0,181152,1340,182492,974,0,12609,0,4452,13583,18035,3174538
2019-08-13,2019,8,13,port235,Chennai (Madras),India,IND,2,0,1,1,2,4,6,29643,0,0,0,20110,29643,49754,0,0,1691,0,0,1691,1691,3174542
2019-08-14,2019,8,14,port235,Chennai (Madras),India,IND,1,0,1,0,1,2,3,6708,0,1340,0,143785,8049,151834,0,0,1032,0,0,1032,1032,3174545
2019-08-15,2019,8,15,port235,Chennai (Madras),India,IND,2,0,1,0,1,3,4,14255,0,8221,0,60583,22477,83061,0,0,0,0,0,0,0,3174549
2019-08-16,2019,8,16,port235,Chennai (Madras),India,IND,1,1,0,0,2,2,4,26577,20271,0,0,152556,46848,199405,0,0,0,0,38943,0,38943,3174553
2019-08-17,2019,8,17,port235,Chennai (Madras),India,IND,1,0,0,0,2,1,3,7762,0,0,0,10623,7762,18385,753,0,0,0,0,753,753,3174557
2019-08-18,2019,8,18,port235,Chennai (Madras),India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3174561
2019-08-19,2019,8,19,port235,Chennai (Madras),India,IND,0,1,1,0,3,2,5,0,0,0,0,116950,0,116950,0,0,2894,0,0,2894,2894,3174565
2019-08-20,2019,8,20,port235,Chennai (Madras),India,IND,3,2,1,1,1,7,8,39543,0,6758,0,1639,46302,47942,0,24727,0,0,0,24727,24727,3174569
2019-08-21,2019,8,21,port235,Chennai (Madras),India,IND,2,0,0,0,1,2,3,11728,0,0,0,0,11728,11728,0,0,0,0,0,0,0,3174573
2019-08-22,2019,8,22,port235,Chennai (Madras),India,IND,2,0,3,0,1,5,6,7762,0,7180,0,0,14942,14942,2411,0,9854,0,27784,12265,40049,3174577
2019-08-23,2019,8,23,port235,Chennai (Madras),India,IND,1,2,0,0,1,3,4,15349,1485,0,0,144984,16834,161819,0,28918,0,0,0,28918,28918,3174578
2019-08-24,2019,8,24,port235,Chennai (Madras),India,IND,1,0,1,1,2,3,5,20639,0,702,0,0,21341,21341,0,0,0,0,13491,0,13491,3174583
2019-08-25,2019,8,25,port235,Chennai (Madras),India,IND,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,27257,459,0,0,27717,27717,3174587
2019-08-26,2019,8,26,port235,Chennai (Madras),India,IND,2,1,0,0,0,3,3,12629,0,0,0,0,12629,12629,753,54504,0,0,0,55258,55258,3174591
2019-08-27,2019,8,27,port235,Chennai (Madras),India,IND,3,1,0,0,2,4,6,30631,0,0,0,18681,30631,49313,0,20337,0,0,0,20337,20337,3174595
2019-08-28,2019,8,28,port235,Chennai (Madras),India,IND,1,0,0,1,1,2,3,8042,0,0,0,0,8042,8042,0,0,0,0,39507,0,39507,3174599
2019-08-29,2019,8,29,port235,Chennai (Madras),India,IND,1,2,0,0,0,3,3,0,0,0,0,0,0,0,394,39797,0,0,0,40191,40191,3174603
2019-08-30,2019,8,30,port235,Chennai (Madras),India,IND,2,1,1,1,3,5,8,11697,23718,0,0,14360,35415,49775,528,0,1943,4142,0,6614,6614,3174607
2019-08-31,2019,8,31,port235,Chennai (Madras),India,IND,2,1,1,0,2,4,6,12921,0,0,0,153500,12921,166421,0,26092,4309,0,0,30402,30402,3174611
2019-09-01,2019,9,1,port235,Chennai (Madras),India,IND,0,0,0,0,2,0,2,0,0,0,0,43087,0,43087,0,0,0,0,6101,0,6101,3174614
2019-09-02,2019,9,2,port235,Chennai (Madras),India,IND,2,1,2,0,2,5,7,35209,10164,2389,0,62733,47763,110496,753,0,1032,0,0,1786,1786,3174616
2019-09-03,2019,9,3,port235,Chennai (Madras),India,IND,0,1,2,0,2,3,5,0,60064,2636,0,27043,62700,89744,0,0,1032,0,6101,1032,7133,3174620
