date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-02-20,2019,2,20,port239,Chiba,Japan,JPN,1,4,8,1,21,14,35,0,33795,7152,0,21171,40948,62119,491,2510,7561,0,22342,10563,32905,1252001
2019-02-21,2019,2,21,port239,Chiba,Japan,JPN,0,3,9,2,26,14,40,0,17383,2094,0,113397,19477,132874,0,0,1259,0,26986,1259,28245,1252002
2019-02-22,2019,2,22,port239,Chiba,Japan,JPN,1,2,7,3,29,13,42,533,169640,3937,0,95808,174111,269920,740,0,2518,0,26821,3258,30079,1252003
2019-02-23,2019,2,23,port239,Chiba,Japan,JPN,1,1,8,1,21,11,32,533,0,4853,0,115037,5387,120424,740,0,2984,0,26888,3725,30613,1252004
2019-02-24,2019,2,24,port239,Chiba,Japan,JPN,0,5,9,2,22,16,38,0,11172,16551,0,14847,27723,42571,0,2911,2518,0,138360,5429,143789,1252005
2019-02-25,2019,2,25,port239,Chiba,Japan,JPN,0,2,8,3,33,13,46,0,0,2950,0,84434,2950,87384,0,0,1619,0,33162,1619,34782,1252006
2019-02-26,2019,2,26,port239,Chiba,Japan,JPN,1,1,7,3,35,12,47,533,4366,3860,0,56853,8760,65614,740,86,4243,0,31465,5070,36535,1252007
2019-02-27,2019,2,27,port239,Chiba,Japan,JPN,0,4,7,1,23,12,35,0,16721,3385,0,49038,20107,69146,0,14576,5762,3269,13189,23608,36798,1252008
2019-02-28,2019,2,28,port239,Chiba,Japan,JPN,1,4,9,3,22,17,39,509,143022,4421,0,77042,147953,224996,0,0,2518,0,19945,2518,22463,1252009
2019-03-01,2019,3,1,port239,Chiba,Japan,JPN,1,3,8,2,24,14,38,533,50479,3088,0,60839,54101,114940,740,13469,8767,0,26135,22977,49113,1252010
2019-03-02,2019,3,2,port239,Chiba,Japan,JPN,1,2,9,1,25,13,38,533,0,5465,0,41233,5999,47232,740,8561,2518,0,36982,11820,48802,1252011
2019-03-03,2019,3,3,port239,Chiba,Japan,JPN,0,4,5,2,25,11,36,0,17287,7335,0,19455,24622,44078,0,86,1259,0,26344,1345,27690,1252012
2019-03-04,2019,3,4,port239,Chiba,Japan,JPN,0,6,6,3,17,15,32,0,61243,2683,0,23399,63927,87326,0,2510,2984,0,18952,5494,24447,1252013
2019-03-05,2019,3,5,port239,Chiba,Japan,JPN,1,3,9,3,26,16,42,533,9661,4117,0,54681,14312,68994,740,0,8226,0,13731,8967,22698,1252014
2019-03-06,2019,3,6,port239,Chiba,Japan,JPN,0,2,3,1,24,6,30,0,83604,2316,0,28676,85920,114597,0,0,1888,0,24768,1888,26657,1252015
2019-03-07,2019,3,7,port239,Chiba,Japan,JPN,1,3,9,2,28,15,43,0,26107,4632,0,59006,30739,89745,5002,0,5829,0,31556,10831,42388,1252016
2019-03-08,2019,3,8,port239,Chiba,Japan,JPN,2,9,8,3,31,22,53,533,80104,4663,0,26191,85301,111492,3679,11687,2594,0,37680,17961,55641,1252017
2019-03-09,2019,3,9,port239,Chiba,Japan,JPN,0,2,5,2,22,9,31,0,0,2316,0,84749,2316,87065,0,0,1888,0,16768,1888,18657,1252018
2019-03-10,2019,3,10,port239,Chiba,Japan,JPN,0,2,6,1,11,9,20,0,28420,2286,0,9574,30706,40281,0,26141,1259,0,59682,27400,87082,1252019
2019-03-11,2019,3,11,port239,Chiba,Japan,JPN,0,1,8,3,33,12,45,0,4366,3434,0,117900,7800,125701,0,86,1888,0,38328,1975,40303,1252020
2019-03-12,2019,3,12,port239,Chiba,Japan,JPN,0,2,2,3,34,7,41,0,20092,772,0,21365,20864,42230,0,0,629,0,84385,629,85015,1252021
2019-03-13,2019,3,13,port239,Chiba,Japan,JPN,0,6,6,1,23,13,36,0,23961,2316,0,45666,26277,71944,0,92,2984,0,23452,3076,26528,1252022
2019-03-14,2019,3,14,port239,Chiba,Japan,JPN,2,4,6,3,38,15,53,1948,33361,1544,0,131784,36854,168639,0,9823,2121,0,40574,11944,52519,1252023
2019-03-15,2019,3,15,port239,Chiba,Japan,JPN,2,1,10,2,36,15,51,1067,0,5404,0,54892,6471,61364,1481,0,6167,0,25964,7649,33614,1252024
2019-03-16,2019,3,16,port239,Chiba,Japan,JPN,0,1,5,1,24,7,31,0,0,1144,0,22274,1144,23419,0,0,629,0,25863,629,26492,1252025
2019-03-17,2019,3,17,port239,Chiba,Japan,JPN,0,5,6,3,22,14,36,0,64479,5618,1842,20543,71939,92483,0,86,2929,0,23068,3016,26084,1252026
2019-03-18,2019,3,18,port239,Chiba,Japan,JPN,0,4,2,2,33,8,41,0,15160,2550,0,24375,17711,42087,0,14768,0,0,29305,14768,44074,1252027
2019-03-19,2019,3,19,port239,Chiba,Japan,JPN,1,3,12,2,24,18,42,1216,114299,4632,0,182648,120148,302797,0,0,5108,0,102842,5108,107950,1252028
2019-03-20,2019,3,20,port239,Chiba,Japan,JPN,1,1,5,2,22,9,31,533,0,3088,0,13078,3621,16700,740,0,2518,2797,28699,6055,34755,1252029
2019-03-21,2019,3,21,port239,Chiba,Japan,JPN,0,3,11,4,20,18,38,0,31696,8034,0,50104,39730,89835,0,0,8710,0,17431,8710,26141,1252030
2019-03-22,2019,3,22,port239,Chiba,Japan,JPN,1,1,9,2,29,13,42,533,10505,1755,0,31767,12795,44562,740,0,8092,0,27109,8833,35943,1252031
2019-03-23,2019,3,23,port239,Chiba,Japan,JPN,1,2,1,1,21,5,26,1858,166457,772,0,99538,169088,268626,0,0,629,0,17521,629,18151,1252032
2019-03-24,2019,3,24,port239,Chiba,Japan,JPN,0,3,3,1,33,7,40,0,25186,1702,0,47235,26888,74124,0,0,629,0,108029,629,108659,1252033
2019-03-25,2019,3,25,port239,Chiba,Japan,JPN,0,3,9,4,34,16,50,0,2741,3195,0,22656,5936,28593,0,0,2518,0,68598,2518,71116,1252034
2019-03-26,2019,3,26,port239,Chiba,Japan,JPN,1,4,15,3,21,23,44,533,56649,6390,488,44754,64062,108817,740,8233,6189,178,12136,15341,27478,1252035
2019-03-27,2019,3,27,port239,Chiba,Japan,JPN,1,4,5,1,24,11,35,510,778,1544,0,26107,2832,28940,0,5972,1259,0,22367,7231,29599,1252036
2019-03-28,2019,3,28,port239,Chiba,Japan,JPN,1,4,11,2,26,18,44,509,186079,4973,0,17954,191563,209517,0,43077,5979,0,34980,49057,84037,1252037
2019-03-29,2019,3,29,port239,Chiba,Japan,JPN,0,4,5,3,34,12,46,0,17672,3043,0,52543,20715,73259,0,0,1888,1631,29508,3519,33028,1252038
2019-03-30,2019,3,30,port239,Chiba,Japan,JPN,1,2,5,2,25,10,35,533,0,772,0,31457,1305,32762,740,0,1485,0,17006,2226,19232,1252039
2019-03-31,2019,3,31,port239,Chiba,Japan,JPN,1,4,5,0,26,10,36,533,8105,5014,0,18462,13653,32116,740,896,1888,0,23441,3525,26966,1252040
2019-04-01,2019,4,1,port239,Chiba,Japan,JPN,0,7,9,3,24,19,43,0,6236,5458,0,41748,11695,53444,0,12705,7872,0,21565,20578,42144,1252041
2019-04-02,2019,4,2,port239,Chiba,Japan,JPN,0,3,4,3,23,10,33,0,70636,1544,0,52293,72181,124474,0,0,1259,0,24760,1259,26019,1252042
2019-04-03,2019,4,3,port239,Chiba,Japan,JPN,1,2,4,1,17,8,25,533,23345,2373,0,11232,26253,37486,740,0,629,0,16371,1370,17741,1252043
2019-04-04,2019,4,4,port239,Chiba,Japan,JPN,0,4,8,4,16,16,32,0,24739,2802,0,16135,27541,43677,0,0,1888,0,23325,1888,25214,1252044
2019-04-05,2019,4,5,port239,Chiba,Japan,JPN,1,6,9,1,24,17,41,533,90185,4632,0,14881,95352,110233,740,29568,4926,0,24902,35236,60138,1252045
2019-04-06,2019,4,6,port239,Chiba,Japan,JPN,1,3,8,3,29,15,44,401,23235,3465,488,12545,27592,40137,0,2417,3663,2479,31726,8559,40286,1252046
2019-04-07,2019,4,7,port239,Chiba,Japan,JPN,0,1,5,0,12,6,18,0,6513,1544,0,8636,8057,16694,0,0,1259,0,13897,1259,15156,1252047
2019-04-08,2019,4,8,port239,Chiba,Japan,JPN,1,2,6,3,25,12,37,0,7308,3860,0,101771,11168,112940,0,86,3147,0,17276,3234,20510,1252048
2019-04-09,2019,4,9,port239,Chiba,Japan,JPN,0,5,9,2,23,16,39,0,49057,5404,0,53948,54462,108410,0,7290,4406,0,21528,11697,33225,1252049
2019-04-10,2019,4,10,port239,Chiba,Japan,JPN,1,3,3,1,21,8,29,533,72467,1544,0,12117,74545,86663,740,2417,7874,0,16010,11032,27043,1252050
2019-04-11,2019,4,11,port239,Chiba,Japan,JPN,0,5,6,3,18,14,32,0,35241,2330,0,25050,37572,62623,0,0,2158,0,15680,2158,17838,1252051
2019-04-12,2019,4,12,port239,Chiba,Japan,JPN,0,3,4,2,22,9,31,0,39163,1544,0,23738,40707,64445,0,0,2843,0,16416,2843,19259,1252052
2019-04-13,2019,4,13,port239,Chiba,Japan,JPN,2,4,6,2,19,14,33,4271,31221,12139,0,9159,47633,56792,0,6242,2518,0,21191,8760,29951,1252053
2019-04-14,2019,4,14,port239,Chiba,Japan,JPN,0,3,3,0,24,6,30,0,30744,772,0,16841,31516,48358,0,449,1725,0,25395,2174,27569,1252054
2019-04-15,2019,4,15,port239,Chiba,Japan,JPN,0,6,6,1,29,13,42,0,38104,3579,0,103650,41683,145334,0,3141,2518,0,25620,5659,31280,1252055
2019-04-16,2019,4,16,port239,Chiba,Japan,JPN,1,3,11,3,28,18,46,533,4366,8517,0,8988,13417,22406,740,86,5036,0,56730,5863,62593,1252056
2022-06-04,2022,6,4,port239,Chiba,Japan,JPN,0,1,4,2,31,7,38,0,0,1544,0,111758,1544,113302,0,0,2354,0,33132,2354,35487,1252057
2019-04-17,2019,4,17,port239,Chiba,Japan,JPN,2,3,8,1,32,14,46,201,29736,5404,0,62084,35342,97427,2956,0,4406,0,43102,7363,50466,1252058
2019-04-18,2019,4,18,port239,Chiba,Japan,JPN,0,5,9,2,19,16,35,0,75639,3074,0,135787,78714,214501,0,86,6312,0,9787,6399,16187,1252059
2019-04-19,2019,4,19,port239,Chiba,Japan,JPN,0,3,11,3,33,17,50,0,1842,5356,2427,142374,9626,152000,0,24640,5910,0,70733,30551,101284,1252060
2019-04-20,2019,4,20,port239,Chiba,Japan,JPN,1,3,6,2,27,12,39,0,128530,2316,0,101394,130846,232240,200,0,2990,0,32693,3191,35884,1252061
2019-04-21,2019,4,21,port239,Chiba,Japan,JPN,1,4,9,0,18,14,32,533,9777,3908,0,7523,14220,21743,740,34126,1552,0,22757,36419,59177,1252062
2019-04-22,2019,4,22,port239,Chiba,Japan,JPN,0,5,8,1,31,14,45,0,120331,4445,0,28010,124776,152787,0,37957,4979,0,24441,42937,67379,1252063
2019-04-23,2019,4,23,port239,Chiba,Japan,JPN,1,3,4,3,24,11,35,533,21635,1544,0,56182,23713,79896,740,0,5396,0,21207,6137,27344,1252064
2019-04-24,2019,4,24,port239,Chiba,Japan,JPN,0,3,5,2,34,10,44,0,57,1544,0,28920,1601,30521,0,3141,1259,0,30589,4400,34990,1252065
2019-04-25,2019,4,25,port239,Chiba,Japan,JPN,1,4,4,1,21,10,31,0,248549,772,0,22258,249321,271580,400,0,1529,0,20340,1930,22270,1252066
2019-04-26,2019,4,26,port239,Chiba,Japan,JPN,0,1,6,2,23,9,32,0,0,3088,0,21746,3088,24834,0,0,2518,0,25936,2518,28454,1252067
