date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-08-05,2019,8,5,port241,Chittagong,Bangladesh,BGD,5,2,3,0,3,10,13,31636,19178,9004,0,32987,59820,92807,623,13720,476,0,0,14820,14820,2916015
2019-08-06,2019,8,6,port241,Chittagong,Bangladesh,BGD,1,1,0,0,1,2,3,14220,28627,0,0,0,42848,42848,0,0,0,0,0,0,0,2916403
2019-08-07,2019,8,7,port241,Chittagong,Bangladesh,BGD,3,1,2,0,0,6,6,14149,19178,3394,0,0,36722,36722,207,1243,397,0,0,1848,1848,2916404
2019-08-08,2019,8,8,port241,Chittagong,Bangladesh,BGD,9,0,0,0,2,9,11,46691,0,0,0,23844,46691,70536,8997,0,0,0,602,8997,9600,2916405
2019-08-09,2019,8,9,port241,Chittagong,Bangladesh,BGD,0,2,2,0,1,4,5,0,19178,6788,0,0,25966,25966,0,1243,476,0,0,1719,1719,2916406
2019-08-10,2019,8,10,port241,Chittagong,Bangladesh,BGD,6,1,0,0,1,7,8,18717,46585,0,0,0,65302,65302,463,0,0,0,0,463,463,2916407
2019-08-11,2019,8,11,port241,Chittagong,Bangladesh,BGD,4,0,1,0,0,5,5,32208,0,3394,0,0,35602,35602,415,0,238,0,0,653,653,2916408
2019-08-12,2019,8,12,port241,Chittagong,Bangladesh,BGD,0,1,0,0,0,1,1,0,19178,0,0,0,19178,19178,0,1243,0,0,0,1243,1243,2916409
2019-08-13,2019,8,13,port241,Chittagong,Bangladesh,BGD,1,0,0,1,0,2,2,4276,0,0,0,0,4276,4276,0,0,0,0,0,0,0,2916410
2019-08-14,2019,8,14,port241,Chittagong,Bangladesh,BGD,3,1,0,0,1,4,5,20660,1911,0,0,0,22571,22571,207,0,0,0,0,207,207,2916411
2019-08-15,2019,8,15,port241,Chittagong,Bangladesh,BGD,5,3,3,0,2,11,13,42693,83476,11935,0,33608,138105,171713,207,1243,476,0,0,1927,1927,2916412
2019-08-16,2019,8,16,port241,Chittagong,Bangladesh,BGD,2,0,0,0,2,2,4,14489,0,0,0,2369,14489,16858,0,0,0,0,0,0,0,2916413
2019-08-17,2019,8,17,port241,Chittagong,Bangladesh,BGD,4,0,1,0,1,5,6,6942,0,3394,0,0,10336,10336,1864,0,238,0,7340,2102,9442,2916414
2019-08-18,2019,8,18,port241,Chittagong,Bangladesh,BGD,4,0,0,0,2,4,6,24572,0,0,0,16273,24572,40845,0,0,0,0,31343,0,31343,2916415
2019-08-19,2019,8,19,port241,Chittagong,Bangladesh,BGD,3,1,2,0,0,6,6,12229,41116,6788,0,0,60133,60133,415,0,476,0,0,891,891,2916416
2019-08-20,2019,8,20,port241,Chittagong,Bangladesh,BGD,2,2,0,0,1,4,5,14350,38357,0,0,0,52707,52707,207,2487,0,0,0,2695,2695,2916417
2019-08-21,2019,8,21,port241,Chittagong,Bangladesh,BGD,2,1,2,0,3,5,8,18316,14277,9147,0,16932,41741,58673,0,0,238,0,2615,238,2853,2916418
2019-08-22,2019,8,22,port241,Chittagong,Bangladesh,BGD,4,2,1,0,0,7,7,25884,37384,3394,0,0,66662,66662,207,1243,238,0,0,1689,1689,2916419
2019-08-23,2019,8,23,port241,Chittagong,Bangladesh,BGD,3,0,0,0,0,3,3,19532,0,0,0,0,19532,19532,463,0,0,0,0,463,463,2916420
2019-08-24,2019,8,24,port241,Chittagong,Bangladesh,BGD,2,1,0,0,1,3,4,11177,0,0,0,9027,11177,20205,207,34985,0,0,1342,35193,36536,2916421
2019-08-25,2019,8,25,port241,Chittagong,Bangladesh,BGD,4,0,0,0,1,4,5,42940,0,0,0,0,42940,42940,0,0,0,0,0,0,0,2916422
2019-08-26,2019,8,26,port241,Chittagong,Bangladesh,BGD,3,2,1,0,0,6,6,12274,19178,3394,0,0,34847,34847,207,2157,238,0,0,2603,2603,2916423
2019-08-27,2019,8,27,port241,Chittagong,Bangladesh,BGD,1,1,1,0,0,3,3,8171,0,3686,0,0,11858,11858,0,21388,0,0,0,21388,21388,2916424
2019-08-28,2019,8,28,port241,Chittagong,Bangladesh,BGD,4,1,1,0,1,6,7,21574,11040,3394,0,13173,36008,49182,207,0,238,0,602,445,1048,2916425
2019-08-29,2019,8,29,port241,Chittagong,Bangladesh,BGD,5,1,0,0,0,6,6,21470,19178,0,0,0,40648,40648,589,1243,0,0,0,1833,1833,2916426
2019-08-30,2019,8,30,port241,Chittagong,Bangladesh,BGD,0,0,0,0,2,0,2,0,0,0,0,8926,0,8926,0,0,0,0,167,0,167,2916427
