date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-05-12,2021,5,12,port489,Chornomorsk,Ukraine,UKR,1,1,1,0,1,3,4,1408,0,0,0,0,1408,1408,0,67781,1054,0,1580,68836,70416,3022189
2019-01-01,2019,1,1,port489,Chornomorsk,Ukraine,UKR,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,6149,0,0,6149,6149,3022340
2019-01-02,2019,1,2,port489,Chornomorsk,Ukraine,UKR,1,1,0,0,1,2,3,0,0,0,0,0,0,0,4649,35482,0,0,36969,40131,77101,3022341
2019-01-03,2019,1,3,port489,Chornomorsk,Ukraine,UKR,0,2,3,0,0,5,5,0,0,2129,0,0,2129,2129,0,28418,5844,0,0,34263,34263,3022342
2019-01-04,2019,1,4,port489,Chornomorsk,Ukraine,UKR,1,1,1,0,0,3,3,0,0,0,0,0,0,0,3993,15216,1566,0,0,20776,20776,3022343
2019-01-05,2019,1,5,port489,Chornomorsk,Ukraine,UKR,0,2,1,1,0,4,4,0,0,560,0,0,560,560,0,39958,2169,390,0,42517,42517,3022344
2019-01-06,2019,1,6,port489,Chornomorsk,Ukraine,UKR,1,2,0,0,0,3,3,0,0,0,0,0,0,0,10853,57016,0,0,0,67870,67870,3022345
2019-01-07,2019,1,7,port489,Chornomorsk,Ukraine,UKR,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,51744,0,0,0,51744,51744,3022346
2019-01-08,2019,1,8,port489,Chornomorsk,Ukraine,UKR,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022347
2019-01-09,2019,1,9,port489,Chornomorsk,Ukraine,UKR,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6692,0,0,6692,6692,3022348
2019-01-10,2019,1,10,port489,Chornomorsk,Ukraine,UKR,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,8665,1674,0,0,10340,10340,3022349
2019-01-11,2019,1,11,port489,Chornomorsk,Ukraine,UKR,0,2,1,0,0,3,3,0,49146,560,0,0,49707,49707,0,55751,2169,0,0,57920,57920,3022350
2019-01-12,2019,1,12,port489,Chornomorsk,Ukraine,UKR,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,62053,0,0,0,62053,62053,3022351
2019-01-13,2019,1,13,port489,Chornomorsk,Ukraine,UKR,1,0,0,0,1,1,2,0,0,0,0,0,0,0,968,0,0,0,2293,968,3262,3022352
2019-01-14,2019,1,14,port489,Chornomorsk,Ukraine,UKR,0,4,3,1,1,8,9,0,0,560,0,0,560,560,0,165376,4669,1952,4128,171998,176126,3022353
2019-01-15,2019,1,15,port489,Chornomorsk,Ukraine,UKR,1,0,2,0,0,3,3,515,0,560,0,0,1075,1075,3006,0,2724,0,0,5731,5731,3022354
2019-01-16,2019,1,16,port489,Chornomorsk,Ukraine,UKR,0,0,2,0,1,2,3,0,0,286,0,0,286,286,0,0,4201,0,1535,4201,5737,3022355
2019-01-17,2019,1,17,port489,Chornomorsk,Ukraine,UKR,0,1,1,0,0,2,2,0,0,560,0,0,560,560,0,26660,2169,0,0,28829,28829,3022356
2019-01-18,2019,1,18,port489,Chornomorsk,Ukraine,UKR,1,3,3,0,0,7,7,432,0,6524,0,0,6957,6957,0,175648,5528,0,0,181177,181177,3022357
2019-01-19,2019,1,19,port489,Chornomorsk,Ukraine,UKR,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4083,0,0,4083,4083,3022358
