date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-05-11,2019,5,11,port254,Colombo,Sri Lanka,LKA,12,0,1,0,3,13,16,36050,0,412,0,1726,36463,38189,31905,0,0,0,0,31905,31905,3032244
2019-01-01,2019,1,1,port254,Colombo,Sri Lanka,LKA,7,0,0,0,0,7,7,52565,0,0,0,0,52565,52565,5088,0,0,0,0,5088,5088,3032273
2019-01-02,2019,1,2,port254,Colombo,Sri Lanka,LKA,10,1,1,0,0,12,12,17990,19816,3011,0,0,40818,40818,15832,0,0,0,0,15832,15832,3032274
2019-01-03,2019,1,3,port254,Colombo,Sri Lanka,LKA,10,2,1,0,0,13,13,26289,33812,1012,0,0,61115,61115,52960,0,1817,0,0,54778,54778,3032275
2019-01-04,2019,1,4,port254,Colombo,Sri Lanka,LKA,6,1,0,0,2,7,9,48635,19121,0,0,9756,67756,77513,22300,0,0,0,0,22300,22300,3032276
2019-01-05,2019,1,5,port254,Colombo,Sri Lanka,LKA,11,0,1,0,1,12,13,20323,0,0,0,0,20323,20323,70907,0,0,0,0,70907,70907,3032277
2019-01-06,2019,1,6,port254,Colombo,Sri Lanka,LKA,8,0,1,0,0,9,9,18899,0,1012,0,0,19912,19912,31866,0,1817,0,0,33684,33684,3032278
2019-01-07,2019,1,7,port254,Colombo,Sri Lanka,LKA,12,1,2,0,0,15,15,45118,14957,0,0,0,60075,60075,40368,1584,1478,0,0,43431,43431,3032279
2019-01-08,2019,1,8,port254,Colombo,Sri Lanka,LKA,7,1,0,0,0,8,8,77355,8916,0,0,0,86271,86271,5088,0,0,0,0,5088,5088,3032280
2019-01-09,2019,1,9,port254,Colombo,Sri Lanka,LKA,9,1,1,0,1,11,12,38627,16252,1012,0,0,55893,55893,20704,0,1817,0,0,22522,22522,3032281
2019-01-10,2019,1,10,port254,Colombo,Sri Lanka,LKA,8,1,2,0,2,11,13,48877,18750,2919,0,18656,70547,89204,23521,0,1817,0,3036,25339,28376,3032282
2019-01-11,2019,1,11,port254,Colombo,Sri Lanka,LKA,7,0,0,0,2,7,9,16155,0,0,0,0,16155,16155,17162,0,0,0,0,17162,17162,3032283
2019-01-12,2019,1,12,port254,Colombo,Sri Lanka,LKA,13,0,0,0,0,13,13,30418,0,0,0,0,30418,30418,53394,0,0,0,0,53394,53394,3032284
2019-01-13,2019,1,13,port254,Colombo,Sri Lanka,LKA,9,1,0,0,0,10,10,32737,0,0,0,0,32737,32737,35599,0,0,0,0,35599,35599,3032285
2019-01-14,2019,1,14,port254,Colombo,Sri Lanka,LKA,9,0,0,0,1,9,10,7785,0,0,0,1521,7785,9306,42911,0,0,0,0,42911,42911,3032286
2019-01-15,2019,1,15,port254,Colombo,Sri Lanka,LKA,7,0,1,0,1,8,9,38598,0,1012,0,1598,39611,41209,36328,0,1817,0,214,38146,38360,3032287
2019-01-16,2019,1,16,port254,Colombo,Sri Lanka,LKA,9,1,1,0,4,11,15,73073,15384,1012,0,21764,89470,111235,10506,0,1817,0,0,12324,12324,3032288
2019-01-17,2019,1,17,port254,Colombo,Sri Lanka,LKA,7,1,0,0,1,8,9,125622,14957,0,0,9328,140580,149908,5747,1584,0,0,1518,7331,8849,3032289
2019-01-18,2019,1,18,port254,Colombo,Sri Lanka,LKA,9,1,0,0,1,10,11,30060,19816,0,0,0,49876,49876,19095,0,0,0,4469,19095,23564,3032290
2019-01-19,2019,1,19,port254,Colombo,Sri Lanka,LKA,9,1,2,0,1,12,13,32698,994,1012,0,0,34705,34705,36204,0,7004,0,0,43209,43209,3032291
2019-01-20,2019,1,20,port254,Colombo,Sri Lanka,LKA,7,0,0,0,1,7,8,3844,0,0,0,5879,3844,9724,70392,0,0,0,0,70392,70392,3032292
