date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port258,Conakry,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090316
2019-01-02,2019,1,2,port258,Conakry,Guinea,GIN,1,1,0,0,1,2,3,3530,0,0,0,35525,3530,39056,0,0,0,0,0,0,0,3090317
2019-01-03,2019,1,3,port258,Conakry,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090318
2019-01-04,2019,1,4,port258,Conakry,Guinea,GIN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090319
2019-01-05,2019,1,5,port258,Conakry,Guinea,GIN,1,2,0,0,0,3,3,7940,15933,0,0,0,23873,23873,0,18057,0,0,0,18057,18057,3090320
2019-01-06,2019,1,6,port258,Conakry,Guinea,GIN,0,0,1,0,0,1,1,0,0,1590,0,0,1590,1590,0,0,0,0,0,0,0,3090321
2019-01-07,2019,1,7,port258,Conakry,Guinea,GIN,0,1,0,0,0,1,1,0,31918,0,0,0,31918,31918,0,0,0,0,0,0,0,3090322
2019-01-08,2019,1,8,port258,Conakry,Guinea,GIN,2,0,0,1,0,3,3,10082,0,0,3642,0,13725,13725,5929,0,0,0,0,5929,5929,3090323
2019-01-09,2019,1,9,port258,Conakry,Guinea,GIN,1,1,0,0,0,2,2,3228,4719,0,0,0,7947,7947,0,0,0,0,0,0,0,3090324
2019-01-10,2019,1,10,port258,Conakry,Guinea,GIN,1,2,0,0,0,3,3,2391,36470,0,0,0,38862,38862,0,42702,0,0,0,42702,42702,3090325
2019-01-11,2019,1,11,port258,Conakry,Guinea,GIN,1,0,0,0,1,1,2,7882,0,0,0,34009,7882,41892,237,0,0,0,0,237,237,3090326
2019-01-12,2019,1,12,port258,Conakry,Guinea,GIN,1,0,1,0,1,2,3,1194,0,5942,0,964,7136,8100,0,0,0,0,0,0,0,3090327
2019-01-13,2019,1,13,port258,Conakry,Guinea,GIN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6572,0,0,0,0,6572,6572,3090328
2019-01-14,2019,1,14,port258,Conakry,Guinea,GIN,1,1,0,0,0,2,2,2677,0,0,0,0,2677,2677,0,40752,0,0,0,40752,40752,3090329
2019-01-15,2019,1,15,port258,Conakry,Guinea,GIN,2,0,0,0,0,2,2,5288,0,0,0,0,5288,5288,21,0,0,0,0,21,21,3090330
2019-01-16,2019,1,16,port258,Conakry,Guinea,GIN,1,1,0,0,0,2,2,4940,0,0,0,0,4940,4940,0,0,0,0,0,0,0,3090331
2019-01-17,2019,1,17,port258,Conakry,Guinea,GIN,1,2,0,0,0,3,3,9056,36270,0,0,0,45327,45327,0,30905,0,0,0,30905,30905,3090332
2019-01-18,2019,1,18,port258,Conakry,Guinea,GIN,0,1,0,1,1,2,3,0,15548,0,0,0,15548,15548,0,0,0,0,0,0,0,3090333
2019-01-19,2019,1,19,port258,Conakry,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090334
2019-01-20,2019,1,20,port258,Conakry,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,40856,0,0,0,40856,40856,3090335
2019-01-21,2019,1,21,port258,Conakry,Guinea,GIN,3,1,1,0,0,5,5,23267,44421,0,0,0,67688,67688,237,0,5761,0,0,5998,5998,3090336
2019-01-22,2019,1,22,port258,Conakry,Guinea,GIN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090337
2019-01-23,2019,1,23,port258,Conakry,Guinea,GIN,0,1,0,0,1,1,2,0,0,0,0,465,0,465,0,38007,0,0,0,38007,38007,3090338
2019-01-24,2019,1,24,port258,Conakry,Guinea,GIN,0,1,0,0,1,1,2,0,0,0,0,7852,0,7852,0,29563,0,0,2523,29563,32086,3090339
2019-01-25,2019,1,25,port258,Conakry,Guinea,GIN,2,1,0,0,1,3,4,4259,28659,0,0,0,32919,32919,0,0,0,0,0,0,0,3090340
2019-01-26,2019,1,26,port258,Conakry,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,37361,0,0,0,37361,37361,3090341
2019-01-27,2019,1,27,port258,Conakry,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090342
2019-01-28,2019,1,28,port258,Conakry,Guinea,GIN,2,0,0,0,0,2,2,15764,0,0,0,0,15764,15764,474,0,0,0,0,474,474,3090343
2019-01-29,2019,1,29,port258,Conakry,Guinea,GIN,1,1,0,0,0,2,2,5896,38652,0,0,0,44548,44548,0,0,0,0,0,0,0,3090344
2019-01-30,2019,1,30,port258,Conakry,Guinea,GIN,0,1,0,0,1,1,2,0,0,0,0,14190,0,14190,0,39809,0,0,878,39809,40687,3090345
2019-01-31,2019,1,31,port258,Conakry,Guinea,GIN,1,0,0,0,1,1,2,11676,0,0,0,14190,11676,25867,0,0,0,0,878,0,878,3090346
2019-02-01,2019,2,1,port258,Conakry,Guinea,GIN,1,0,0,0,1,1,2,6070,0,0,0,0,6070,6070,0,0,0,0,0,0,0,3090347
2019-02-02,2019,2,2,port258,Conakry,Guinea,GIN,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,29641,0,0,465,29641,30107,3090348
2019-02-03,2019,2,3,port258,Conakry,Guinea,GIN,1,0,0,0,0,1,1,6295,0,0,0,0,6295,6295,0,0,0,0,0,0,0,3090349
2019-02-04,2019,2,4,port258,Conakry,Guinea,GIN,0,2,0,0,0,2,2,0,53983,0,0,0,53983,53983,0,0,0,0,0,0,0,3090350
2019-02-05,2019,2,5,port258,Conakry,Guinea,GIN,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,39579,0,0,0,39579,39579,3090351
