date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2023-01-26,2023,1,26,port264,Corpus Christi,United States,USA,0,0,0,0,8,0,8,0,0,0,0,184246,0,184246,0,0,0,0,301079,0,301079,2666001
2020-11-17,2020,11,17,port264,Corpus Christi,United States,USA,0,1,0,0,4,1,5,0,546,0,0,19901,546,20447,0,0,0,0,70114,0,70114,2666002
2020-11-18,2020,11,18,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,8243,0,8243,0,0,0,0,207799,0,207799,2666003
2023-01-27,2023,1,27,port264,Corpus Christi,United States,USA,0,0,1,0,5,1,6,0,0,859,0,120500,859,121360,0,0,3260,0,129186,3260,132447,2666004
2020-11-19,2020,11,19,port264,Corpus Christi,United States,USA,0,1,1,0,5,2,7,0,0,0,0,507,0,507,0,69618,1405,0,102381,71023,173405,2666005
2023-01-28,2023,1,28,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,128576,0,128576,2666006
2020-11-20,2020,11,20,port264,Corpus Christi,United States,USA,0,1,0,0,5,1,6,0,18821,0,0,93163,18821,111985,0,20286,0,0,53879,20286,74166,2666007
2020-11-21,2020,11,21,port264,Corpus Christi,United States,USA,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,129453,0,129453,2666008
2020-11-22,2020,11,22,port264,Corpus Christi,United States,USA,0,0,0,0,5,0,5,0,0,0,0,93144,0,93144,0,0,0,0,137259,0,137259,2666009
2020-11-23,2020,11,23,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,154918,0,154918,2666010
2020-11-24,2020,11,24,port264,Corpus Christi,United States,USA,0,1,0,0,3,1,4,0,23984,0,0,0,23984,23984,0,0,0,0,169688,0,169688,2666011
2023-01-29,2023,1,29,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,128,0,128,0,0,0,0,205384,0,205384,2666012
2020-11-25,2020,11,25,port264,Corpus Christi,United States,USA,0,2,0,0,3,2,5,0,0,0,0,0,0,0,0,76508,0,0,75654,76508,152162,2666013
2020-11-26,2020,11,26,port264,Corpus Christi,United States,USA,0,0,0,0,3,0,3,0,0,0,0,128,0,128,0,0,0,0,134599,0,134599,2666014
2023-01-30,2023,1,30,port264,Corpus Christi,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666015
2020-11-27,2020,11,27,port264,Corpus Christi,United States,USA,0,1,0,0,3,1,4,0,0,0,0,61342,0,61342,0,5177,0,0,92726,5177,97903,2666016
2023-01-31,2023,1,31,port264,Corpus Christi,United States,USA,0,0,1,0,3,1,4,0,0,0,0,43186,0,43186,0,0,0,0,39197,0,39197,2666017
2020-11-28,2020,11,28,port264,Corpus Christi,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13321,0,13321,2666018
2023-02-01,2023,2,1,port264,Corpus Christi,United States,USA,0,1,0,0,7,1,8,0,52735,0,0,0,52735,52735,0,0,0,0,286319,0,286319,2666019
2020-11-29,2020,11,29,port264,Corpus Christi,United States,USA,0,0,0,0,7,0,7,0,0,0,0,218441,0,218441,0,0,0,0,98526,0,98526,2666020
2023-02-02,2023,2,2,port264,Corpus Christi,United States,USA,0,1,0,0,3,1,4,0,18821,0,0,1311,18821,20132,0,20286,0,0,151809,20286,172096,2666021
2020-11-30,2020,11,30,port264,Corpus Christi,United States,USA,0,0,1,0,2,1,3,0,0,859,0,1311,859,2171,0,0,3260,0,114093,3260,117354,2666022
2023-02-03,2023,2,3,port264,Corpus Christi,United States,USA,0,0,1,0,7,1,8,0,0,945,0,21912,945,22857,0,0,0,0,231562,0,231562,2666023
2023-02-04,2023,2,4,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,24022,0,24022,0,0,0,0,151043,0,151043,2666024
2020-12-01,2020,12,1,port264,Corpus Christi,United States,USA,0,2,0,0,5,2,7,0,100180,0,0,0,100180,100180,0,19201,0,0,51865,19201,71066,2666025
2023-02-05,2023,2,5,port264,Corpus Christi,United States,USA,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,184968,0,184968,2666026
2020-12-02,2020,12,2,port264,Corpus Christi,United States,USA,0,1,0,0,4,1,5,0,0,0,0,128,0,128,0,0,0,0,106962,0,106962,2666027
2023-02-06,2023,2,6,port264,Corpus Christi,United States,USA,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,132969,0,132969,2666028
2020-12-03,2020,12,3,port264,Corpus Christi,United States,USA,0,1,1,0,2,2,4,0,0,1842,0,0,1842,1842,0,56559,0,0,37216,56559,93775,2666029
2023-02-07,2023,2,7,port264,Corpus Christi,United States,USA,0,1,0,1,4,2,6,0,30568,0,0,21029,30568,51597,0,0,0,0,118243,0,118243,2666030
2020-12-04,2020,12,4,port264,Corpus Christi,United States,USA,0,1,1,0,2,2,4,0,0,416,0,0,416,416,0,44469,0,0,134860,44469,179329,2666031
2023-02-08,2023,2,8,port264,Corpus Christi,United States,USA,0,1,0,0,6,1,7,0,0,0,0,0,0,0,0,4431,0,0,176686,4431,181117,2666032
2020-12-05,2020,12,5,port264,Corpus Christi,United States,USA,0,1,1,0,7,2,9,0,0,0,0,0,0,0,0,35888,5014,0,156240,40902,197143,2666033
2023-02-09,2023,2,9,port264,Corpus Christi,United States,USA,0,1,0,0,5,1,6,0,84558,0,0,6932,84558,91490,0,0,0,0,283343,0,283343,2666034
2020-12-06,2020,12,6,port264,Corpus Christi,United States,USA,0,2,0,0,6,2,8,0,37642,0,0,87130,37642,124773,0,40573,0,0,125550,40573,166123,2666035
2023-02-10,2023,2,10,port264,Corpus Christi,United States,USA,0,1,0,0,1,1,2,0,62163,0,0,18886,62163,81049,0,0,0,0,0,0,0,2666036
2020-12-07,2020,12,7,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,146109,0,146109,0,0,0,0,24996,0,24996,2666037
2023-02-11,2023,2,11,port264,Corpus Christi,United States,USA,0,0,1,0,3,1,4,0,0,0,0,0,0,0,0,0,6255,0,154108,6255,160364,2666038
2020-12-08,2020,12,8,port264,Corpus Christi,United States,USA,0,2,0,0,2,2,4,0,0,0,0,0,0,0,0,29059,0,0,82223,29059,111282,2666039
2023-02-12,2023,2,12,port264,Corpus Christi,United States,USA,0,1,0,0,2,1,3,0,0,0,0,128,0,128,0,12593,0,0,97267,12593,109861,2666040
2020-12-09,2020,12,9,port264,Corpus Christi,United States,USA,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,235622,0,235622,2666041
2023-02-13,2023,2,13,port264,Corpus Christi,United States,USA,0,1,0,0,7,1,8,0,104347,0,0,45029,104347,149376,0,0,0,0,220431,0,220431,2666042
2020-12-10,2020,12,10,port264,Corpus Christi,United States,USA,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1521,0,1521,2666043
2023-02-14,2023,2,14,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,38679,0,38679,0,0,0,0,215237,0,215237,2666044
2020-12-11,2020,12,11,port264,Corpus Christi,United States,USA,0,3,1,0,2,4,6,0,91098,859,0,75741,91958,167699,0,60319,3260,0,10393,63579,73972,2666045
2023-02-15,2023,2,15,port264,Corpus Christi,United States,USA,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,187899,0,187899,2666046
2020-12-12,2020,12,12,port264,Corpus Christi,United States,USA,0,0,0,0,6,0,6,0,0,0,0,70440,0,70440,0,0,0,0,105106,0,105106,2666047
2023-02-16,2023,2,16,port264,Corpus Christi,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666048
2020-12-13,2020,12,13,port264,Corpus Christi,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,29962,0,29962,2666049
2023-02-17,2023,2,17,port264,Corpus Christi,United States,USA,0,1,0,0,7,1,8,0,34564,0,0,163536,34564,198101,0,0,0,0,200553,0,200553,2666050
2020-12-14,2020,12,14,port264,Corpus Christi,United States,USA,0,1,0,0,4,1,5,0,0,0,0,2170,0,2170,0,29746,0,0,146179,29746,175925,2666051
2023-02-18,2023,2,18,port264,Corpus Christi,United States,USA,0,1,0,0,7,1,8,0,0,0,0,18778,0,18778,0,50535,0,0,154200,50535,204736,2666052
2020-12-15,2020,12,15,port264,Corpus Christi,United States,USA,0,1,0,0,7,1,8,0,0,0,0,95006,0,95006,0,0,0,0,262817,0,262817,2666053
2023-02-19,2023,2,19,port264,Corpus Christi,United States,USA,0,0,0,0,4,0,4,0,0,0,0,16055,0,16055,0,0,0,0,115931,0,115931,2666054
2020-12-16,2020,12,16,port264,Corpus Christi,United States,USA,0,0,1,0,5,1,6,0,0,0,0,6497,0,6497,0,0,0,0,104858,0,104858,2666055
2023-02-20,2023,2,20,port264,Corpus Christi,United States,USA,0,2,0,0,9,2,11,0,24927,0,0,43186,24927,68113,0,30079,0,0,528697,30079,558777,2666056
2020-12-17,2020,12,17,port264,Corpus Christi,United States,USA,0,0,0,0,2,0,2,0,0,0,0,1311,0,1311,0,0,0,0,112129,0,112129,2666058
2023-02-21,2023,2,21,port264,Corpus Christi,United States,USA,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,216009,0,216009,2666059
2020-12-18,2020,12,18,port264,Corpus Christi,United States,USA,0,1,1,0,7,2,9,0,0,859,0,14861,859,15721,0,574,3260,0,240710,3834,244545,2666061
2023-02-22,2023,2,22,port264,Corpus Christi,United States,USA,0,0,0,0,7,0,7,0,0,0,0,90761,0,90761,0,0,0,0,194617,0,194617,2666062
2019-01-01,2019,1,1,port264,Corpus Christi,United States,USA,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,94056,0,94056,2666175
2019-01-02,2019,1,2,port264,Corpus Christi,United States,USA,0,1,0,0,2,1,3,0,25927,0,0,0,25927,25927,0,0,0,0,69499,0,69499,2666176
2019-01-03,2019,1,3,port264,Corpus Christi,United States,USA,0,1,0,0,6,1,7,0,18821,0,0,232959,18821,251780,0,20286,0,0,19730,20286,40017,2666177
2019-01-04,2019,1,4,port264,Corpus Christi,United States,USA,0,1,0,0,4,1,5,0,18821,0,0,14743,18821,33564,0,20286,0,0,105528,20286,125814,2666178
2019-01-05,2019,1,5,port264,Corpus Christi,United States,USA,0,0,0,0,2,0,2,0,0,0,0,48429,0,48429,0,0,0,0,34221,0,34221,2666179
2019-01-06,2019,1,6,port264,Corpus Christi,United States,USA,0,0,1,0,6,1,7,0,0,0,0,4063,0,4063,0,0,3058,0,170952,3058,174010,2666180
