date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port273,Dalian,China,CHN,7,2,5,1,3,15,18,2962,249874,1498,102,2156,254437,256594,17077,0,5162,678,2687,22918,25605,2359985
2019-01-02,2019,1,2,port273,Dalian,China,CHN,7,4,6,3,7,20,27,1596,56224,2538,308,56795,60668,117464,10975,20758,5320,2035,115490,39090,154581,2359986
2019-01-03,2019,1,3,port273,Dalian,China,CHN,7,3,5,1,5,16,21,7934,0,676,102,5408,8713,14122,20191,31348,4169,678,86807,56388,143195,2359987
2019-01-04,2019,1,4,port273,Dalian,China,CHN,6,3,7,2,7,18,25,3265,173953,10363,102,68595,187684,256280,21955,109335,1976,678,98194,133946,232141,2359988
2019-01-05,2019,1,5,port273,Dalian,China,CHN,7,1,6,0,5,14,19,6589,67327,1613,0,2790,75530,78320,18000,0,3565,0,65788,21565,87354,2359989
2019-01-06,2019,1,6,port273,Dalian,China,CHN,8,0,6,1,4,15,19,6080,0,5766,102,7650,11949,19599,24762,0,6559,678,53720,31999,85719,2359990
2019-01-07,2019,1,7,port273,Dalian,China,CHN,4,1,3,4,10,12,22,2749,71184,1908,593,93579,76435,170015,6538,0,2563,2094,83298,11196,94495,2359991
2019-01-08,2019,1,8,port273,Dalian,China,CHN,6,2,4,1,9,13,22,4995,387980,2186,102,6517,395265,401782,8251,0,5776,678,52209,14706,66915,2359992
2019-01-09,2019,1,9,port273,Dalian,China,CHN,6,4,3,2,8,15,23,2351,35479,0,205,0,38036,38036,10676,109585,3791,1356,139695,125409,265104,2359993
2019-01-10,2019,1,10,port273,Dalian,China,CHN,9,3,6,0,4,18,22,1632,118234,5139,0,279505,125006,404511,23124,21585,5740,0,39527,50451,89979,2359994
2019-01-11,2019,1,11,port273,Dalian,China,CHN,8,2,3,4,11,17,28,3027,36398,315,205,218992,39947,258939,20181,40487,3264,1356,179676,65289,244966,2359995
2019-01-12,2019,1,12,port273,Dalian,China,CHN,7,2,3,3,6,15,21,6199,33356,3361,205,56784,43124,99908,13710,5385,70,2838,56729,22005,78734,2359996
2019-01-13,2019,1,13,port273,Dalian,China,CHN,3,2,8,1,5,14,19,1801,85564,7661,102,31697,95130,126828,16924,0,6888,678,45275,24490,69766,2359997
2019-01-14,2019,1,14,port273,Dalian,China,CHN,8,0,4,0,11,12,23,4578,0,0,0,21328,4578,25907,12647,0,6540,0,165863,19188,185051,2359998
2019-01-15,2019,1,15,port273,Dalian,China,CHN,3,3,3,2,5,11,16,2068,204528,460,388,5661,207445,213107,3818,31402,979,738,70234,36938,107172,2359999
2019-01-16,2019,1,16,port273,Dalian,China,CHN,9,3,2,2,6,16,22,13224,0,0,205,13837,13430,27267,25475,162405,2839,1356,17925,192076,210002,2360000
2021-03-27,2021,3,27,port273,Dalian,China,CHN,5,0,2,0,4,7,11,823,0,2313,0,0,3137,3137,51060,0,1001,0,108073,52061,160135,2360001
2021-03-28,2021,3,28,port273,Dalian,China,CHN,8,3,4,1,5,16,21,1632,199260,315,0,130589,201208,331797,25143,54414,5153,0,97701,84710,182411,2360002
2021-03-29,2021,3,29,port273,Dalian,China,CHN,12,4,0,3,4,19,23,2927,135678,0,388,176844,138994,315838,37274,132244,0,738,15898,170257,186155,2360003
2021-03-30,2021,3,30,port273,Dalian,China,CHN,10,5,1,3,4,19,23,8638,327731,280,205,1799,336856,338655,71851,81370,0,1549,41336,154771,196107,2360004
2021-03-31,2021,3,31,port273,Dalian,China,CHN,10,0,3,1,8,14,22,14061,0,630,0,107970,14692,122662,13236,0,3225,1329,89106,17791,106898,2360005
2021-04-01,2021,4,1,port273,Dalian,China,CHN,4,3,2,0,3,9,12,1123,75376,630,0,169396,77131,246527,8279,194601,2845,0,11003,205726,216729,2360006
2021-04-02,2021,4,2,port273,Dalian,China,CHN,1,0,0,1,0,2,2,3760,0,0,0,0,3760,3760,0,0,0,0,0,0,0,2360007
2021-04-03,2021,4,3,port273,Dalian,China,CHN,4,2,0,1,2,7,9,1711,0,0,0,27069,1711,28781,10614,0,0,2556,10415,13171,23587,2360008
2021-04-04,2021,4,4,port273,Dalian,China,CHN,2,1,0,0,3,3,6,816,0,0,0,3827,816,4643,5781,0,0,0,15952,5781,21733,2360009
2021-04-05,2021,4,5,port273,Dalian,China,CHN,10,1,2,1,3,14,17,1018,21509,0,0,163079,22527,185607,41450,0,6080,1530,27820,49061,76881,2360010
2021-04-06,2021,4,6,port273,Dalian,China,CHN,2,0,1,1,2,4,6,1977,0,315,0,85014,2292,87307,10480,0,1422,0,17275,11903,29178,2360011
