date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port276,Dampier,Australia,AUS,0,1,1,0,1,2,3,0,0,1015,0,0,1015,1015,0,167612,1190,0,60856,168802,229659,2259398
2019-01-02,2019,1,2,port276,Dampier,Australia,AUS,0,4,0,0,2,4,6,0,0,0,0,0,0,0,0,708270,0,0,156504,708270,864775,2259401
2019-01-03,2019,1,3,port276,Dampier,Australia,AUS,0,1,0,0,2,1,3,0,0,0,0,136,0,136,0,165434,0,0,114720,165434,280155,2259404
2019-01-04,2019,1,4,port276,Dampier,Australia,AUS,0,3,2,0,1,5,6,0,0,51,0,0,51,51,0,367781,0,0,46791,367781,414573,2259407
2019-01-05,2019,1,5,port276,Dampier,Australia,AUS,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,169915,0,0,63838,169915,233753,2259410
2019-01-06,2019,1,6,port276,Dampier,Australia,AUS,0,1,0,1,0,2,2,0,0,0,52,0,52,52,0,168737,0,83,0,168821,168821,2259413
2019-01-07,2019,1,7,port276,Dampier,Australia,AUS,0,1,1,0,2,2,4,0,0,1627,0,0,1627,1627,0,174298,0,0,164968,174298,339266,2259415
2019-01-08,2019,1,8,port276,Dampier,Australia,AUS,0,2,0,0,2,2,4,0,0,0,0,31941,0,31941,0,343614,0,0,66344,343614,409959,2259417
2019-01-09,2019,1,9,port276,Dampier,Australia,AUS,0,3,1,0,1,4,5,0,0,1444,0,0,1444,1444,0,366034,0,0,75153,366034,441187,2259420
2019-01-10,2019,1,10,port276,Dampier,Australia,AUS,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,328590,0,0,0,328590,328590,2259423
2019-01-11,2019,1,11,port276,Dampier,Australia,AUS,0,4,0,0,2,4,6,0,21061,0,0,0,21061,21061,0,392121,0,0,58621,392121,450742,2259426
2019-01-12,2019,1,12,port276,Dampier,Australia,AUS,0,3,0,0,1,3,4,0,0,0,0,0,0,0,0,300062,0,0,77089,300062,377152,2259429
2019-01-13,2019,1,13,port276,Dampier,Australia,AUS,0,1,0,1,1,2,3,0,0,0,0,0,0,0,0,170771,0,142,69086,170913,239999,2259432
2019-01-14,2019,1,14,port276,Dampier,Australia,AUS,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,212765,2183,0,0,214949,214949,2259435
2019-01-15,2019,1,15,port276,Dampier,Australia,AUS,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,382378,0,0,83079,382378,465458,2259438
