date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2022-01-26,2022,1,26,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,0,1,1,6779,0,0,0,0,6779,6779,0,0,0,0,0,0,0,3654001
2022-01-27,2022,1,27,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,0,1,2,3,4684,47836,0,0,3442,52521,55963,0,0,0,0,0,0,0,3654002
2022-01-28,2022,1,28,port278,Dar Es Salaam,Tanzania,TZA,0,1,0,0,1,1,2,0,0,0,0,39019,0,39019,0,0,0,0,0,0,0,3654003
2022-01-29,2022,1,29,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654004
2022-01-30,2022,1,30,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654005
2022-01-31,2022,1,31,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654006
2022-02-01,2022,2,1,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,1,1,2,5767,0,0,0,0,5767,5767,0,0,0,0,0,0,0,3654007
2022-02-02,2022,2,2,port278,Dar Es Salaam,Tanzania,TZA,1,1,1,1,1,4,5,6572,0,3347,0,904,9919,10824,506,0,421,0,0,927,927,3654008
2022-02-03,2022,2,3,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,0,0,2,2,8196,0,0,0,0,8196,8196,0,1638,0,0,0,1638,1638,3654009
2022-02-04,2022,2,4,port278,Dar Es Salaam,Tanzania,TZA,1,1,1,1,0,4,4,0,43765,3288,0,0,47053,47053,519,0,0,0,0,519,519,3654010
2022-02-05,2022,2,5,port278,Dar Es Salaam,Tanzania,TZA,0,1,0,0,0,1,1,0,48273,0,0,0,48273,48273,0,0,0,0,0,0,0,3654011
2022-02-06,2022,2,6,port278,Dar Es Salaam,Tanzania,TZA,0,0,1,0,2,1,3,0,0,931,0,55843,931,56775,0,0,0,0,1272,0,1272,3654012
2022-02-07,2022,2,7,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,1,0,1,1,0,0,0,3320,0,3320,3320,0,0,0,0,0,0,0,3654013
2022-02-08,2022,2,8,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654014
2022-02-09,2022,2,9,port278,Dar Es Salaam,Tanzania,TZA,2,1,0,0,0,3,3,20335,25277,0,0,0,45613,45613,506,0,0,0,0,506,506,3654015
2022-02-10,2022,2,10,port278,Dar Es Salaam,Tanzania,TZA,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654016
2020-12-22,2020,12,22,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,2,2,4,1312,0,0,3736,43524,5049,48573,0,0,0,0,1272,0,1272,3654017
2022-02-11,2022,2,11,port278,Dar Es Salaam,Tanzania,TZA,1,2,0,0,0,3,3,16512,39068,0,0,0,55580,55580,0,0,0,0,0,0,0,3654018
2022-02-12,2022,2,12,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,2,1,3,6799,0,0,0,48668,6799,55467,0,0,0,0,0,0,0,3654019
2022-02-13,2022,2,13,port278,Dar Es Salaam,Tanzania,TZA,2,0,0,1,0,3,3,11832,0,0,0,0,11832,11832,506,0,0,0,0,506,506,3654021
2023-03-02,2023,3,2,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,0,0,2,2,6572,26216,0,0,0,32789,32789,506,0,0,0,0,506,506,3654022
2020-12-23,2020,12,23,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,5767,0,0,3147,0,8915,8915,0,0,0,0,0,0,0,3654023
2019-11-18,2019,11,18,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,0,0,0,0,0,0,0,4717,0,0,0,0,4717,4717,3654024
2022-02-14,2022,2,14,port278,Dar Es Salaam,Tanzania,TZA,0,1,0,0,0,1,1,0,23091,0,0,0,23091,23091,0,0,0,0,0,0,0,3654026
2023-03-03,2023,3,3,port278,Dar Es Salaam,Tanzania,TZA,2,1,0,1,1,4,5,5869,49870,0,5177,0,60918,60918,0,0,0,0,905,0,905,3654027
2020-12-24,2020,12,24,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,1,1,2,14763,0,0,0,0,14763,14763,0,0,0,0,1586,0,1586,3654028
2019-11-19,2019,11,19,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,6346,0,0,0,0,6346,6346,0,0,0,0,0,0,0,3654029
2022-02-15,2022,2,15,port278,Dar Es Salaam,Tanzania,TZA,0,0,1,0,0,1,1,0,0,2387,0,0,2387,2387,0,0,0,0,0,0,0,3654030
2023-03-04,2023,3,4,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,0,1,2,3,2791,2210,0,0,29261,5002,34263,0,0,0,0,0,0,0,3654032
2020-12-25,2020,12,25,port278,Dar Es Salaam,Tanzania,TZA,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654033
2019-11-20,2019,11,20,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3605,0,3605,3654034
2022-02-16,2022,2,16,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,1,1,2,16004,0,0,0,16862,16004,32867,0,0,0,0,1272,0,1272,3654035
2023-03-05,2023,3,5,port278,Dar Es Salaam,Tanzania,TZA,2,0,0,1,0,3,3,8775,0,0,0,0,8775,8775,0,0,0,0,0,0,0,3654037
2020-12-26,2020,12,26,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6918,0,6918,3654038
2019-11-21,2019,11,21,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654039
2022-02-17,2022,2,17,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654040
2023-03-06,2023,3,6,port278,Dar Es Salaam,Tanzania,TZA,1,2,0,1,0,4,4,8726,49908,0,3054,0,61689,61689,0,0,0,0,0,0,0,3654042
2020-12-27,2020,12,27,port278,Dar Es Salaam,Tanzania,TZA,2,1,0,0,0,3,3,14379,26599,0,0,0,40979,40979,0,0,0,0,0,0,0,3654043
2019-11-22,2019,11,22,port278,Dar Es Salaam,Tanzania,TZA,2,0,1,0,1,3,4,12069,0,2634,0,8877,14704,23581,0,0,0,0,0,0,0,3654044
2019-11-23,2019,11,23,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,6093,0,0,0,0,6093,6093,0,0,0,0,0,0,0,3654045
2019-11-24,2019,11,24,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,1,0,3,3,10282,40983,0,2483,0,53748,53748,0,0,0,0,0,0,0,3654046
2019-11-25,2019,11,25,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,0,1,2,3,1141,42260,0,0,39481,43401,82883,0,0,0,0,0,0,0,3654047
2019-11-26,2019,11,26,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,1,1,2,23802,0,0,0,3405,23802,27208,0,0,0,0,487,0,487,3654048
2019-11-27,2019,11,27,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654049
2019-11-28,2019,11,28,port278,Dar Es Salaam,Tanzania,TZA,2,0,0,0,0,2,2,571,0,0,0,0,571,571,2724,0,0,0,0,2724,2724,3654050
2019-11-29,2019,11,29,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,1,2,3,10739,0,0,2040,39313,12779,52093,0,0,0,0,0,0,0,3654051
2019-11-30,2019,11,30,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,0,1,1,14629,0,0,0,0,14629,14629,0,0,0,0,0,0,0,3654052
2019-12-01,2019,12,1,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,9444,0,0,0,0,9444,9444,0,0,0,0,0,0,0,3654053
2019-12-02,2019,12,2,port278,Dar Es Salaam,Tanzania,TZA,2,0,1,0,0,3,3,0,0,0,0,0,0,0,485,0,1296,0,0,1781,1781,3654054
2019-12-03,2019,12,3,port278,Dar Es Salaam,Tanzania,TZA,1,2,0,0,0,3,3,6688,21926,0,0,0,28615,28615,0,29455,0,0,0,29455,29455,3654055
2019-12-04,2019,12,4,port278,Dar Es Salaam,Tanzania,TZA,1,0,1,1,1,3,4,3755,0,1540,0,9531,5296,14827,0,0,0,0,0,0,0,3654056
2019-12-05,2019,12,5,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,0,1,2,3,8352,44313,0,0,16862,52666,69529,0,0,0,0,1272,0,1272,3654057
2019-12-06,2019,12,6,port278,Dar Es Salaam,Tanzania,TZA,2,0,0,0,0,2,2,14277,0,0,0,0,14277,14277,0,0,0,0,0,0,0,3654058
2019-12-07,2019,12,7,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,2,0,2,0,0,0,0,42547,0,42547,0,0,0,0,0,0,0,3654059
2019-12-08,2019,12,8,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,3955,0,0,2165,0,6120,6120,0,0,0,0,0,0,0,3654060
2019-12-09,2019,12,9,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2123,0,0,0,0,2123,2123,3654061
2019-12-10,2019,12,10,port278,Dar Es Salaam,Tanzania,TZA,2,1,1,0,0,4,4,13145,21926,3347,0,0,38419,38419,1012,557,421,0,0,1990,1990,3654062
2019-12-11,2019,12,11,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654063
2019-12-12,2019,12,12,port278,Dar Es Salaam,Tanzania,TZA,2,0,0,0,1,2,3,19316,0,0,0,27159,19316,46475,0,0,0,0,183,0,183,3654064
2019-12-13,2019,12,13,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654065
2019-12-14,2019,12,14,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,0,1,1,18055,0,0,0,0,18055,18055,0,0,0,0,0,0,0,3654066
2019-12-15,2019,12,15,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,1,1,3,4,3269,21926,0,0,16862,25195,42058,0,557,0,0,1272,557,1829,3654067
2019-12-16,2019,12,16,port278,Dar Es Salaam,Tanzania,TZA,0,0,1,0,0,1,1,0,0,3347,0,0,3347,3347,0,0,421,0,0,421,421,3654068
2019-12-17,2019,12,17,port278,Dar Es Salaam,Tanzania,TZA,3,0,0,0,0,3,3,14359,0,0,0,0,14359,14359,506,0,0,0,0,506,506,3654069
2019-12-18,2019,12,18,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,15642,0,0,2250,0,17892,17892,0,0,0,0,0,0,0,3654070
2019-12-19,2019,12,19,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,1,1,1,2,0,0,0,0,3405,0,3405,0,0,0,0,487,0,487,3654071
2019-12-20,2019,12,20,port278,Dar Es Salaam,Tanzania,TZA,1,1,1,1,0,4,4,6572,0,3838,1610,0,12021,12021,506,0,0,15,0,521,521,3654072
2019-12-21,2019,12,21,port278,Dar Es Salaam,Tanzania,TZA,1,0,1,0,0,2,2,9195,0,0,0,0,9195,9195,0,0,0,0,0,0,0,3654073
2019-12-22,2019,12,22,port278,Dar Es Salaam,Tanzania,TZA,0,0,1,1,0,2,2,0,0,3347,2605,0,5952,5952,0,0,421,0,0,421,421,3654074
2019-12-23,2019,12,23,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,0,0,0,1610,0,1610,1610,5478,0,0,15,0,5494,5494,3654075
2019-12-24,2019,12,24,port278,Dar Es Salaam,Tanzania,TZA,2,0,0,0,1,2,3,7678,0,0,0,0,7678,7678,984,0,0,0,0,984,984,3654076
2019-12-25,2019,12,25,port278,Dar Es Salaam,Tanzania,TZA,0,2,0,1,1,3,4,0,21926,0,0,16862,21926,38789,0,557,0,0,1272,557,1829,3654077
2019-12-26,2019,12,26,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,1,0,1,0,0,0,0,39721,0,39721,0,0,0,0,0,0,0,3654078
2019-12-27,2019,12,27,port278,Dar Es Salaam,Tanzania,TZA,3,0,0,0,0,3,3,36900,0,0,0,0,36900,36900,0,0,0,0,0,0,0,3654079
2019-12-28,2019,12,28,port278,Dar Es Salaam,Tanzania,TZA,0,1,0,0,1,1,2,0,14107,0,0,0,14107,14107,0,0,0,0,1831,0,1831,3654080
2019-12-29,2019,12,29,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,1,0,2,2,3105,0,0,1429,0,4534,4534,0,0,0,0,0,0,0,3654081
2019-12-30,2019,12,30,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,1,0,1,0,0,0,0,38924,0,38924,0,0,0,0,0,0,0,3654082
2019-12-31,2019,12,31,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,1,0,3,3,2721,35812,0,0,0,38534,38534,0,0,0,0,0,0,0,3654083
2020-01-01,2020,1,1,port278,Dar Es Salaam,Tanzania,TZA,2,1,0,0,0,3,3,13233,23670,0,0,0,36904,36904,0,0,0,0,0,0,0,3654084
2020-01-02,2020,1,2,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654085
2020-01-03,2020,1,3,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,0,1,1,1893,0,0,0,0,1893,1893,0,0,0,0,0,0,0,3654086
2020-01-04,2020,1,4,port278,Dar Es Salaam,Tanzania,TZA,1,1,0,0,1,2,3,7504,46162,0,0,0,53667,53667,0,0,0,0,1057,0,1057,3654087
2020-01-05,2020,1,5,port278,Dar Es Salaam,Tanzania,TZA,1,0,0,0,1,1,2,9479,0,0,0,38523,9479,48003,0,0,0,0,0,0,0,3654088
2020-01-06,2020,1,6,port278,Dar Es Salaam,Tanzania,TZA,0,0,2,0,0,2,2,0,0,8467,0,0,8467,8467,0,0,0,0,0,0,0,3654089
2020-01-07,2020,1,7,port278,Dar Es Salaam,Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654090
2020-01-08,2020,1,8,port278,Dar Es Salaam,Tanzania,TZA,0,1,0,0,1,1,2,0,0,0,0,611,0,611,0,0,0,0,0,0,0,3654091
2020-01-09,2020,1,9,port278,Dar Es Salaam,Tanzania,TZA,2,1,0,1,1,4,5,20962,0,0,5868,16862,26830,43693,0,0,0,0,1272,0,1272,3654092
2020-01-10,2020,1,10,port278,Dar Es Salaam,Tanzania,TZA,2,0,0,0,1,2,3,4616,0,0,0,36905,4616,41522,0,0,0,0,0,0,0,3654093
