"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2020-09-23","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-09-24","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-08-20","port290","Dhamra Port","India","IND","0","2","0","0","0","2","2","0","85451","0","0","0","85451","85451","0","19061","0","0","0","19061","19061"
"2020-09-25","port290","Dhamra Port","India","IND","0","0","1","0","0","1","1","0","0","2305","0","0","2305","2305","0","0","4134","0","0","4134","4134"
"2019-08-21","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","60064","0","0","0","60064","60064","0","0","0","0","0","0","0"
"2020-09-26","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","46381","0","0","0","46381","46381"
"2019-08-22","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-01","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-02","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-03","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-01-04","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-05","port290","Dhamra Port","India","IND","0","1","1","0","0","2","2","0","41621","2305","0","0","43927","43927","0","19061","4134","0","0","23195","23195"
"2019-01-06","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-07","port290","Dhamra Port","India","IND","0","3","0","0","0","3","3","0","41621","0","0","0","41621","41621","0","84358","0","0","0","84358","84358"
"2019-01-08","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-01-09","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","9583","0","0","0","9583","9583","0","0","0","0","0","0","0"
"2019-01-10","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","73173","0","0","0","73173","73173","0","0","0","0","0","0","0"
"2019-01-11","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-01-12","port290","Dhamra Port","India","IND","0","2","0","0","0","2","2","0","73454","0","0","0","73454","73454","0","19061","0","0","0","19061","19061"
"2019-01-13","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-14","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-01-15","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-01-16","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-17","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-18","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-19","port290","Dhamra Port","India","IND","0","2","0","0","0","2","2","0","41621","0","0","0","41621","41621","0","47925","0","0","0","47925","47925"
"2019-01-20","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-21","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","18704","0","0","0","18704","18704"
"2019-01-22","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-23","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-01-24","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-25","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-26","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","28628","0","0","0","28628","28628","0","0","0","0","0","0","0"
"2019-01-27","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","41621","0","0","0","41621","41621","0","19061","0","0","0","19061","19061"
"2019-01-28","port290","Dhamra Port","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-29","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","25321","0","0","0","25321","25321","0","0","0","0","0","0","0"
"2019-01-30","port290","Dhamra Port","India","IND","0","3","0","0","0","3","3","0","119985","0","0","0","119985","119985","0","72428","0","0","0","72428","72428"
"2019-01-31","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","53490","0","0","0","53490","53490"
"2019-02-01","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","138","0","0","0","138","138","0","0","0","0","0","0","0"
"2019-02-02","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","35789","0","0","0","35789","35789","0","0","0","0","0","0","0"
"2019-02-03","port290","Dhamra Port","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","27918","0","0","0","27918","27918"
