date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-02-02,2020,2,2,port294,Djibouti,Djibouti,DJI,1,0,0,0,2,1,3,6383,0,0,0,45691,6383,52075,0,0,0,0,969,0,969,3732001
2020-02-03,2020,2,3,port294,Djibouti,Djibouti,DJI,2,1,1,1,0,5,5,24905,22727,3444,0,0,51077,51077,0,445,764,1691,0,2901,2901,3732002
2020-02-04,2020,2,4,port294,Djibouti,Djibouti,DJI,1,0,1,0,2,2,4,9947,0,3444,0,42787,13391,56179,0,0,764,0,3436,764,4200,3732003
2020-02-05,2020,2,5,port294,Djibouti,Djibouti,DJI,0,2,0,1,1,3,4,0,126542,0,1749,20783,128291,149075,0,0,0,0,969,0,969,3732004
2020-02-06,2020,2,6,port294,Djibouti,Djibouti,DJI,2,1,1,0,1,4,5,22902,0,48,0,66229,22951,89180,0,29900,314,0,0,30214,30214,3732005
2020-02-07,2020,2,7,port294,Djibouti,Djibouti,DJI,2,1,0,0,0,3,3,32466,21796,0,0,0,54263,54263,0,0,0,0,0,0,0,3732006
2020-02-08,2020,2,8,port294,Djibouti,Djibouti,DJI,1,0,1,0,1,2,3,6591,0,3444,0,20783,10035,30819,1129,0,764,0,969,1893,2863,3732007
2020-02-09,2020,2,9,port294,Djibouti,Djibouti,DJI,3,0,2,2,2,7,9,20396,0,6888,567,41193,27852,69045,0,0,1528,584,0,2112,2112,3732008
2020-02-10,2020,2,10,port294,Djibouti,Djibouti,DJI,1,0,0,0,1,1,2,20728,0,0,0,33104,20728,53832,0,0,0,0,1333,0,1333,3732009
2020-02-11,2020,2,11,port294,Djibouti,Djibouti,DJI,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1684,0,0,0,0,1684,1684,3732010
2020-02-12,2020,2,12,port294,Djibouti,Djibouti,DJI,5,1,1,0,0,7,7,27791,58977,1226,0,0,87995,87995,20575,0,37,0,0,20612,20612,3732011
2020-02-13,2020,2,13,port294,Djibouti,Djibouti,DJI,0,0,1,1,0,2,2,0,0,8643,668,0,9311,9311,0,0,0,95,0,95,95,3732012
2020-02-14,2020,2,14,port294,Djibouti,Djibouti,DJI,0,1,0,0,2,1,3,0,48525,0,0,35037,48525,83563,0,0,0,0,1718,0,1718,3732013
2020-02-15,2020,2,15,port294,Djibouti,Djibouti,DJI,2,0,0,2,1,4,5,30576,0,0,1530,66877,32107,98985,1129,0,0,0,0,1129,1129,3732014
2020-02-16,2020,2,16,port294,Djibouti,Djibouti,DJI,2,1,0,0,4,3,7,12017,2071,0,0,63571,14088,77659,0,0,0,0,4405,0,4405,3732015
