date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-12-14,2020,12,14,port1236,Duluth,United States,USA,0,4,0,0,0,4,4,0,2294,0,0,0,2294,2294,0,35603,0,0,0,35603,35603,2474001
2020-12-15,2020,12,15,port1236,Duluth,United States,USA,0,2,0,0,0,2,2,0,1427,0,0,0,1427,1427,0,25912,0,0,0,25912,25912,2474003
2020-12-16,2020,12,16,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474005
2023-02-22,2023,2,22,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474008
2019-11-10,2019,11,10,port1236,Duluth,United States,USA,0,5,0,0,0,5,5,0,280,0,0,0,280,280,0,36074,0,0,0,36074,36074,2474009
2020-12-17,2020,12,17,port1236,Duluth,United States,USA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,60910,0,0,0,60910,60910,2474010
2020-12-18,2020,12,18,port1236,Duluth,United States,USA,0,5,0,0,0,5,5,0,2854,0,0,0,2854,2854,0,80134,0,0,0,80134,80134,2474012
2023-02-23,2023,2,23,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474014
2019-11-11,2019,11,11,port1236,Duluth,United States,USA,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,12677,0,0,0,12677,12677,2474015
2022-01-18,2022,1,18,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474016
2020-12-19,2020,12,19,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474017
2023-02-24,2023,2,24,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474019
2019-11-12,2019,11,12,port1236,Duluth,United States,USA,0,1,0,0,0,1,1,0,1147,0,0,0,1147,1147,0,17801,0,0,0,17801,17801,2474020
2022-01-19,2022,1,19,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474021
2020-12-20,2020,12,20,port1236,Duluth,United States,USA,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,14441,0,0,0,14441,14441,2474022
2023-02-25,2023,2,25,port1236,Duluth,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474024
2019-11-13,2019,11,13,port1236,Duluth,United States,USA,0,2,0,0,0,2,2,0,2294,0,0,0,2294,2294,0,35603,0,0,0,35603,35603,2474025
