date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-03-01,2019,3,1,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300016
2019-01-01,2019,1,1,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,65155,0,0,0,65155,65155,2300344
2019-01-02,2019,1,2,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300345
2019-01-03,2019,1,3,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300346
2019-01-04,2019,1,4,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300347
2019-01-05,2019,1,5,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300348
2019-01-06,2019,1,6,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300349
2019-01-07,2019,1,7,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300350
2019-01-08,2019,1,8,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,2137,0,0,0,2137,2137,0,61353,0,0,0,61353,61353,2300351
2019-01-09,2019,1,9,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2084,0,0,0,2084,2084,2300352
2019-01-10,2019,1,10,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300353
2019-01-11,2019,1,11,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300354
2019-01-12,2019,1,12,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300355
2019-01-13,2019,1,13,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,170622,0,0,0,170622,170622,2300356
2019-01-14,2019,1,14,port331,Esperance,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4696,0,0,4696,4696,2300357
2019-01-15,2019,1,15,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300358
2019-01-16,2019,1,16,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300359
2019-01-17,2019,1,17,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300360
2019-01-18,2019,1,18,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,31207,0,0,0,31207,31207,2300361
2019-01-19,2019,1,19,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300362
2019-01-20,2019,1,20,port331,Esperance,Australia,AUS,0,3,0,0,0,3,3,0,9409,0,0,0,9409,9409,0,145422,0,0,0,145422,145422,2300363
2019-01-21,2019,1,21,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300364
2019-01-22,2019,1,22,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,27501,0,0,0,27501,27501,2300365
2019-01-23,2019,1,23,port331,Esperance,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,58703,0,0,0,58703,58703,2300366
2019-01-24,2019,1,24,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,11976,0,0,0,11976,11976,2300367
2019-01-25,2019,1,25,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300368
2019-01-26,2019,1,26,port331,Esperance,Australia,AUS,1,0,0,0,0,1,1,0,0,0,0,0,0,0,956,0,0,0,0,956,956,2300369
2019-01-27,2019,1,27,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300370
2019-01-28,2019,1,28,port331,Esperance,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,9003,17151,0,0,26155,26155,2300371
2019-01-29,2019,1,29,port331,Esperance,Australia,AUS,0,2,0,0,0,2,2,0,579,0,0,0,579,579,0,34397,0,0,0,34397,34397,2300372
2019-01-30,2019,1,30,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,88744,0,0,0,88744,88744,2300373
2019-01-31,2019,1,31,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19355,0,0,0,19355,19355,2300374
2019-02-01,2019,2,1,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,61961,0,0,0,61961,61961,2300375
2019-02-02,2019,2,2,port331,Esperance,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300376
2019-02-03,2019,2,3,port331,Esperance,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,6580,0,6580,0,0,0,0,0,0,0,2300377
2019-02-04,2019,2,4,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,2137,0,0,0,2137,2137,0,61353,0,0,0,61353,61353,2300378
2019-02-05,2019,2,5,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300379
2019-02-06,2019,2,6,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19759,0,0,0,19759,19759,2300380
2019-02-07,2019,2,7,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300381
2019-02-08,2019,2,8,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300382
2019-02-09,2019,2,9,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300383
2019-02-10,2019,2,10,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,40005,0,0,0,40005,40005,2300384
2019-02-11,2019,2,11,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300385
2019-02-12,2019,2,12,port331,Esperance,Australia,AUS,0,2,0,0,0,2,2,0,2137,0,0,0,2137,2137,0,93834,0,0,0,93834,93834,2300386
2019-02-13,2019,2,13,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,7199,0,0,0,7199,7199,0,0,0,0,0,0,0,2300387
2019-02-14,2019,2,14,port331,Esperance,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,84036,0,0,0,84036,84036,2300388
2019-02-15,2019,2,15,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300389
2019-02-16,2019,2,16,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300390
2019-02-17,2019,2,17,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,51109,0,0,0,51109,51109,2300391
2019-02-18,2019,2,18,port331,Esperance,Australia,AUS,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2826,0,0,0,0,2826,2826,2300392
2019-02-19,2019,2,19,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,89515,0,0,0,89515,89515,2300393
2019-02-20,2019,2,20,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8990,0,0,0,8990,8990,2300394
2019-02-21,2019,2,21,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,12472,0,0,0,12472,12472,0,0,0,0,0,0,0,2300395
2019-02-22,2019,2,22,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,5691,0,0,0,5691,5691,0,0,0,0,0,0,0,2300396
2019-02-23,2019,2,23,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300397
2019-02-24,2019,2,24,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,36799,0,0,0,36799,36799,2300398
2019-02-25,2019,2,25,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300399
2019-02-26,2019,2,26,port331,Esperance,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7825,0,7825,2300400
2019-02-27,2019,2,27,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300401
2019-02-28,2019,2,28,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,169601,0,0,0,169601,169601,2300402
2019-03-02,2019,3,2,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300404
2019-03-03,2019,3,3,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300405
2019-03-04,2019,3,4,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,67587,0,0,0,67587,67587,2300407
2019-03-05,2019,3,5,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,57351,0,0,0,57351,57351,2300410
2019-03-06,2019,3,6,port331,Esperance,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300414
2019-03-07,2019,3,7,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300418
2019-03-08,2019,3,8,port331,Esperance,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300422
2019-03-09,2019,3,9,port331,Esperance,Australia,AUS,0,2,0,0,1,2,3,0,0,0,0,40961,0,40961,0,137779,0,0,0,137779,137779,2300426
