date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-02-04,2019,2,4,port339,Fangcheng,China,CHN,0,1,1,0,1,2,3,0,144174,5595,0,0,149769,149769,0,0,0,0,4660,0,4660,4033
2019-02-05,2019,2,5,port339,Fangcheng,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4462
2019-02-06,2019,2,6,port339,Fangcheng,China,CHN,0,2,2,0,0,4,4,0,29094,10812,0,0,39906,39906,0,0,6112,0,0,6112,6112,4463
2019-02-07,2019,2,7,port339,Fangcheng,China,CHN,0,4,0,0,1,4,5,0,167198,0,0,11812,167198,179010,0,2786,0,0,270,2786,3056,4464
2019-02-08,2019,2,8,port339,Fangcheng,China,CHN,0,0,1,0,0,1,1,0,0,2524,0,0,2524,2524,0,0,0,0,0,0,0,4465
2019-02-09,2019,2,9,port339,Fangcheng,China,CHN,0,4,0,0,1,4,5,0,445120,0,0,45513,445120,490633,0,0,0,0,0,0,0,4466
2019-02-10,2019,2,10,port339,Fangcheng,China,CHN,0,2,0,0,1,2,3,0,148788,0,0,11885,148788,160674,0,0,0,0,0,0,0,4467
2019-02-11,2019,2,11,port339,Fangcheng,China,CHN,0,2,0,0,0,2,2,0,168691,0,0,0,168691,168691,0,0,0,0,0,0,0,4468
2019-02-12,2019,2,12,port339,Fangcheng,China,CHN,0,2,3,0,0,5,5,0,52449,9957,0,0,62407,62407,0,0,19435,0,0,19435,19435,4469
2019-02-13,2019,2,13,port339,Fangcheng,China,CHN,0,1,1,0,0,2,2,0,30176,8884,0,0,39061,39061,0,0,0,0,0,0,0,4470
2019-02-14,2019,2,14,port339,Fangcheng,China,CHN,0,3,0,0,1,3,4,0,402981,0,0,41411,402981,444392,0,0,0,0,0,0,0,4471
2019-02-15,2019,2,15,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,9112,0,0,0,9112,9112,0,0,0,0,0,0,0,4472
2019-02-16,2019,2,16,port339,Fangcheng,China,CHN,0,7,3,0,1,10,11,0,407424,23538,0,2717,430962,433680,0,37694,7355,0,7606,45050,52656,4473
2019-02-17,2019,2,17,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,55916,0,0,0,55916,55916,0,0,0,0,0,0,0,4474
2019-02-18,2019,2,18,port339,Fangcheng,China,CHN,0,2,0,0,0,2,2,0,213664,0,0,0,213664,213664,0,0,0,0,0,0,0,4475
2019-02-19,2019,2,19,port339,Fangcheng,China,CHN,0,4,0,0,0,4,4,0,458913,0,0,0,458913,458913,0,0,0,0,0,0,0,4476
2019-02-20,2019,2,20,port339,Fangcheng,China,CHN,0,2,2,0,1,4,5,0,62993,4458,0,6710,67451,74162,0,33611,1984,0,0,35596,35596,4477
2019-02-21,2019,2,21,port339,Fangcheng,China,CHN,0,3,0,0,1,3,4,0,88018,0,0,11812,88018,99830,0,0,0,0,270,0,270,4478
2019-02-22,2019,2,22,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,180587,0,0,0,180587,180587,0,0,0,0,0,0,0,4479
2019-02-23,2019,2,23,port339,Fangcheng,China,CHN,0,4,0,0,3,4,7,0,295627,0,0,14378,295627,310006,0,0,0,0,1694,0,1694,4480
2019-02-24,2019,2,24,port339,Fangcheng,China,CHN,0,2,0,0,1,2,3,0,26086,0,0,7949,26086,34036,0,0,0,0,0,0,0,4481
2019-02-25,2019,2,25,port339,Fangcheng,China,CHN,0,2,0,0,0,2,2,0,98513,0,0,0,98513,98513,0,0,0,0,0,0,0,4482
2019-02-26,2019,2,26,port339,Fangcheng,China,CHN,0,3,3,0,1,6,7,0,74051,2532,0,0,76583,76583,0,45317,3965,0,19675,49283,68958,4483
2019-02-27,2019,2,27,port339,Fangcheng,China,CHN,0,1,1,0,1,2,3,0,39926,0,0,2253,39926,42179,0,0,3994,0,0,3994,3994,4484
2019-02-28,2019,2,28,port339,Fangcheng,China,CHN,0,3,0,0,1,3,4,0,144547,0,0,579,144547,145126,0,0,0,0,0,0,0,4485
2019-03-01,2019,3,1,port339,Fangcheng,China,CHN,0,2,1,0,0,3,3,0,51916,2238,0,0,54155,54155,0,6341,1984,0,0,8325,8325,4486
2019-03-02,2019,3,2,port339,Fangcheng,China,CHN,1,2,0,0,0,3,3,392,229201,0,0,0,229593,229593,0,6279,0,0,0,6279,6279,4487
2019-03-03,2019,3,3,port339,Fangcheng,China,CHN,1,7,0,0,0,8,8,0,383261,0,0,0,383261,383261,2140,70303,0,0,0,72443,72443,4488
2019-03-04,2019,3,4,port339,Fangcheng,China,CHN,0,4,0,0,0,4,4,0,207323,0,0,0,207323,207323,0,15580,0,0,0,15580,15580,4489
2019-03-05,2019,3,5,port339,Fangcheng,China,CHN,0,2,2,0,0,4,4,0,7149,14033,0,0,21182,21182,0,54382,0,0,0,54382,54382,4490
2019-03-06,2019,3,6,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,21589,0,0,0,21589,21589,4492
2019-03-07,2019,3,7,port339,Fangcheng,China,CHN,0,3,2,0,0,5,5,0,150800,2238,0,0,153039,153039,0,0,8554,0,0,8554,8554,4493
2019-03-08,2019,3,8,port339,Fangcheng,China,CHN,0,1,1,0,0,2,2,0,26722,0,0,0,26722,26722,0,0,4619,0,0,4619,4619,4494
2019-03-09,2019,3,9,port339,Fangcheng,China,CHN,0,1,1,0,1,2,3,0,54533,11970,0,0,66503,66503,0,6279,0,0,9058,6279,15338,4495
2019-03-10,2019,3,10,port339,Fangcheng,China,CHN,0,1,0,0,1,1,2,0,0,0,0,2717,0,2717,0,43715,0,0,7606,43715,51321,4496
2019-03-11,2019,3,11,port339,Fangcheng,China,CHN,0,3,2,0,1,5,6,0,218820,0,0,11812,218820,230633,0,77046,6333,0,270,83379,83649,4497
2019-03-12,2019,3,12,port339,Fangcheng,China,CHN,0,6,2,0,0,8,8,0,58964,0,0,0,58964,58964,0,44342,6683,0,0,51025,51025,4498
2019-03-13,2019,3,13,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,303230,0,0,0,303230,303230,0,0,0,0,0,0,0,4499
2019-03-14,2019,3,14,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,98065,0,0,0,98065,98065,0,8860,0,0,0,8860,8860,4500
2019-03-15,2019,3,15,port339,Fangcheng,China,CHN,0,4,1,0,1,5,6,0,331588,5560,0,170,337149,337319,0,0,0,0,0,0,0,4501
2019-03-16,2019,3,16,port339,Fangcheng,China,CHN,0,2,0,0,0,2,2,0,97457,0,0,0,97457,97457,0,0,0,0,0,0,0,4502
2019-03-17,2019,3,17,port339,Fangcheng,China,CHN,0,5,1,0,0,6,6,0,277558,11719,0,0,289278,289278,0,69528,0,0,0,69528,69528,4503
2019-03-18,2019,3,18,port339,Fangcheng,China,CHN,0,1,2,0,1,3,4,0,68930,5522,0,7634,74452,82087,0,0,3387,0,0,3387,3387,4504
2019-03-19,2019,3,19,port339,Fangcheng,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4505
2019-03-20,2019,3,20,port339,Fangcheng,China,CHN,0,9,1,0,1,10,11,0,521485,0,0,2425,521485,523910,0,181604,1675,0,0,183280,183280,4506
2019-03-21,2019,3,21,port339,Fangcheng,China,CHN,0,0,1,0,0,1,1,0,0,2374,0,0,2374,2374,0,0,0,0,0,0,0,4507
2019-03-22,2019,3,22,port339,Fangcheng,China,CHN,0,1,1,0,0,2,2,0,171151,0,0,0,171151,171151,0,0,3433,0,0,3433,3433,4508
2019-03-23,2019,3,23,port339,Fangcheng,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4509
2019-03-24,2019,3,24,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,36680,0,0,0,36680,36680,0,0,0,0,0,0,0,4510
2019-03-25,2019,3,25,port339,Fangcheng,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4511
2019-03-26,2019,3,26,port339,Fangcheng,China,CHN,0,15,4,0,1,19,20,0,826696,2238,0,0,828935,828935,0,181086,12047,0,0,193133,193133,4512
2019-03-27,2019,3,27,port339,Fangcheng,China,CHN,0,4,2,0,0,6,6,0,242737,4892,0,0,247629,247629,0,15956,4302,0,0,20259,20259,4513
2019-03-28,2019,3,28,port339,Fangcheng,China,CHN,0,1,1,0,0,2,2,0,69416,0,0,0,69416,69416,0,0,2752,0,0,2752,2752,4514
2019-03-29,2019,3,29,port339,Fangcheng,China,CHN,0,1,0,0,1,1,2,0,26579,0,0,0,26579,26579,0,0,0,0,817,0,817,4515
2019-03-30,2019,3,30,port339,Fangcheng,China,CHN,0,1,0,0,2,1,3,0,79442,0,0,114415,79442,193858,0,0,0,0,270,0,270,4516
2019-03-31,2019,3,31,port339,Fangcheng,China,CHN,0,2,2,0,1,4,5,0,55538,0,0,14234,55538,69772,0,995,6045,0,0,7040,7040,4517
2019-04-01,2019,4,1,port339,Fangcheng,China,CHN,0,1,1,0,0,2,2,0,2089,2238,0,0,4327,4327,0,0,1984,0,0,1984,1984,4518
2019-04-02,2019,4,2,port339,Fangcheng,China,CHN,0,3,1,0,1,4,5,0,85179,0,0,16229,85179,101408,0,92058,1557,0,0,93615,93615,4519
2019-04-03,2019,4,3,port339,Fangcheng,China,CHN,0,3,3,0,0,6,6,0,244225,973,0,0,245198,245198,0,0,8129,0,0,8129,8129,4520
2019-04-04,2019,4,4,port339,Fangcheng,China,CHN,0,0,1,0,1,1,2,0,0,0,0,41293,0,41293,0,0,10665,0,0,10665,10665,4521
2019-04-05,2019,4,5,port339,Fangcheng,China,CHN,0,2,1,0,2,3,5,0,153876,0,0,2798,153876,156674,0,0,4442,0,274,4442,4716,4522
2019-04-06,2019,4,6,port339,Fangcheng,China,CHN,0,4,0,0,1,4,5,0,129945,0,0,626,129945,130572,0,22002,0,0,0,22002,22002,4523
2019-04-07,2019,4,7,port339,Fangcheng,China,CHN,0,1,1,0,0,2,2,0,56493,5517,0,0,62011,62011,0,0,0,0,0,0,0,4524
2019-04-08,2019,4,8,port339,Fangcheng,China,CHN,0,1,0,0,2,1,3,0,0,0,0,47218,0,47218,0,32321,0,0,6894,32321,39216,4525
2019-04-09,2019,4,9,port339,Fangcheng,China,CHN,0,2,1,0,2,3,5,0,0,0,0,6730,0,6730,0,73548,7728,0,610,81277,81887,4526
2019-04-10,2019,4,10,port339,Fangcheng,China,CHN,0,2,0,0,1,2,3,0,348146,0,0,218,348146,348364,0,0,0,0,0,0,0,4527
2019-04-11,2019,4,11,port339,Fangcheng,China,CHN,0,2,0,0,1,2,3,0,189646,0,0,15293,189646,204940,0,0,0,0,0,0,0,4528
2019-04-12,2019,4,12,port339,Fangcheng,China,CHN,0,7,2,0,0,9,9,0,514324,2238,0,0,516563,516563,0,0,4163,0,0,4163,4163,4529
2019-04-13,2019,4,13,port339,Fangcheng,China,CHN,0,0,1,0,1,1,2,0,0,3934,0,2565,3934,6500,0,0,0,0,274,0,274,4530
2019-04-14,2019,4,14,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,195117,0,0,0,195117,195117,0,0,0,0,0,0,0,4531
2019-04-15,2019,4,15,port339,Fangcheng,China,CHN,0,2,1,0,0,3,3,0,29073,4593,0,0,33666,33666,0,0,0,0,0,0,0,4532
2019-04-16,2019,4,16,port339,Fangcheng,China,CHN,0,3,0,0,1,3,4,0,111624,0,0,31851,111624,143475,0,0,0,0,0,0,0,4533
2019-04-17,2019,4,17,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,237846,0,0,0,237846,237846,0,0,0,0,0,0,0,4534
2019-04-18,2019,4,18,port339,Fangcheng,China,CHN,0,4,0,0,1,4,5,0,323013,0,0,2565,323013,325579,0,0,0,0,274,0,274,4539
2019-04-19,2019,4,19,port339,Fangcheng,China,CHN,0,2,1,0,1,3,4,0,94508,0,0,2565,94508,97073,0,4280,1099,0,274,5380,5654,4545
2019-04-20,2019,4,20,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,31693,0,0,0,31693,31693,0,0,0,0,0,0,0,4549
2019-04-21,2019,4,21,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,54533,0,0,0,54533,54533,0,6279,0,0,0,6279,6279,4553
2019-04-22,2019,4,22,port339,Fangcheng,China,CHN,0,4,0,0,0,4,4,0,368501,0,0,0,368501,368501,0,15259,0,0,0,15259,15259,4557
2019-04-23,2019,4,23,port339,Fangcheng,China,CHN,0,3,1,0,1,4,5,0,316950,3328,0,1898,320278,322176,0,6279,0,0,0,6279,6279,4561
2019-04-24,2019,4,24,port339,Fangcheng,China,CHN,0,4,0,0,1,4,5,0,230256,0,0,0,230256,230256,0,0,0,0,191,0,191,4565
2019-04-25,2019,4,25,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,83772,0,0,0,83772,83772,0,29953,0,0,0,29953,29953,4569
2019-04-26,2019,4,26,port339,Fangcheng,China,CHN,0,5,1,0,0,6,6,0,293138,2161,0,0,295299,295299,0,50762,0,0,0,50762,50762,4573
2019-04-27,2019,4,27,port339,Fangcheng,China,CHN,0,3,0,0,2,3,5,0,58478,0,0,12743,58478,71222,0,18877,0,0,407,18877,19284,4577
2019-04-28,2019,4,28,port339,Fangcheng,China,CHN,0,3,3,0,0,6,6,0,146791,1007,0,0,147798,147798,0,0,6472,0,0,6472,6472,4585
2019-04-29,2019,4,29,port339,Fangcheng,China,CHN,0,3,1,0,0,4,4,0,239265,3795,0,0,243060,243060,0,6989,0,0,0,6989,6989,4588
2019-04-30,2019,4,30,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,196873,0,0,0,196873,196873,0,4438,0,0,0,4438,4438,4592
2019-05-01,2019,5,1,port339,Fangcheng,China,CHN,0,4,0,0,1,4,5,0,227541,0,0,16229,227541,243770,0,73029,0,0,0,73029,73029,4596
2019-05-02,2019,5,2,port339,Fangcheng,China,CHN,0,3,0,0,1,3,4,0,264091,0,0,0,264091,264091,0,0,0,0,18983,0,18983,4600
2019-05-03,2019,5,3,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,51289,0,0,0,51289,51289,0,49035,0,0,0,49035,49035,4604
2019-05-04,2019,5,4,port339,Fangcheng,China,CHN,0,1,0,0,1,1,2,0,0,0,0,11812,0,11812,0,51195,0,0,270,51195,51466,4608
2019-05-05,2019,5,5,port339,Fangcheng,China,CHN,0,3,1,0,0,4,4,0,146861,2238,0,0,149100,149100,0,0,1984,0,0,1984,1984,4612
2019-05-06,2019,5,6,port339,Fangcheng,China,CHN,0,4,0,0,2,4,6,0,195717,0,0,7066,195717,202783,0,0,0,0,1019,0,1019,4616
2019-05-07,2019,5,7,port339,Fangcheng,China,CHN,0,4,1,0,0,5,5,0,174280,7443,0,0,181724,181724,0,0,0,0,0,0,0,4620
2019-05-08,2019,5,8,port339,Fangcheng,China,CHN,0,2,0,0,0,2,2,0,372970,0,0,0,372970,372970,0,0,0,0,0,0,0,4623
2019-05-09,2019,5,9,port339,Fangcheng,China,CHN,0,4,1,0,1,5,6,0,215161,7160,0,14358,222322,236681,0,0,0,0,0,0,0,4625
2019-05-10,2019,5,10,port339,Fangcheng,China,CHN,0,2,2,0,0,4,4,0,253441,12014,0,0,265456,265456,0,0,2939,0,0,2939,2939,4629
2019-05-11,2019,5,11,port339,Fangcheng,China,CHN,0,5,2,0,0,7,7,0,219063,8713,0,0,227776,227776,0,18877,3896,0,0,22773,22773,4633
2019-05-12,2019,5,12,port339,Fangcheng,China,CHN,0,2,0,0,0,2,2,0,162310,0,0,0,162310,162310,0,3313,0,0,0,3313,3313,4637
2019-05-13,2019,5,13,port339,Fangcheng,China,CHN,0,1,2,0,0,3,3,0,0,0,0,0,0,0,0,75334,4794,0,0,80128,80128,4641
2019-05-14,2019,5,14,port339,Fangcheng,China,CHN,0,5,0,0,0,5,5,0,113738,0,0,0,113738,113738,0,71739,0,0,0,71739,71739,4645
2019-05-15,2019,5,15,port339,Fangcheng,China,CHN,0,3,1,0,1,4,5,0,180730,7000,0,2717,187731,190448,0,0,0,0,7606,0,7606,4649
2019-05-16,2019,5,16,port339,Fangcheng,China,CHN,0,3,1,0,0,4,4,0,219488,6939,0,0,226427,226427,0,0,0,0,0,0,0,4653
2019-05-17,2019,5,17,port339,Fangcheng,China,CHN,0,2,1,0,1,3,4,0,152175,1524,0,0,153699,153699,0,0,0,0,0,0,0,4657
2019-05-18,2019,5,18,port339,Fangcheng,China,CHN,0,3,2,0,0,5,5,0,91185,4477,0,0,95663,95663,0,6279,3968,0,0,10248,10248,4661
2019-05-19,2019,5,19,port339,Fangcheng,China,CHN,0,2,0,0,1,2,3,0,249094,0,0,16229,249094,265324,0,0,0,0,0,0,0,4665
2019-05-20,2019,5,20,port339,Fangcheng,China,CHN,0,5,0,0,0,5,5,0,416916,0,0,0,416916,416916,0,6279,0,0,0,6279,6279,4669
2019-05-21,2019,5,21,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,80638,0,0,0,80638,80638,0,0,0,0,0,0,0,4673
2019-05-22,2019,5,22,port339,Fangcheng,China,CHN,0,4,2,0,1,6,7,0,223828,6800,0,12961,230629,243590,0,0,4414,0,0,4414,4414,4677
2019-05-23,2019,5,23,port339,Fangcheng,China,CHN,0,5,3,0,0,8,8,0,338355,7154,0,0,345510,345510,0,20398,4315,0,0,24714,24714,4681
2019-05-24,2019,5,24,port339,Fangcheng,China,CHN,0,3,1,0,0,4,4,0,249574,0,0,0,249574,249574,0,27807,3879,0,0,31687,31687,4685
2019-05-25,2019,5,25,port339,Fangcheng,China,CHN,0,6,0,0,0,6,6,0,501646,0,0,0,501646,501646,0,33558,0,0,0,33558,33558,4689
2019-05-26,2019,5,26,port339,Fangcheng,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4693
2019-05-27,2019,5,27,port339,Fangcheng,China,CHN,0,3,0,0,2,3,5,0,272217,0,0,2565,272217,274783,0,0,0,0,19141,0,19141,4697
2019-05-28,2019,5,28,port339,Fangcheng,China,CHN,0,6,1,0,0,7,7,0,353958,6600,0,0,360559,360559,0,0,0,0,0,0,0,4701
2019-05-29,2019,5,29,port339,Fangcheng,China,CHN,0,2,1,0,0,3,3,0,71547,0,0,0,71547,71547,0,16861,1676,0,0,18537,18537,4705
2019-05-30,2019,5,30,port339,Fangcheng,China,CHN,0,7,1,0,2,8,10,0,373725,0,0,5729,373725,379454,0,64779,1628,0,0,66407,66407,4711
2019-05-31,2019,5,31,port339,Fangcheng,China,CHN,0,1,1,0,0,2,2,0,4438,2238,0,0,6677,6677,0,0,1984,0,0,1984,1984,4713
2019-06-01,2019,6,1,port339,Fangcheng,China,CHN,0,4,0,0,0,4,4,0,204481,0,0,0,204481,204481,0,0,0,0,0,0,0,4717
2019-06-02,2019,6,2,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,28394,0,0,0,28394,28394,0,0,0,0,0,0,0,4721
2019-06-03,2019,6,3,port339,Fangcheng,China,CHN,0,3,2,0,2,5,7,0,326572,2238,0,12743,328811,341555,0,0,6569,0,0,6569,6569,4725
2019-06-04,2019,6,4,port339,Fangcheng,China,CHN,0,3,2,0,0,5,5,0,131397,12019,0,0,143417,143417,0,0,7160,0,0,7160,7160,4729
2019-06-05,2019,6,5,port339,Fangcheng,China,CHN,0,3,1,0,1,4,5,0,54876,8661,0,1907,63537,65445,0,50510,0,0,0,50510,50510,4733
2019-06-06,2019,6,6,port339,Fangcheng,China,CHN,0,4,2,0,0,6,6,0,291141,3182,0,0,294324,294324,0,0,4776,0,0,4776,4776,4737
2019-06-07,2019,6,7,port339,Fangcheng,China,CHN,0,2,1,0,1,3,4,0,126269,0,0,42720,126269,168989,0,0,7489,0,0,7489,7489,4741
2019-06-08,2019,6,8,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,112828,0,0,0,112828,112828,0,362,0,0,0,362,362,4745
2019-06-09,2019,6,9,port339,Fangcheng,China,CHN,0,4,3,0,1,7,8,0,170674,0,0,0,170674,170674,0,12202,10798,0,251,23000,23251,4749
2019-06-10,2019,6,10,port339,Fangcheng,China,CHN,0,3,0,0,0,3,3,0,354040,0,0,0,354040,354040,0,0,0,0,0,0,0,4751
2019-06-11,2019,6,11,port339,Fangcheng,China,CHN,0,3,2,0,0,5,5,0,296093,4667,0,0,300760,300760,0,0,1984,0,0,1984,1984,4755
2019-06-12,2019,6,12,port339,Fangcheng,China,CHN,0,2,2,0,0,4,4,0,71537,2238,0,0,73776,73776,0,0,19127,0,0,19127,19127,4759
2019-06-13,2019,6,13,port339,Fangcheng,China,CHN,0,3,1,0,1,4,5,0,218802,22260,0,4707,241063,245770,0,0,0,0,0,0,0,4763
2019-06-14,2019,6,14,port339,Fangcheng,China,CHN,0,1,0,0,0,1,1,0,35160,0,0,0,35160,35160,0,0,0,0,0,0,0,4767
2019-06-15,2019,6,15,port339,Fangcheng,China,CHN,0,4,1,0,0,5,5,0,231612,0,0,0,231612,231612,0,4099,0,0,0,4099,4099,4771
2019-06-16,2019,6,16,port339,Fangcheng,China,CHN,0,4,0,0,2,4,6,0,188713,0,0,0,188713,188713,0,0,0,0,669,0,669,4775
2019-06-17,2019,6,17,port339,Fangcheng,China,CHN,0,3,1,0,0,4,4,0,339973,238,0,0,340212,340212,0,0,0,0,0,0,0,4779
2019-06-18,2019,6,18,port339,Fangcheng,China,CHN,0,6,1,0,1,7,8,0,443898,0,0,0,443898,443898,0,23337,3996,0,4171,27334,31505,4783
2019-06-19,2019,6,19,port339,Fangcheng,China,CHN,0,3,1,0,0,4,4,0,249750,0,0,0,249750,249750,0,0,3767,0,0,3767,3767,4787
2019-06-20,2019,6,20,port339,Fangcheng,China,CHN,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,3266,0,19037,3266,22303,4793
