date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port364,Fukuyama,Japan,JPN,1,1,1,0,0,3,3,1271,6551,2182,0,0,10005,10005,0,0,0,0,0,0,0,1257840
2019-01-02,2019,1,2,port364,Fukuyama,Japan,JPN,1,0,6,0,1,7,8,603,0,416,0,0,1019,1019,142,0,17714,0,0,17857,17857,1257842
2019-01-03,2019,1,3,port364,Fukuyama,Japan,JPN,0,1,11,0,2,12,14,0,0,524,0,288,524,813,0,30581,6246,0,339,36828,37168,1257844
2019-01-04,2019,1,4,port364,Fukuyama,Japan,JPN,0,3,11,0,1,14,15,0,323952,3644,0,0,327597,327597,0,0,8631,0,0,8631,8631,1257846
2019-01-05,2019,1,5,port364,Fukuyama,Japan,JPN,0,2,9,0,1,11,12,0,125274,874,0,0,126148,126148,0,41299,8631,0,400,49931,50332,1257848
2019-01-06,2019,1,6,port364,Fukuyama,Japan,JPN,1,1,10,0,2,12,14,2282,0,524,0,949,2807,3756,0,0,14737,0,184,14737,14921,1257850
2019-01-07,2019,1,7,port364,Fukuyama,Japan,JPN,0,3,8,0,1,11,12,0,1232,1272,0,949,2505,3454,0,28231,8667,0,184,36898,37082,1257852
2019-01-08,2019,1,8,port364,Fukuyama,Japan,JPN,1,2,14,0,1,17,18,326,170579,2358,0,0,173264,173264,0,0,10593,0,469,10593,11062,1257854
2019-01-09,2019,1,9,port364,Fukuyama,Japan,JPN,1,2,14,1,2,18,20,603,616,1945,0,0,3165,3165,142,3167,24982,0,1014,28292,29307,1257856
2019-01-10,2019,1,10,port364,Fukuyama,Japan,JPN,3,3,10,0,2,16,18,1207,136868,3254,0,1237,141330,142567,489,486,6716,0,524,7693,8217,1257858
2019-01-11,2019,1,11,port364,Fukuyama,Japan,JPN,2,3,10,0,1,15,16,603,616,699,0,227,1919,2146,401,18799,6905,0,238,26106,26344,1257862
2019-01-12,2019,1,12,port364,Fukuyama,Japan,JPN,0,3,13,1,3,17,20,0,75493,2070,0,1525,77563,79089,0,6046,23444,0,864,29490,30354,1257864
2019-01-13,2019,1,13,port364,Fukuyama,Japan,JPN,1,3,10,0,0,14,14,771,25789,1007,0,0,27568,27568,0,486,6717,0,0,7203,7203,1257866
2019-01-14,2019,1,14,port364,Fukuyama,Japan,JPN,1,2,9,0,1,12,13,1269,0,524,0,0,1793,1793,0,18830,12757,0,0,31588,31588,1257868
2019-01-15,2019,1,15,port364,Fukuyama,Japan,JPN,1,3,8,1,2,13,15,324,72887,1745,0,288,74958,75246,0,27300,3452,0,339,30753,31093,1257870
2019-01-16,2019,1,16,port364,Fukuyama,Japan,JPN,1,3,11,0,1,15,16,1069,48502,699,0,0,50272,50272,0,6532,12876,0,0,19409,19409,1257872
2019-01-17,2019,1,17,port364,Fukuyama,Japan,JPN,3,2,8,0,1,13,14,0,148257,524,0,0,148782,148782,389,0,9030,0,0,9420,9420,1257874
2019-01-18,2019,1,18,port364,Fukuyama,Japan,JPN,1,1,14,1,2,17,19,603,146992,699,0,0,148295,148295,142,0,20813,0,0,20956,20956,1257876
