date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2022-10-06,2022,10,6,port380,Gdansk,Poland,POL,0,1,8,0,2,9,11,0,0,998,0,148605,998,149603,0,0,11926,0,5202,11926,17129,2844001
2022-10-07,2022,10,7,port380,Gdansk,Poland,POL,2,2,3,0,1,7,8,23269,0,7699,0,1480,30969,32449,3209,48247,399,0,74,51856,51930,2844002
2022-10-08,2022,10,8,port380,Gdansk,Poland,POL,3,2,1,1,3,7,10,81552,28861,4455,0,97404,114868,212272,17104,0,0,306,2749,17410,20160,2844003
2022-10-09,2022,10,9,port380,Gdansk,Poland,POL,3,2,4,0,2,9,11,24889,118795,7128,0,83772,150813,234585,29052,36520,2171,0,0,67744,67744,2844005
2022-10-10,2022,10,10,port380,Gdansk,Poland,POL,4,0,6,0,2,10,12,44960,0,8458,0,0,53419,53419,19926,0,6677,0,6343,26603,32946,2844006
2022-10-11,2022,10,11,port380,Gdansk,Poland,POL,2,3,3,0,1,8,9,0,97751,4477,0,2312,102229,104541,40356,0,0,0,0,40356,40356,2844007
2022-10-12,2022,10,12,port380,Gdansk,Poland,POL,1,1,5,0,2,7,9,0,29079,489,0,116211,29568,145779,307093,8052,5016,0,0,320162,320162,2844008
2022-10-13,2022,10,13,port380,Gdansk,Poland,POL,2,3,4,1,0,10,10,11821,48322,7967,253,0,68364,68364,7170,12403,2365,0,0,21939,21939,2844009
2022-10-14,2022,10,14,port380,Gdansk,Poland,POL,2,1,2,0,3,5,8,32932,19113,7575,0,47484,59621,107106,0,0,0,0,74,0,74,2844010
2022-10-15,2022,10,15,port380,Gdansk,Poland,POL,6,2,4,0,0,12,12,223756,37743,3913,0,0,265414,265414,45639,0,649,0,0,46288,46288,2844011
