date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-11-28,2019,11,28,port391,Geraldton,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19812,0,0,0,19812,19812,2346001
2019-11-29,2019,11,29,port391,Geraldton,Australia,AUS,0,2,0,0,1,2,3,0,0,0,0,31907,0,31907,0,82604,0,0,0,82604,82604,2346002
2019-11-30,2019,11,30,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346003
2021-01-01,2021,1,1,port391,Geraldton,Australia,AUS,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,98892,0,0,0,98892,98892,2346004
2019-12-01,2019,12,1,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346005
2021-01-02,2021,1,2,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346006
2019-12-02,2019,12,2,port391,Geraldton,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,57678,13372,0,0,71050,71050,2346007
2021-01-03,2021,1,3,port391,Geraldton,Australia,AUS,0,1,0,0,0,1,1,0,656,0,0,0,656,656,0,24426,0,0,0,24426,24426,2346008
2019-12-03,2019,12,3,port391,Geraldton,Australia,AUS,0,1,0,0,0,1,1,0,8660,0,0,0,8660,8660,0,0,0,0,0,0,0,2346009
2021-01-04,2021,1,4,port391,Geraldton,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346010
2019-12-04,2019,12,4,port391,Geraldton,Australia,AUS,0,1,0,0,0,1,1,0,51305,0,0,0,51305,51305,0,0,0,0,0,0,0,2346011
2021-01-05,2021,1,5,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346012
2019-12-05,2019,12,5,port391,Geraldton,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,56484,0,0,0,56484,56484,2346013
2021-01-06,2021,1,6,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346014
2019-12-06,2019,12,6,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346015
2021-01-07,2021,1,7,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346016
2019-12-07,2019,12,7,port391,Geraldton,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19755,0,0,0,19755,19755,2346017
2021-01-08,2021,1,8,port391,Geraldton,Australia,AUS,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,105025,0,0,0,105025,105025,2346018
2021-01-09,2021,1,9,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346019
2021-01-10,2021,1,10,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346020
2021-01-11,2021,1,11,port391,Geraldton,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,67977,7413,0,0,75391,75391,2346021
2021-01-12,2021,1,12,port391,Geraldton,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346022
