date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-03-12,2021,3,12,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,31105,0,0,0,31105,31105,0,0,0,0,0,0,0,3208022
2019-01-02,2019,1,2,port709,Mormugao,India,IND,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208025
2021-03-13,2021,3,13,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208026
2019-01-03,2019,1,3,port709,Mormugao,India,IND,0,2,0,0,0,2,2,0,103784,0,0,0,103784,103784,0,0,0,0,0,0,0,3208029
2021-03-14,2021,3,14,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,32752,0,0,0,32752,32752,3208030
2019-01-04,2019,1,4,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,41129,0,0,0,41129,41129,0,8214,0,0,0,8214,8214,3208033
2021-03-15,2021,3,15,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,25325,0,0,0,25325,25325,3208034
2019-01-05,2019,1,5,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,31272,0,0,0,31272,31272,0,0,0,0,0,0,0,3208037
2021-03-16,2021,3,16,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208038
2019-01-06,2019,1,6,port709,Mormugao,India,IND,1,0,0,0,0,1,1,1420,0,0,0,0,1420,1420,3402,0,0,0,0,3402,3402,3208041
2021-03-17,2021,3,17,port709,Mormugao,India,IND,1,0,0,0,0,1,1,1420,0,0,0,0,1420,1420,3402,0,0,0,0,3402,3402,3208042
2019-01-07,2019,1,7,port709,Mormugao,India,IND,0,1,0,1,0,2,2,0,35259,0,0,0,35259,35259,0,0,0,0,0,0,0,3208045
2021-03-18,2021,3,18,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208046
2020-02-06,2020,2,6,port709,Mormugao,India,IND,0,0,1,0,0,1,1,0,0,1367,0,0,1367,1367,0,0,4198,0,0,4198,4198,3208439
2021-03-19,2021,3,19,port709,Mormugao,India,IND,0,1,0,0,1,1,2,0,187591,0,0,12306,187591,199897,0,0,0,0,1325,0,1325,3208441
2021-03-20,2021,3,20,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208442
2019-01-08,2019,1,8,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208443
2021-03-21,2021,3,21,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208445
2019-01-09,2019,1,9,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208446
2021-03-22,2021,3,22,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208448
2019-01-10,2019,1,10,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208449
2021-03-23,2021,3,23,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208451
2019-01-11,2019,1,11,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208452
2021-03-24,2021,3,24,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,43535,0,0,0,43535,43535,3208454
2019-01-12,2019,1,12,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,32920,0,0,0,32920,32920,0,0,0,0,0,0,0,3208455
2021-03-25,2021,3,25,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,46834,0,0,0,46834,46834,3208457
2019-01-13,2019,1,13,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208458
2021-03-26,2021,3,26,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,12954,0,0,0,12954,12954,0,0,0,0,0,0,0,3208460
2019-01-14,2019,1,14,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208461
2021-03-27,2021,3,27,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208463
2019-01-15,2019,1,15,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208464
2021-03-28,2021,3,28,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,41129,0,0,0,41129,41129,0,8214,0,0,0,8214,8214,3208466
2019-01-16,2019,1,16,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,41129,0,0,0,41129,41129,0,8214,0,0,0,8214,8214,3208467
2020-02-07,2020,2,7,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208469
2021-03-29,2021,3,29,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208470
2019-01-17,2019,1,17,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208471
2020-02-08,2020,2,8,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,41129,0,0,0,41129,41129,0,8214,0,0,0,8214,8214,3208473
2021-03-30,2021,3,30,port709,Mormugao,India,IND,0,2,1,0,0,3,3,0,82258,0,0,0,82258,82258,0,16429,0,0,0,16429,16429,3208474
2019-01-18,2019,1,18,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208475
2020-02-09,2020,2,9,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208477
2021-03-31,2021,3,31,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208478
2019-01-19,2019,1,19,port709,Mormugao,India,IND,0,0,0,0,1,0,1,0,0,0,0,35637,0,35637,0,0,0,0,0,0,0,3208479
2020-02-10,2020,2,10,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,90227,0,0,0,90227,90227,0,0,0,0,0,0,0,3208480
2021-04-01,2021,4,1,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,39810,0,0,0,39810,39810,0,0,0,0,0,0,0,3208481
2019-01-20,2019,1,20,port709,Mormugao,India,IND,1,0,0,0,0,1,1,1420,0,0,0,0,1420,1420,3402,0,0,0,0,3402,3402,3208482
2021-04-02,2021,4,2,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,37435,0,0,0,37435,37435,3208483
2019-01-21,2019,1,21,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208485
2021-04-03,2021,4,3,port709,Mormugao,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3208486
2019-01-22,2019,1,22,port709,Mormugao,India,IND,0,2,0,0,1,2,3,0,41129,0,0,12202,41129,53332,0,37867,0,0,766,37867,38633,3208488
2021-04-04,2021,4,4,port709,Mormugao,India,IND,1,2,0,0,0,3,3,1054,66459,0,0,0,67513,67513,0,8214,0,0,0,8214,8214,3208489
2019-01-23,2019,1,23,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,54048,0,0,0,54048,54048,0,0,0,0,0,0,0,3208491
2021-04-05,2021,4,5,port709,Mormugao,India,IND,0,1,0,0,0,1,1,0,33914,0,0,0,33914,33914,0,0,0,0,0,0,0,3208492
