date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398147
2019-01-02,2019,1,2,port411,Gove,Australia,AUS,0,1,0,1,0,2,2,0,0,0,136,0,136,136,0,0,0,19,0,19,19,2398148
2019-01-03,2019,1,3,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,91582,0,0,0,91582,91582,2398149
2019-01-04,2019,1,4,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398150
2019-01-05,2019,1,5,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398151
2019-01-06,2019,1,6,port411,Gove,Australia,AUS,0,1,0,0,1,1,2,0,0,0,0,524,0,524,0,84791,0,0,172,84791,84963,2398152
2019-01-07,2019,1,7,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398153
2019-01-08,2019,1,8,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,31123,0,0,0,31123,31123,2398154
2019-01-09,2019,1,9,port411,Gove,Australia,AUS,0,0,0,1,0,1,1,0,0,0,136,0,136,136,0,0,0,19,0,19,19,2398155
2019-01-10,2019,1,10,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,75456,0,0,0,75456,75456,2398156
2019-01-11,2019,1,11,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398157
2019-01-12,2019,1,12,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,111679,0,0,0,111679,111679,2398158
2019-01-13,2019,1,13,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398159
2019-01-14,2019,1,14,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398160
2019-01-15,2019,1,15,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398161
2019-01-16,2019,1,16,port411,Gove,Australia,AUS,0,0,0,1,0,1,1,0,0,0,136,0,136,136,0,0,0,19,0,19,19,2398162
2019-01-17,2019,1,17,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,32494,0,0,0,32494,32494,2398163
2019-01-18,2019,1,18,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398164
2019-01-19,2019,1,19,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398165
2019-01-20,2019,1,20,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,23983,0,0,0,23983,23983,2398166
2019-01-21,2019,1,21,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398167
2019-01-22,2019,1,22,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,27681,0,0,0,27681,27681,2398168
2019-01-23,2019,1,23,port411,Gove,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398169
2019-01-24,2019,1,24,port411,Gove,Australia,AUS,0,1,0,1,0,2,2,0,0,0,136,0,136,136,0,94531,0,19,0,94550,94550,2398170
2019-01-25,2019,1,25,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398171
2019-01-26,2019,1,26,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398172
2019-01-27,2019,1,27,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,91495,0,0,0,91495,91495,2398173
2019-01-28,2019,1,28,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398174
2019-01-29,2019,1,29,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,25405,0,0,0,25405,25405,2398175
2019-01-30,2019,1,30,port411,Gove,Australia,AUS,0,0,0,1,0,1,1,0,0,0,136,0,136,136,0,0,0,19,0,19,19,2398176
2019-01-31,2019,1,31,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,83512,0,0,0,83512,83512,2398177
2019-02-01,2019,2,1,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398178
2019-02-02,2019,2,2,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398179
2019-02-03,2019,2,3,port411,Gove,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398180
2019-02-04,2019,2,4,port411,Gove,Australia,AUS,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398181
2019-02-05,2019,2,5,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,36654,0,0,0,36654,36654,2398182
2019-02-06,2019,2,6,port411,Gove,Australia,AUS,0,0,0,1,0,1,1,0,0,0,136,0,136,136,0,0,0,19,0,19,19,2398183
2019-02-07,2019,2,7,port411,Gove,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,31098,0,0,0,31098,31098,2398184
