date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2022-01-08,2022,1,8,port425,Guangzhou (Nansha),China,CHN,12,2,2,0,2,16,18,30733,45756,3854,0,8478,80345,88824,35106,0,780,0,564,35886,36451,442014
2019-10-31,2019,10,31,port425,Guangzhou (Nansha),China,CHN,16,3,6,1,6,26,32,21707,105807,10189,958,14451,138662,153114,44662,2905,10386,0,8334,57955,66290,442053
2020-12-04,2020,12,4,port425,Guangzhou (Nansha),China,CHN,18,3,4,3,7,28,35,68801,99522,24959,2674,41133,195959,237092,61005,0,1263,407,4518,62676,67194,442404
2020-12-05,2020,12,5,port425,Guangzhou (Nansha),China,CHN,11,3,5,0,6,19,25,46930,67133,19778,0,45608,133842,179451,31617,5811,1175,0,2929,38604,41533,442405
2022-01-09,2022,1,9,port425,Guangzhou (Nansha),China,CHN,13,3,2,2,3,20,23,69972,72451,20586,619,3173,163630,166803,32054,10477,0,681,2227,43213,45440,442407
2019-11-01,2019,11,1,port425,Guangzhou (Nansha),China,CHN,14,4,4,2,8,24,32,48436,144275,17987,2078,58713,212777,271490,53398,5811,0,407,1182,59617,60799,442408
2020-12-06,2020,12,6,port425,Guangzhou (Nansha),China,CHN,13,2,1,1,2,17,19,73143,70840,272,0,3777,144256,148033,39602,0,0,0,4167,39602,43769,442409
2022-01-10,2022,1,10,port425,Guangzhou (Nansha),China,CHN,17,2,1,2,6,22,28,62658,106198,16415,619,8558,185893,194451,36621,0,0,1316,3694,37937,41631,442411
2019-11-02,2019,11,2,port425,Guangzhou (Nansha),China,CHN,12,0,2,3,7,17,24,25544,0,4746,0,22069,30291,52361,74036,0,0,1163,6724,75200,81924,442412
2020-12-07,2020,12,7,port425,Guangzhou (Nansha),China,CHN,16,6,2,3,9,27,36,153715,117744,3497,2358,60215,277315,337530,13486,8717,780,407,1237,23391,24629,442413
2022-01-11,2022,1,11,port425,Guangzhou (Nansha),China,CHN,17,0,2,2,4,21,25,98423,0,9360,619,5928,108403,114332,45111,0,0,2772,4627,47884,52512,442415
2019-11-03,2019,11,3,port425,Guangzhou (Nansha),China,CHN,14,0,0,3,5,17,22,72119,0,0,2667,10626,74786,85413,61793,0,0,407,1182,62200,63382,442416
2020-12-08,2020,12,8,port425,Guangzhou (Nansha),China,CHN,13,1,2,1,3,17,20,71144,0,9058,619,11777,80822,92600,49691,72755,780,407,1746,123634,125381,442417
2022-01-12,2022,1,12,port425,Guangzhou (Nansha),China,CHN,15,1,1,1,4,18,22,17692,10120,0,230,10522,28043,38566,74977,0,0,0,337,74977,75314,442419
2019-11-04,2019,11,4,port425,Guangzhou (Nansha),China,CHN,14,2,3,2,6,21,27,59564,60032,6416,2453,12576,128466,141042,46996,2905,1859,407,3250,52168,55419,442420
2020-12-09,2020,12,9,port425,Guangzhou (Nansha),China,CHN,10,2,6,3,8,21,29,42648,101403,13559,2782,46797,160394,207191,22513,0,4932,0,3670,27446,31116,442421
2022-01-13,2022,1,13,port425,Guangzhou (Nansha),China,CHN,15,1,3,2,7,21,28,39882,67353,17438,619,20217,125294,145511,51782,0,2387,1316,3284,55485,58769,442423
