date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-09-03,2019,9,3,port432,Gwangyang (Kwangyang),Korea,KOR,0,1,1,0,5,2,7,0,34670,719,0,0,35390,35390,0,0,1264,0,15587,1264,16852,3576001
2019-09-04,2019,9,4,port432,Gwangyang (Kwangyang),Korea,KOR,0,2,3,1,4,6,10,0,45248,1439,0,89085,46687,135773,0,0,3035,1113,46809,4149,50958,3576002
2019-09-05,2019,9,5,port432,Gwangyang (Kwangyang),Korea,KOR,2,0,1,0,7,3,10,14865,0,0,0,103480,14865,118346,147853,0,763,0,14410,148617,163027,3576003
2019-09-06,2019,9,6,port432,Gwangyang (Kwangyang),Korea,KOR,0,0,1,0,0,1,1,0,0,3524,0,0,3524,3524,0,0,0,0,0,0,0,3576004
2019-09-07,2019,9,7,port432,Gwangyang (Kwangyang),Korea,KOR,1,2,0,0,1,3,4,8189,16192,0,0,1938,24381,26319,0,14948,0,0,6779,14948,21727,3576005
2019-09-08,2019,9,8,port432,Gwangyang (Kwangyang),Korea,KOR,3,0,2,0,3,5,8,118104,0,0,0,6889,118104,124994,116531,0,3002,0,49609,119534,169143,3576006
2019-09-09,2019,9,9,port432,Gwangyang (Kwangyang),Korea,KOR,1,1,0,0,4,2,6,33053,0,0,0,5344,33053,38397,0,41730,0,0,9190,41730,50921,3576007
2019-09-10,2019,9,10,port432,Gwangyang (Kwangyang),Korea,KOR,1,1,2,0,7,4,11,33403,0,5857,0,95282,39260,134543,0,24104,4545,0,32470,28649,61120,3576008
2019-09-11,2019,9,11,port432,Gwangyang (Kwangyang),Korea,KOR,1,1,1,0,6,3,9,0,63386,0,0,5215,63386,68602,29173,0,814,0,9734,29987,39721,3576009
2019-09-12,2019,9,12,port432,Gwangyang (Kwangyang),Korea,KOR,0,0,2,0,0,2,2,0,0,719,0,0,719,719,0,0,3051,0,0,3051,3051,3576010
2019-09-13,2019,9,13,port432,Gwangyang (Kwangyang),Korea,KOR,1,1,1,0,3,3,6,46806,105,719,0,0,47631,47631,0,13297,1264,0,8291,14562,22854,3576011
2019-09-14,2019,9,14,port432,Gwangyang (Kwangyang),Korea,KOR,1,0,0,0,3,1,4,0,0,0,0,8183,0,8183,36029,0,0,0,4992,36029,41021,3576012
2019-09-15,2019,9,15,port432,Gwangyang (Kwangyang),Korea,KOR,0,0,0,0,2,0,2,0,0,0,0,2866,0,2866,0,0,0,0,1739,0,1739,3576013
2019-09-16,2019,9,16,port432,Gwangyang (Kwangyang),Korea,KOR,2,0,0,0,2,2,4,57414,0,0,0,88821,57414,146235,18238,0,0,0,9916,18238,28155,3576014
2019-09-17,2019,9,17,port432,Gwangyang (Kwangyang),Korea,KOR,1,0,0,0,6,1,7,73658,0,0,0,139527,73658,213185,0,0,0,0,102958,0,102958,3576015
2019-09-18,2019,9,18,port432,Gwangyang (Kwangyang),Korea,KOR,1,2,4,1,3,8,11,0,45702,1439,2422,39405,49564,88970,31686,11594,5823,0,53954,49103,103057,3576016
