date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port434,Hai Phong,Vietnam,VNM,9,1,2,0,2,12,14,20310,12408,3284,0,5233,36003,41237,2466,0,227,0,92,2693,2786,2785051
2019-01-02,2019,1,2,port434,Hai Phong,Vietnam,VNM,9,0,4,1,3,14,17,26844,0,4630,0,2053,31474,33528,1889,0,5337,0,35,7226,7262,2785052
2019-01-03,2019,1,3,port434,Hai Phong,Vietnam,VNM,14,1,8,1,4,24,28,35337,0,8712,0,1868,44050,45918,2518,0,2218,0,7270,4737,12007,2785053
2019-01-04,2019,1,4,port434,Hai Phong,Vietnam,VNM,9,0,6,1,6,16,22,12364,0,7288,0,8204,19653,27857,8209,0,1597,0,92,9807,9900,2785054
2019-01-05,2019,1,5,port434,Hai Phong,Vietnam,VNM,12,3,3,0,3,18,21,25102,46980,4739,0,2808,76823,79631,8583,1381,1125,0,0,11089,11089,2785055
2019-01-06,2019,1,6,port434,Hai Phong,Vietnam,VNM,10,0,5,0,4,15,19,20627,0,5329,0,3737,25957,29694,5162,0,769,0,185,5932,6118,2785056
2019-01-07,2019,1,7,port434,Hai Phong,Vietnam,VNM,10,1,14,0,1,25,26,21190,0,17348,0,2522,38539,41061,4670,1815,2902,0,0,9388,9388,2785057
2019-01-08,2019,1,8,port434,Hai Phong,Vietnam,VNM,7,2,2,1,2,12,14,14249,7365,5742,410,0,27768,27768,2523,0,414,0,172,2937,3110,2785058
2019-01-09,2019,1,9,port434,Hai Phong,Vietnam,VNM,14,1,4,0,5,19,24,16541,0,7128,0,6858,23669,30527,11458,12717,355,0,269,24530,24800,2785059
2019-01-10,2019,1,10,port434,Hai Phong,Vietnam,VNM,6,2,10,0,7,18,25,10492,0,12871,0,12392,23364,35757,2292,0,2535,0,11299,4828,16128,2785060
2019-01-11,2019,1,11,port434,Hai Phong,Vietnam,VNM,11,2,7,1,3,21,24,16031,0,6612,0,9678,22644,32322,11274,0,2643,0,35,13917,13953,2785061
2019-01-12,2019,1,12,port434,Hai Phong,Vietnam,VNM,13,1,6,0,3,20,23,19234,0,4758,0,0,23993,23993,11719,0,2470,0,0,14190,14190,2785062
2019-01-13,2019,1,13,port434,Hai Phong,Vietnam,VNM,9,0,4,0,2,13,15,18806,0,7776,0,860,26582,27442,629,0,355,0,7243,985,8228,2785063
2019-01-14,2019,1,14,port434,Hai Phong,Vietnam,VNM,7,1,6,0,4,14,18,6731,4636,5424,0,2291,16791,19083,1693,0,711,0,0,2404,2404,2785064
2019-01-15,2019,1,15,port434,Hai Phong,Vietnam,VNM,14,2,7,0,4,23,27,21281,0,3087,0,4767,24368,29135,5311,0,2047,0,92,7359,7452,2785065
2019-01-16,2019,1,16,port434,Hai Phong,Vietnam,VNM,13,1,6,0,2,20,22,21918,0,12366,0,4792,34284,39077,6896,675,1262,0,0,8834,8834,2785066
2019-01-17,2019,1,17,port434,Hai Phong,Vietnam,VNM,12,1,1,0,3,14,17,37944,7422,0,0,9532,45366,54899,2260,1381,2194,0,0,5836,5836,2785067
2019-01-18,2019,1,18,port434,Hai Phong,Vietnam,VNM,11,0,4,1,5,16,21,25243,0,1543,0,19361,26786,46148,5544,0,355,0,0,5900,5900,2785068
2019-01-19,2019,1,19,port434,Hai Phong,Vietnam,VNM,8,1,4,0,3,13,16,15110,27723,4630,0,7115,47464,54579,8066,0,1066,0,176,9133,9310,2785069
2019-01-20,2019,1,20,port434,Hai Phong,Vietnam,VNM,9,1,8,1,3,19,22,11904,2270,6645,0,4556,20821,25378,9466,0,1066,0,92,10533,10626,2785070
2019-01-21,2019,1,21,port434,Hai Phong,Vietnam,VNM,13,0,3,0,5,16,21,30497,0,3087,0,4767,33584,38351,5450,0,2360,0,92,7810,7903,2785071
2019-01-22,2019,1,22,port434,Hai Phong,Vietnam,VNM,11,0,2,0,6,13,19,19557,0,1543,0,2895,21100,23996,2799,0,355,0,3274,3155,6430,2785072
2019-01-23,2019,1,23,port434,Hai Phong,Vietnam,VNM,10,1,5,0,6,16,22,17993,9046,8331,0,6650,35371,42021,6711,0,711,0,0,7422,7422,2785073
2019-01-24,2019,1,24,port434,Hai Phong,Vietnam,VNM,5,2,7,0,6,14,20,8658,22981,4739,0,12587,36379,48966,629,0,1486,0,92,2116,2208,2785074
2019-01-25,2019,1,25,port434,Hai Phong,Vietnam,VNM,14,0,6,1,1,21,22,12343,0,6106,214,4306,18665,22971,1954,0,1066,0,176,3021,3197,2785075
2019-01-26,2019,1,26,port434,Hai Phong,Vietnam,VNM,11,0,7,1,4,19,23,11178,0,12919,0,0,24098,24098,9294,0,1422,0,1134,10716,11851,2785076
2019-01-27,2019,1,27,port434,Hai Phong,Vietnam,VNM,7,2,7,0,2,16,18,6675,7422,12793,0,1868,26891,28760,4422,3686,711,0,92,8819,8912,2785077
2019-01-28,2019,1,28,port434,Hai Phong,Vietnam,VNM,9,0,8,0,4,17,21,12147,0,6765,0,7735,18912,26648,4270,0,1673,0,92,5944,6036,2785078
2019-01-29,2019,1,29,port434,Hai Phong,Vietnam,VNM,12,2,5,0,3,19,22,9888,28341,6221,0,4584,44451,49036,9081,0,711,0,92,9792,9885,2785079
2019-01-30,2019,1,30,port434,Hai Phong,Vietnam,VNM,16,2,7,0,3,25,28,18420,7422,9124,0,7351,34966,42318,6987,1381,1480,0,539,9849,10388,2785080
2019-01-31,2019,1,31,port434,Hai Phong,Vietnam,VNM,6,0,6,0,3,12,15,2981,0,10196,0,0,13177,13177,5313,0,1707,0,0,7021,7021,2785081
2019-02-01,2019,2,1,port434,Hai Phong,Vietnam,VNM,10,1,9,0,6,20,26,13603,5247,12348,0,8875,31199,40074,6077,0,2844,0,267,8921,9189,2785082
2019-02-02,2019,2,2,port434,Hai Phong,Vietnam,VNM,8,3,5,2,2,18,20,12847,17943,8416,0,0,39207,39207,9421,0,829,0,0,10251,10251,2785083
2019-02-03,2019,2,3,port434,Hai Phong,Vietnam,VNM,10,1,4,1,2,16,18,7291,0,1543,585,3720,9420,13140,10950,1591,355,0,92,12897,12989,2785084
2019-02-04,2019,2,4,port434,Hai Phong,Vietnam,VNM,11,0,2,0,3,13,16,27989,0,0,0,4767,27989,32756,2518,0,71,0,92,2590,2683,2785085
2019-02-05,2019,2,5,port434,Hai Phong,Vietnam,VNM,3,0,1,0,1,4,5,1948,0,1543,0,0,3491,3491,3426,0,355,0,0,3781,3781,2785086
2019-02-06,2019,2,6,port434,Hai Phong,Vietnam,VNM,13,0,0,0,1,13,14,29447,0,0,0,1868,29447,31315,9941,0,0,0,92,9941,10034,2785087
2019-02-07,2019,2,7,port434,Hai Phong,Vietnam,VNM,5,1,2,0,3,8,11,13462,0,390,0,7115,13853,20968,0,0,272,0,176,272,449,2785088
2019-02-08,2019,2,8,port434,Hai Phong,Vietnam,VNM,7,0,2,0,1,9,10,15759,0,1543,0,4606,17302,21909,629,0,355,0,0,985,985,2785089
2019-02-09,2019,2,9,port434,Hai Phong,Vietnam,VNM,7,2,6,1,2,16,18,9410,10233,5082,0,9111,24726,33838,2062,1381,711,0,92,4154,4247,2785090
2019-02-10,2019,2,10,port434,Hai Phong,Vietnam,VNM,2,1,10,0,1,13,14,1760,0,12456,0,4780,14217,18997,6000,0,2902,0,0,8903,8903,2785091
2019-02-11,2019,2,11,port434,Hai Phong,Vietnam,VNM,7,0,6,0,4,13,17,18696,0,11763,0,5440,30459,35900,9020,0,582,0,535,9603,10138,2785092
2019-02-12,2019,2,12,port434,Hai Phong,Vietnam,VNM,6,1,7,1,2,15,17,7308,1680,10690,0,8980,19679,28660,5079,0,2811,0,176,7891,8068,2785093
2019-02-13,2019,2,13,port434,Hai Phong,Vietnam,VNM,14,1,4,0,1,19,20,37702,0,6480,0,0,44182,44182,6458,0,996,0,0,7454,7454,2785094
2019-02-14,2019,2,14,port434,Hai Phong,Vietnam,VNM,5,0,2,0,5,7,12,5069,0,3087,0,18584,8156,26740,5391,0,711,0,2153,6102,8256,2785095
2019-02-15,2019,2,15,port434,Hai Phong,Vietnam,VNM,10,0,1,1,6,12,18,14620,0,1917,0,13083,16538,29621,14126,0,0,0,269,14126,14395,2785096
2019-02-16,2019,2,16,port434,Hai Phong,Vietnam,VNM,9,2,7,0,2,18,20,18579,0,13270,0,4234,31850,36084,1396,0,1649,0,0,3045,3045,2785097
2019-02-17,2019,2,17,port434,Hai Phong,Vietnam,VNM,6,1,4,0,4,11,15,15822,2326,2038,0,3737,20188,23925,1889,0,414,0,185,2303,2488,2785098
2019-02-18,2019,2,18,port434,Hai Phong,Vietnam,VNM,10,1,5,0,4,16,20,20579,31994,4630,0,1715,57203,58919,2657,0,1066,0,0,3724,3724,2785099
2019-02-19,2019,2,19,port434,Hai Phong,Vietnam,VNM,12,0,1,0,4,13,17,27522,0,0,0,7584,27522,35107,1585,0,0,0,0,1585,1585,2785100
2019-02-20,2019,2,20,port434,Hai Phong,Vietnam,VNM,9,0,5,2,3,16,19,11893,0,3670,2145,32987,17710,50697,2785,0,828,0,176,3614,3790,2785101
2019-02-21,2019,2,21,port434,Hai Phong,Vietnam,VNM,4,0,4,0,1,8,9,3969,0,3289,0,0,7258,7258,572,0,0,0,0,572,572,2785102
2019-02-22,2019,2,22,port434,Hai Phong,Vietnam,VNM,9,0,10,0,4,19,23,7128,0,12850,0,6654,19978,26633,14913,0,1125,0,92,16038,16130,2785103
2019-02-23,2019,2,23,port434,Hai Phong,Vietnam,VNM,6,0,0,0,1,6,7,3253,0,0,0,0,3253,3253,3284,0,0,0,309,3284,3594,2785104
2019-02-24,2019,2,24,port434,Hai Phong,Vietnam,VNM,5,0,1,0,2,6,8,3032,0,0,0,0,3032,3032,2979,0,3603,0,0,6583,6583,2785105
2019-02-25,2019,2,25,port434,Hai Phong,Vietnam,VNM,12,6,10,1,5,29,34,19108,35495,12738,0,8517,67343,75860,14158,2762,1539,0,535,18460,18995,2785106
2019-02-26,2019,2,26,port434,Hai Phong,Vietnam,VNM,14,1,4,0,5,19,24,25889,7422,4356,0,12877,37669,50546,2650,1381,769,0,3678,4801,8479,2785107
2019-02-27,2019,2,27,port434,Hai Phong,Vietnam,VNM,7,0,4,0,5,11,16,13312,0,3087,0,12199,16399,28598,1000,0,711,0,373,1711,2085,2785108
