"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2019-01-01","port442","Haldia","India","IND","0","3","1","0","2","4","6","0","60237","0","0","15568","60237","75806","0","3067","0","0","1003","3067","4071"
"2019-01-02","port442","Haldia","India","IND","0","2","0","0","1","2","3","0","6743","0","0","46918","6743","53662","0","0","0","0","0","0","0"
"2019-01-03","port442","Haldia","India","IND","0","3","0","0","2","3","5","0","23361","0","0","3690","23361","27052","0","99619","0","0","0","99619","99619"
"2019-01-04","port442","Haldia","India","IND","2","3","1","0","0","6","6","1871","76992","2909","0","0","81772","81772","4547","6135","714","0","0","11397","11397"
"2019-01-05","port442","Haldia","India","IND","0","3","0","0","1","3","4","0","0","0","0","2201","0","2201","0","26532","0","0","0","26532","26532"
"2019-01-06","port442","Haldia","India","IND","1","1","0","0","1","2","3","1735","23361","0","0","7026","25097","32123","1697","3067","0","0","1003","4765","5769"
"2019-01-07","port442","Haldia","India","IND","0","5","0","0","1","5","6","0","76540","0","0","7026","76540","83566","0","6135","0","0","1003","6135","7138"
"2019-01-08","port442","Haldia","India","IND","1","1","1","0","1","3","4","0","0","0","0","5224","0","5224","751","50135","0","0","0","50887","50887"
"2019-01-09","port442","Haldia","India","IND","0","1","0","0","2","1","3","0","0","0","0","2458","0","2458","0","0","0","0","0","0","0"
"2019-01-10","port442","Haldia","India","IND","1","1","0","0","3","2","5","1735","0","0","0","7820","1735","9555","1697","0","0","0","1003","1697","2701"
"2019-01-11","port442","Haldia","India","IND","0","4","0","0","1","4","5","0","101491","0","0","59501","101491","160992","0","3067","0","0","0","3067","3067"
"2019-01-12","port442","Haldia","India","IND","1","1","0","0","3","2","5","0","20876","0","0","59907","20876","80784","2427","0","0","0","0","2427","2427"
"2019-01-13","port442","Haldia","India","IND","1","2","1","0","1","4","5","1735","45131","0","0","7026","46866","53892","1697","3067","0","0","1003","4765","5769"
"2019-01-14","port442","Haldia","India","IND","0","4","0","0","1","4","5","0","69621","0","0","48305","69621","117927","0","3067","0","0","0","3067","3067"
"2019-01-15","port442","Haldia","India","IND","0","2","1","0","1","3","4","0","0","2909","0","0","2909","2909","0","81598","714","0","4564","82312","86877"
"2019-01-16","port442","Haldia","India","IND","1","3","0","0","1","4","5","0","23361","0","0","0","23361","23361","1329","103187","0","0","0","104517","104517"
"2019-01-17","port442","Haldia","India","IND","0","2","0","0","1","2","3","0","117328","0","0","9874","117328","127203","0","0","0","0","1483","0","1483"
"2019-01-18","port442","Haldia","India","IND","2","2","0","0","1","4","5","2902","99938","0","0","32908","102840","135748","6130","3067","0","0","0","9198","9198"
"2019-01-19","port442","Haldia","India","IND","0","2","0","0","0","2","2","0","46723","0","0","0","46723","46723","0","6135","0","0","0","6135","6135"
"2019-01-20","port442","Haldia","India","IND","1","1","0","0","3","2","5","6888","23361","0","0","24954","30250","55204","0","3067","0","0","1003","3067","4071"
"2019-01-21","port442","Haldia","India","IND","0","2","0","0","1","2","3","0","0","0","0","8542","0","8542","0","0","0","0","0","0","0"
"2019-01-22","port442","Haldia","India","IND","0","2","0","0","0","2","2","0","23361","0","0","0","23361","23361","0","3067","0","0","0","3067","3067"
"2019-01-23","port442","Haldia","India","IND","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","54494","0","0","0","54494","54494"
"2019-01-24","port442","Haldia","India","IND","0","0","0","0","1","0","1","0","0","0","0","2237","0","2237","0","0","0","0","0","0","0"
"2019-01-25","port442","Haldia","India","IND","1","3","0","0","2","4","6","1735","0","0","0","0","1735","1735","1697","3283","0","0","0","4981","4981"
"2019-01-26","port442","Haldia","India","IND","0","4","1","0","1","5","6","0","93447","0","0","56522","93447","149969","0","12270","0","0","0","12270","12270"
"2019-01-27","port442","Haldia","India","IND","1","1","0","0","0","2","2","0","23361","0","0","0","23361","23361","3399","3067","0","0","0","6466","6466"
"2019-01-28","port442","Haldia","India","IND","0","2","0","0","4","2","6","0","23361","0","0","16900","23361","40262","0","3067","0","0","10224","3067","13292"
"2019-01-29","port442","Haldia","India","IND","0","2","0","0","0","2","2","0","98417","0","0","0","98417","98417","0","3067","0","0","0","3067","3067"
"2019-01-30","port442","Haldia","India","IND","1","5","2","0","1","8","9","4788","223741","0","0","0","228529","228529","0","0","0","0","1201","0","1201"
"2019-01-31","port442","Haldia","India","IND","2","2","0","0","2","4","6","1735","0","0","0","10614","1735","12349","7122","0","0","0","4854","7122","11977"
"2019-02-01","port442","Haldia","India","IND","2","1","0","0","1","3","4","1735","74539","0","0","7026","76274","83300","9318","0","0","0","1003","9318","10321"
"2019-02-02","port442","Haldia","India","IND","1","5","0","0","1","6","7","0","130859","0","0","46918","130859","177778","1044","0","0","0","0","1044","1044"
"2019-02-03","port442","Haldia","India","IND","0","1","1","0","1","2","3","0","23361","0","0","0","23361","23361","0","3067","0","0","182","3067","3249"
"2019-02-04","port442","Haldia","India","IND","0","2","0","0","2","2","4","0","23361","0","0","7026","23361","30388","0","44554","0","0","5495","44554","50050"
"2019-02-05","port442","Haldia","India","IND","2","2","0","0","2","4","6","0","46723","0","0","7030","46723","53754","10200","6135","0","0","0","16336","16336"
"2019-02-06","port442","Haldia","India","IND","0","5","0","0","0","5","5","0","50511","0","0","0","50511","50511","0","3067","0","0","0","3067","3067"
"2019-02-07","port442","Haldia","India","IND","0","2","0","0","1","2","3","0","102125","0","0","0","102125","102125","0","3067","0","0","12042","3067","15110"
"2019-02-08","port442","Haldia","India","IND","1","4","2","0","0","7","7","1735","28248","2909","0","0","32893","32893","1697","14660","714","0","0","17072","17072"
"2019-02-09","port442","Haldia","India","IND","0","3","1","0","1","4","5","0","96829","0","0","7026","96829","103855","0","3067","0","0","1003","3067","4071"
"2019-02-10","port442","Haldia","India","IND","0","1","0","0","0","1","1","0","23361","0","0","0","23361","23361","0","3067","0","0","0","3067","3067"
"2019-02-11","port442","Haldia","India","IND","0","5","0","0","1","5","6","0","104127","0","0","3290","104127","107418","0","9203","0","0","2115","9203","11318"
"2019-02-12","port442","Haldia","India","IND","0","1","0","0","3","1","4","0","32599","0","0","11197","32599","43797","0","0","0","0","1003","0","1003"
"2019-02-13","port442","Haldia","India","IND","0","2","3","0","0","5","5","0","30745","6676","0","0","37422","37422","0","0","0","0","0","0","0"
"2019-02-14","port442","Haldia","India","IND","0","3","0","0","2","3","5","0","23361","0","0","0","23361","23361","0","8900","0","0","0","8900","8900"
"2019-02-15","port442","Haldia","India","IND","1","4","0","0","2","5","7","1735","70085","0","0","12578","71821","84399","1697","9747","0","0","2115","11445","13561"
"2019-02-16","port442","Haldia","India","IND","0","1","3","0","0","4","4","0","37362","2909","0","0","40272","40272","0","0","714","0","0","714","714"
"2019-02-17","port442","Haldia","India","IND","1","1","0","0","4","2","6","1609","0","0","0","58150","1609","59760","0","0","0","0","1003","0","1003"
"2019-02-18","port442","Haldia","India","IND","0","6","0","0","0","6","6","0","105016","0","0","0","105016","105016","0","76393","0","0","0","76393","76393"
"2019-02-19","port442","Haldia","India","IND","1","1","0","0","1","2","3","1735","78816","0","0","7342","80551","87893","1697","0","0","0","0","1697","1697"
"2019-02-20","port442","Haldia","India","IND","0","3","0","0","1","3","4","0","46723","0","0","0","46723","46723","0","6135","0","0","0","6135","6135"
"2019-02-21","port442","Haldia","India","IND","0","4","1","0","0","5","5","0","75991","0","0","0","75991","75991","0","0","0","0","0","0","0"
"2019-02-22","port442","Haldia","India","IND","2","5","0","0","2","7","9","1735","125381","0","0","8419","127116","135535","5592","6135","0","0","1003","11728","12731"
"2019-02-23","port442","Haldia","India","IND","0","2","1","0","2","3","5","0","0","2909","0","17640","2909","20550","0","53106","714","0","5131","53820","58952"
"2019-02-24","port442","Haldia","India","IND","1","4","0","0","0","5","5","0","70085","0","0","0","70085","70085","766","9203","0","0","0","9969","9969"
