date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-12-05,2021,12,5,port446,Hamburg,Germany,DEU,10,1,6,1,4,18,22,162899,0,2095,899,33066,165894,198960,101172,0,4357,0,4930,105529,110459,3776002
2021-12-06,2021,12,6,port446,Hamburg,Germany,DEU,9,2,2,1,3,14,17,19304,86848,489,0,10901,106643,117545,255537,49510,1182,0,5262,306230,311492,3776004
2021-12-07,2021,12,7,port446,Hamburg,Germany,DEU,17,0,1,0,5,18,23,434330,0,0,0,82829,434330,517159,258820,0,0,0,556,258820,259376,3776006
2020-10-31,2020,10,31,port446,Hamburg,Germany,DEU,6,2,4,0,4,12,16,22240,113638,531,0,21543,136410,157954,190838,0,3903,0,1912,194741,196654,3776007
2021-12-08,2021,12,8,port446,Hamburg,Germany,DEU,9,3,2,0,3,14,17,43447,164494,0,0,5916,207941,213857,67955,0,752,0,14806,68707,83513,3776009
2020-11-01,2020,11,1,port446,Hamburg,Germany,DEU,13,0,0,0,1,13,14,135656,0,0,0,3841,135656,139498,69965,0,0,0,0,69965,69965,3776010
2021-12-09,2021,12,9,port446,Hamburg,Germany,DEU,8,3,5,0,5,16,21,134344,109309,2484,0,68271,246137,314409,118149,0,2413,0,18832,120563,139395,3776012
2020-11-02,2020,11,2,port446,Hamburg,Germany,DEU,15,2,1,1,3,19,22,140386,118669,0,989,42044,260045,302090,322419,0,2191,0,556,324611,325167,3776013
2020-11-03,2020,11,3,port446,Hamburg,Germany,DEU,8,4,3,0,5,15,20,176917,68927,3808,0,15773,249653,265427,121419,64590,345,0,4302,186355,190658,3776014
2020-11-04,2020,11,4,port446,Hamburg,Germany,DEU,8,1,2,0,7,11,18,45837,78610,1880,0,43796,126328,170124,57432,0,491,0,12946,57924,70870,3776015
2020-11-05,2020,11,5,port446,Hamburg,Germany,DEU,6,2,6,0,5,14,19,25517,229,755,0,59404,26501,85906,54300,32519,7535,0,6338,94355,100693,3776016
2020-11-06,2020,11,6,port446,Hamburg,Germany,DEU,9,3,5,0,3,17,20,77502,135146,0,0,0,212648,212648,134768,32977,4808,0,5182,172554,177737,3776017
2020-11-07,2020,11,7,port446,Hamburg,Germany,DEU,9,0,1,1,6,11,17,80386,0,489,494,32010,81370,113381,363579,0,994,986,10199,365561,375761,3776018
2020-11-08,2020,11,8,port446,Hamburg,Germany,DEU,11,1,1,0,2,13,15,401587,69863,0,0,4728,471451,476179,246927,0,921,0,0,247848,247848,3776019
2020-11-09,2020,11,9,port446,Hamburg,Germany,DEU,10,1,4,0,4,15,19,110091,0,1271,0,6292,111363,117655,35536,26966,1873,0,8584,64376,72961,3776020
2020-11-10,2020,11,10,port446,Hamburg,Germany,DEU,9,1,2,0,5,12,17,65476,10999,2354,0,22247,78829,101077,154750,0,0,0,3342,154750,158092,3776021
2020-11-11,2020,11,11,port446,Hamburg,Germany,DEU,8,2,1,0,3,11,14,203002,211011,0,0,68228,414013,482241,148240,0,1291,0,2804,149532,152336,3776022
2020-11-12,2020,11,12,port446,Hamburg,Germany,DEU,7,0,8,0,7,15,22,80739,0,6367,0,37647,87106,124753,58092,0,7094,0,4679,65187,69866,3776023
2020-11-13,2020,11,13,port446,Hamburg,Germany,DEU,13,1,3,2,4,19,23,276527,41907,0,0,1020,318435,319455,180969,0,22246,3206,19588,206422,226010,3776024
2020-11-14,2020,11,14,port446,Hamburg,Germany,DEU,7,0,3,1,5,11,16,166148,0,0,0,42885,166148,209033,47222,0,3377,0,6128,50599,56728,3776025
2020-11-15,2020,11,15,port446,Hamburg,Germany,DEU,11,1,4,0,3,16,19,61407,0,979,0,948,62387,63335,119850,44657,4020,0,2163,168528,170692,3776026
2020-11-16,2020,11,16,port446,Hamburg,Germany,DEU,12,3,3,0,5,18,23,84907,83088,1099,0,873,169095,169968,122949,50397,1109,0,12108,174456,186564,3776027
2020-11-17,2020,11,17,port446,Hamburg,Germany,DEU,12,2,3,1,2,18,20,314400,82660,3976,0,620,401037,401657,127020,0,1989,0,683,129010,129693,3776028
2020-11-18,2020,11,18,port446,Hamburg,Germany,DEU,7,0,4,0,3,11,14,104613,0,684,0,32308,105298,137607,176495,0,3030,0,7789,179526,187316,3776029
2020-11-19,2020,11,19,port446,Hamburg,Germany,DEU,4,1,6,0,4,11,15,94581,91652,489,0,49138,186723,235861,63329,0,9004,0,4507,72334,76841,3776030
2020-11-20,2020,11,20,port446,Hamburg,Germany,DEU,11,1,7,0,6,19,25,116574,17201,3997,0,2599,137773,140372,278960,0,9885,0,5322,288846,294168,3776031
2020-11-21,2020,11,21,port446,Hamburg,Germany,DEU,6,1,2,0,9,9,18,26173,0,1186,0,38662,27359,66021,167655,32429,2029,0,21444,202115,223559,3776032
2020-11-22,2020,11,22,port446,Hamburg,Germany,DEU,5,0,1,0,4,6,10,33308,0,10627,0,16931,43936,60867,209434,0,0,0,3205,209434,212640,3776033
2020-11-23,2020,11,23,port446,Hamburg,Germany,DEU,10,1,3,0,4,14,18,242248,80940,323,0,5916,323512,329428,234744,0,3643,0,3564,238387,241951,3776034
2020-11-24,2020,11,24,port446,Hamburg,Germany,DEU,10,1,1,1,4,13,17,300551,33889,814,2410,31504,337666,369171,79539,0,0,0,1957,79539,81496,3776035
2020-11-25,2020,11,25,port446,Hamburg,Germany,DEU,11,1,6,0,7,18,25,71833,111282,2198,0,1160,185314,186474,124990,0,20275,0,40595,145266,185861,3776036
2020-11-26,2020,11,26,port446,Hamburg,Germany,DEU,11,0,4,0,7,15,22,206276,0,128,0,102120,206405,308525,184870,0,3903,0,1759,188774,190534,3776037
