"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2019-01-01","port458","Hay Point","Australia","AUS","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","191311","0","0","0","191311","191311"
"2019-01-02","port458","Hay Point","Australia","AUS","0","3","0","0","1","3","4","0","0","0","0","0","0","0","0","199777","0","0","0","199777","199777"
"2019-01-03","port458","Hay Point","Australia","AUS","0","5","0","0","0","5","5","0","0","0","0","0","0","0","0","454322","0","0","0","454322","454322"
"2019-01-04","port458","Hay Point","Australia","AUS","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","440380","0","0","0","440380","440380"
"2019-01-05","port458","Hay Point","Australia","AUS","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","328432","0","0","0","328432","328432"
"2019-01-06","port458","Hay Point","Australia","AUS","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","430126","0","0","0","430126","430126"
"2019-01-07","port458","Hay Point","Australia","AUS","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","319197","0","0","0","319197","319197"
"2019-01-08","port458","Hay Point","Australia","AUS","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","142999","0","0","0","142999","142999"
"2019-01-09","port458","Hay Point","Australia","AUS","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","258838","0","0","0","258838","258838"
"2019-01-10","port458","Hay Point","Australia","AUS","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","288670","0","0","0","288670","288670"
"2019-01-11","port458","Hay Point","Australia","AUS","0","5","0","0","0","5","5","0","0","0","0","0","0","0","0","311062","0","0","0","311062","311062"
"2019-01-12","port458","Hay Point","Australia","AUS","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","208760","0","0","0","208760","208760"
"2019-01-13","port458","Hay Point","Australia","AUS","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","350904","0","0","0","350904","350904"
"2019-01-14","port458","Hay Point","Australia","AUS","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","283894","0","0","0","283894","283894"
"2019-01-15","port458","Hay Point","Australia","AUS","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","286544","0","0","0","286544","286544"
