date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2022-01-24,2022,1,24,port1291,Saigon,Vietnam,VNM,13,1,7,0,8,21,29,32175,10464,6051,0,14580,48691,63271,11943,4565,8213,0,148,24721,24869,2802001
2022-01-25,2022,1,25,port1291,Saigon,Vietnam,VNM,12,3,6,0,5,21,26,29752,2618,3548,0,34941,35919,70860,18835,6157,5399,0,483,30393,30876,2802002
2022-01-26,2022,1,26,port1291,Saigon,Vietnam,VNM,13,2,6,0,8,21,29,40947,4592,6411,0,33095,51950,85046,10794,0,3454,0,583,14249,14833,2802003
2022-01-27,2022,1,27,port1291,Saigon,Vietnam,VNM,12,4,4,0,3,20,23,25798,22803,1651,0,27421,50254,77675,11495,13769,990,0,1706,26255,27962,2802004
2022-01-28,2022,1,28,port1291,Saigon,Vietnam,VNM,12,4,3,0,2,19,21,22619,61389,2692,0,11915,86701,98617,13645,1583,990,0,34,16219,16254,2802006
2022-01-29,2022,1,29,port1291,Saigon,Vietnam,VNM,8,3,1,0,4,12,16,11852,77351,0,0,21806,89204,111010,8445,0,3126,0,267,11571,11839,2802007
2022-01-30,2022,1,30,port1291,Saigon,Vietnam,VNM,10,0,4,0,3,14,17,19928,0,5096,0,11550,25025,36575,9404,0,1330,0,148,10734,10882,2802008
2022-01-31,2022,1,31,port1291,Saigon,Vietnam,VNM,15,0,2,1,5,18,23,19503,0,1651,0,16540,21154,37694,24862,0,990,0,410,25853,26263,2802009
2022-02-01,2022,2,1,port1291,Saigon,Vietnam,VNM,12,0,2,0,3,14,17,28914,0,0,0,1907,28914,30821,3904,0,0,0,0,3904,3904,2802010
2022-02-02,2022,2,2,port1291,Saigon,Vietnam,VNM,10,1,3,2,1,16,17,25226,10464,1651,0,410,37342,37753,10622,4565,4359,0,0,19546,19546,2802011
2022-02-03,2022,2,3,port1291,Saigon,Vietnam,VNM,17,2,0,0,2,19,21,40714,2856,0,0,21567,43570,65138,11476,0,0,0,0,11476,11476,2802012
2022-02-04,2022,2,4,port1291,Saigon,Vietnam,VNM,13,1,3,0,3,17,20,19214,0,3448,0,14747,22662,37410,17299,6441,0,0,4005,23741,27746,2802013
2022-02-05,2022,2,5,port1291,Saigon,Vietnam,VNM,10,1,4,0,1,15,16,35789,16512,6957,0,10693,59260,69954,3135,0,3721,0,0,6857,6857,2802014
2022-02-06,2022,2,6,port1291,Saigon,Vietnam,VNM,12,0,2,0,2,14,16,29674,0,7831,0,10080,37506,47587,6573,0,0,0,267,6573,6840,2802015
2022-02-07,2022,2,7,port1291,Saigon,Vietnam,VNM,14,4,3,0,1,21,22,29710,69291,1651,0,0,100653,100653,16340,0,990,0,0,17331,17331,2802016
2022-02-08,2022,2,8,port1291,Saigon,Vietnam,VNM,16,3,5,0,2,24,26,44894,42297,9664,0,0,96856,96856,5801,0,803,0,0,6605,6605,2802017
2022-02-09,2022,2,9,port1291,Saigon,Vietnam,VNM,13,0,5,1,4,19,23,44987,0,5820,0,35784,50808,86593,11341,0,1223,460,0,13024,13024,2802018
2022-02-10,2022,2,10,port1291,Saigon,Vietnam,VNM,14,1,10,1,6,26,32,12922,3523,14943,40,34529,31430,65959,19682,0,4428,223,296,24334,24630,2802019
2022-02-11,2022,2,11,port1291,Saigon,Vietnam,VNM,11,0,7,0,6,18,24,19331,0,5064,0,46945,24395,71341,14631,0,8034,0,4511,22665,27177,2802020
2022-02-12,2022,2,12,port1291,Saigon,Vietnam,VNM,10,2,8,0,4,20,24,21816,0,9461,0,18917,31278,50196,10135,5110,2214,0,0,17459,17459,2802021
2022-02-13,2022,2,13,port1291,Saigon,Vietnam,VNM,9,1,10,0,4,20,24,19103,0,8764,0,35435,27868,63303,3332,0,1223,0,0,4555,4555,2802022
2022-02-14,2022,2,14,port1291,Saigon,Vietnam,VNM,13,1,7,0,7,21,28,24841,44041,10856,0,3537,79739,83276,18392,0,7197,0,482,25589,26072,2802023
2022-02-15,2022,2,15,port1291,Saigon,Vietnam,VNM,12,4,8,1,6,25,31,21921,68781,4360,0,20705,95063,115768,16549,11378,4110,0,0,32039,32039,2802024
2022-02-16,2022,2,16,port1291,Saigon,Vietnam,VNM,17,3,5,0,6,25,31,27210,27484,3983,0,48447,58679,107126,24048,4565,116,0,209,28729,28939,2802025
2022-02-17,2022,2,17,port1291,Saigon,Vietnam,VNM,14,1,9,1,4,25,29,20833,0,3735,2260,25340,26830,52170,11780,0,1107,0,0,12887,12887,2802026
2022-02-18,2022,2,18,port1291,Saigon,Vietnam,VNM,17,2,7,0,7,26,33,37210,4952,5746,0,81014,47909,128924,19967,0,8186,0,563,28153,28717,2802027
2022-02-19,2022,2,19,port1291,Saigon,Vietnam,VNM,13,3,9,0,6,25,31,18212,26553,9019,0,36110,53786,89896,13436,17551,10053,0,0,41041,41041,2802028
2022-02-20,2022,2,20,port1291,Saigon,Vietnam,VNM,10,2,6,0,6,18,24,7743,38984,7905,0,29081,54633,83715,12573,6157,1996,0,0,20727,20727,2802029
2022-02-21,2022,2,21,port1291,Saigon,Vietnam,VNM,15,1,12,0,8,28,36,20775,5011,7376,0,59198,33163,92362,30436,0,2097,0,148,32534,32682,2802030
2022-02-22,2022,2,22,port1291,Saigon,Vietnam,VNM,8,1,6,0,3,15,18,17544,0,10973,0,13413,28517,41931,13501,27200,3293,0,0,43995,43995,2802031
2022-02-23,2022,2,23,port1291,Saigon,Vietnam,VNM,9,0,3,0,1,12,13,12427,0,5823,0,0,18251,18251,8065,0,3363,0,0,11428,11428,2802032
2022-02-24,2022,2,24,port1291,Saigon,Vietnam,VNM,13,3,9,1,5,26,31,18053,5531,5837,0,27537,29421,56959,36090,12225,1989,0,148,50305,50453,2802033
2022-02-25,2022,2,25,port1291,Saigon,Vietnam,VNM,16,2,3,0,3,21,24,16370,0,0,0,9194,16370,25564,20730,10842,3476,0,267,35049,35317,2802034
2022-02-26,2022,2,26,port1291,Saigon,Vietnam,VNM,17,2,5,0,5,24,29,46526,10963,6254,0,48957,63744,112702,11783,0,6691,0,0,18474,18474,2802035
2022-02-27,2022,2,27,port1291,Saigon,Vietnam,VNM,10,0,7,0,2,17,19,16339,0,6358,0,31377,22697,54075,16455,0,7371,0,0,23826,23826,2802036
2022-02-28,2022,2,28,port1291,Saigon,Vietnam,VNM,13,0,7,0,4,20,24,28687,0,7034,0,11291,35721,47013,18859,0,7102,0,0,25962,25962,2802037
2022-03-01,2022,3,1,port1291,Saigon,Vietnam,VNM,12,3,11,1,6,27,33,20043,29717,11293,0,62165,61055,123221,14102,3893,1223,0,148,19219,19367,2802038
2022-03-02,2022,3,2,port1291,Saigon,Vietnam,VNM,16,1,8,0,3,25,28,30986,10464,7038,0,45018,48489,93508,14721,4565,3088,0,267,22374,22642,2802039
2022-03-03,2022,3,3,port1291,Saigon,Vietnam,VNM,15,2,8,0,6,25,31,41065,10464,8573,0,28189,60103,88293,9178,57939,3337,0,4867,70455,75323,2802040
2022-03-04,2022,3,4,port1291,Saigon,Vietnam,VNM,12,1,8,0,2,21,23,11100,14607,7129,0,0,32837,32837,12964,0,116,0,0,13080,13080,2802041
2022-03-05,2022,3,5,port1291,Saigon,Vietnam,VNM,12,4,3,1,6,20,26,17350,44830,2084,0,4705,64265,68970,32851,4565,116,0,0,37532,37532,2802042
2022-03-06,2022,3,6,port1291,Saigon,Vietnam,VNM,20,4,8,0,7,32,39,28070,29128,12810,0,87671,70009,157680,33618,32603,2214,0,0,68435,68435,2802043
2022-03-07,2022,3,7,port1291,Saigon,Vietnam,VNM,15,2,9,0,5,26,31,20698,0,12485,0,11395,33184,44580,18825,14363,1596,0,415,34784,35200,2802044
2022-03-08,2022,3,8,port1291,Saigon,Vietnam,VNM,9,1,3,0,8,13,21,23533,10464,3735,0,51281,37734,89015,7532,4565,1107,0,0,13204,13204,2802045
2022-03-09,2022,3,9,port1291,Saigon,Vietnam,VNM,14,4,4,0,2,22,24,23031,13416,5965,0,0,42414,42414,22651,78054,0,0,0,100705,100705,2802046
2022-03-10,2022,3,10,port1291,Saigon,Vietnam,VNM,13,0,7,0,6,20,26,18943,0,7905,0,24605,26849,51454,17489,0,1339,0,437,18829,19266,2802047
2022-03-11,2022,3,11,port1291,Saigon,Vietnam,VNM,14,3,4,0,5,21,26,24532,45416,2812,0,48079,72761,120840,20730,4565,0,0,0,25295,25295,2802048
2019-11-16,2019,11,16,port1291,Saigon,Vietnam,VNM,17,1,6,0,5,24,29,35658,14499,9524,0,56721,59681,116403,14011,0,1107,0,415,15118,15534,2802049
2022-03-12,2022,3,12,port1291,Saigon,Vietnam,VNM,14,0,5,0,4,19,23,38082,0,5523,0,20498,43606,64104,13216,0,990,0,267,14207,14475,2802051
2022-03-13,2022,3,13,port1291,Saigon,Vietnam,VNM,11,0,7,1,2,19,21,10866,0,5132,2420,14196,18418,32615,21352,0,355,0,0,21707,21707,2802052
2022-03-14,2022,3,14,port1291,Saigon,Vietnam,VNM,11,0,3,0,3,14,17,14658,0,3735,0,1292,18394,19687,13300,0,1107,0,148,14407,14555,2802053
2022-03-15,2022,3,15,port1291,Saigon,Vietnam,VNM,12,3,8,1,7,24,31,52358,76462,6585,0,61521,135405,196927,5503,0,0,0,267,5503,5771,2802054
2022-03-16,2022,3,16,port1291,Saigon,Vietnam,VNM,14,5,9,0,4,28,32,22724,53939,15311,0,19628,91975,111604,26474,27395,1107,0,4708,54977,59686,2802055
2022-03-17,2022,3,17,port1291,Saigon,Vietnam,VNM,17,3,7,1,1,28,29,26296,15030,10040,0,32391,51367,83758,16972,351,3088,0,0,20412,20412,2802056
2020-12-20,2020,12,20,port1291,Saigon,Vietnam,VNM,15,2,5,0,5,22,27,54328,10464,2618,0,26291,67411,93702,5853,26545,0,0,0,32399,32399,2802057
2022-03-18,2022,3,18,port1291,Saigon,Vietnam,VNM,17,2,11,0,5,30,35,31576,10464,6360,0,69266,48401,117667,27496,14361,1107,0,0,42964,42964,2802058
2022-03-19,2022,3,19,port1291,Saigon,Vietnam,VNM,15,4,4,0,4,23,27,25217,32002,2907,0,41973,60126,102100,21524,52151,990,0,415,74666,75082,2802059
2022-03-20,2022,3,20,port1291,Saigon,Vietnam,VNM,13,1,4,0,3,18,21,35518,0,0,0,15879,35518,51397,14703,0,317,0,267,15021,15289,2802060
2022-03-21,2022,3,21,port1291,Saigon,Vietnam,VNM,13,1,5,0,8,19,27,32840,10464,10447,0,50869,53752,104622,5666,4565,116,0,437,10348,10785,2802061
2022-03-22,2022,3,22,port1291,Saigon,Vietnam,VNM,12,0,6,0,4,18,22,22058,0,4169,0,20998,26228,47226,16448,0,232,0,0,16681,16681,2802062
2022-03-23,2022,3,23,port1291,Saigon,Vietnam,VNM,16,3,2,0,8,21,29,51794,57465,3735,0,61366,112996,174363,16222,1091,1107,0,0,18420,18420,2802063
2022-03-24,2022,3,24,port1291,Saigon,Vietnam,VNM,12,4,7,0,4,23,27,10317,21367,9556,0,23820,41241,65062,11402,9130,2330,0,267,22863,23131,2802064
2022-03-25,2022,3,25,port1291,Saigon,Vietnam,VNM,11,0,9,1,3,21,24,16155,0,11606,918,36000,28680,64680,20053,0,10875,0,148,30928,31076,2802065
2022-03-26,2022,3,26,port1291,Saigon,Vietnam,VNM,12,3,7,0,6,22,28,13360,31538,7100,0,26803,51999,78802,13176,0,1543,0,267,14720,14987,2802066
2022-03-27,2022,3,27,port1291,Saigon,Vietnam,VNM,9,3,5,0,7,17,24,13957,51779,2084,0,27281,67821,95103,6952,4565,791,0,148,12308,12456,2802067
2022-03-28,2022,3,28,port1291,Saigon,Vietnam,VNM,15,2,10,0,4,27,31,29355,15674,10421,0,12695,55451,68146,8382,4565,1107,0,585,14054,14640,2802068
2022-03-29,2022,3,29,port1291,Saigon,Vietnam,VNM,17,1,8,0,5,26,31,21866,3930,7745,0,15010,33542,48552,9990,0,2901,0,0,12891,12891,2802069
2022-03-30,2022,3,30,port1291,Saigon,Vietnam,VNM,18,1,8,0,4,27,31,37763,5423,11107,0,33338,54295,87634,27804,0,1388,0,0,29192,29192,2802070
2022-03-31,2022,3,31,port1291,Saigon,Vietnam,VNM,15,3,3,0,5,21,26,34711,41172,2364,0,50671,78247,128919,14241,10399,116,0,148,24757,24905,2802071
2022-04-01,2022,4,1,port1291,Saigon,Vietnam,VNM,13,2,5,1,6,21,27,38549,0,5387,2178,25474,46114,71589,5586,0,2211,0,148,7798,7946,2802072
2022-04-02,2022,4,2,port1291,Saigon,Vietnam,VNM,12,2,7,0,3,21,24,34850,0,4366,0,36838,39216,76055,5769,0,232,0,0,6002,6002,2802073
2022-04-03,2022,4,3,port1291,Saigon,Vietnam,VNM,15,1,4,0,3,20,23,21460,0,3606,0,41043,25066,66110,25503,48435,1981,0,382,75921,76303,2802074
2022-04-04,2022,4,4,port1291,Saigon,Vietnam,VNM,13,1,4,0,6,18,24,31724,0,3837,0,12460,35561,48022,15004,34908,116,0,806,50029,50835,2802075
2022-04-05,2022,4,5,port1291,Saigon,Vietnam,VNM,13,5,7,0,8,25,33,35976,37443,11507,0,70010,84926,154936,7713,0,4309,0,0,12022,12022,2802076
2022-04-06,2022,4,6,port1291,Saigon,Vietnam,VNM,16,4,8,1,2,29,31,26759,51690,4277,0,8912,82727,91640,23322,28592,2043,0,267,53958,54226,2802077
2022-04-07,2022,4,7,port1291,Saigon,Vietnam,VNM,16,2,10,0,4,28,32,28071,4742,10761,0,14852,43574,58426,12335,5232,1107,0,148,18675,18823,2802078
2022-04-08,2022,4,8,port1291,Saigon,Vietnam,VNM,13,1,8,0,4,22,26,40905,0,13461,0,25582,54366,79948,22798,24843,3321,0,415,50962,51378,2802079
2022-04-09,2022,4,9,port1291,Saigon,Vietnam,VNM,14,2,5,0,5,21,26,16495,14607,6303,0,4727,37407,42134,24454,21405,1305,0,0,47164,47164,2802080
2022-04-10,2022,4,10,port1291,Saigon,Vietnam,VNM,14,3,12,0,6,29,35,15309,26793,12989,0,49584,55092,104677,11112,0,1107,0,0,12219,12219,2802081
2022-04-11,2022,4,11,port1291,Saigon,Vietnam,VNM,14,6,3,0,6,23,29,41013,56048,3238,0,55881,100300,156181,16197,18260,116,0,0,34574,34574,2802082
2022-04-12,2022,4,12,port1291,Saigon,Vietnam,VNM,14,2,8,0,6,24,30,24801,20929,6104,0,45937,51835,97773,12904,9130,0,0,267,22034,22302,2802083
2022-04-13,2022,4,13,port1291,Saigon,Vietnam,VNM,16,1,5,0,2,22,24,35761,5209,20320,0,3479,61292,64772,12073,0,1107,0,0,13180,13180,2802084
2022-04-14,2022,4,14,port1291,Saigon,Vietnam,VNM,16,1,12,1,3,30,33,36979,10464,9504,2003,22927,58953,81881,13017,4565,1223,0,267,18806,19073,2802085
