date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port481,Houston (US-TX),United States,USA,3,1,2,0,16,6,22,49596,31316,4682,0,72223,85595,157819,18879,0,939,0,299774,19819,319594,2771518
2019-01-02,2019,1,2,port481,Houston (US-TX),United States,USA,4,2,4,1,11,11,22,128764,0,3448,1059,79101,133272,212373,14107,54096,7741,100,151191,76046,227238,2771519
2019-01-03,2019,1,3,port481,Houston (US-TX),United States,USA,5,0,1,0,13,6,19,41849,0,503,0,5584,42353,47938,42571,0,0,0,236790,42571,279362,2771520
2019-01-04,2019,1,4,port481,Houston (US-TX),United States,USA,0,3,1,0,16,4,20,0,55710,77,0,113964,55787,169752,0,16542,70,0,222184,16613,238797,2771521
2019-01-05,2019,1,5,port481,Houston (US-TX),United States,USA,0,2,3,0,17,5,22,0,0,4330,0,270511,4330,274842,0,60036,0,0,316774,60036,376810,2771522
2019-01-06,2019,1,6,port481,Houston (US-TX),United States,USA,3,4,5,0,20,12,32,75104,73055,4850,0,129995,153009,283004,41471,88348,4485,0,364279,134305,498585,2771523
2019-01-07,2019,1,7,port481,Houston (US-TX),United States,USA,4,0,0,1,18,5,23,50194,0,0,0,54452,50194,104646,39424,0,0,0,408750,39424,448174,2771524
2019-01-08,2019,1,8,port481,Houston (US-TX),United States,USA,2,2,1,0,16,5,21,45331,27893,1724,0,16222,74949,91172,25632,0,1425,0,156239,27057,183296,2771525
2019-01-09,2019,1,9,port481,Houston (US-TX),United States,USA,2,4,2,1,17,9,26,0,21290,1724,0,173710,23014,196724,10167,40461,1425,0,454273,52054,506327,2771526
2019-01-10,2019,1,10,port481,Houston (US-TX),United States,USA,2,0,1,0,19,3,22,30208,0,0,0,28605,30208,58813,13214,0,1870,0,379924,15085,395009,2771527
2019-01-11,2019,1,11,port481,Houston (US-TX),United States,USA,4,5,1,0,13,10,23,23341,10822,2992,0,171090,37155,208246,50540,91454,0,0,216883,141994,358878,2771528
2019-01-12,2019,1,12,port481,Houston (US-TX),United States,USA,2,3,4,0,16,9,25,41181,25672,10378,0,155108,77232,232340,26623,43993,2850,0,227021,73467,300488,2771529
2019-01-13,2019,1,13,port481,Houston (US-TX),United States,USA,3,6,2,0,18,11,29,25404,110065,6830,0,108132,142300,250433,43963,82904,0,0,603959,126868,730827,2771530
2019-01-14,2019,1,14,port481,Houston (US-TX),United States,USA,3,1,3,1,16,8,24,11841,0,8249,0,185555,20091,205647,25141,0,1425,0,86851,26566,113418,2771531
2019-01-15,2019,1,15,port481,Houston (US-TX),United States,USA,4,0,3,0,12,7,19,176504,0,0,0,169307,176504,345811,12831,0,4082,0,269048,16913,285961,2771532
2019-01-16,2019,1,16,port481,Houston (US-TX),United States,USA,3,4,1,0,17,8,25,46682,38833,1724,0,304610,87240,391850,44700,62122,1425,0,314319,108248,422567,2771533
2019-01-17,2019,1,17,port481,Houston (US-TX),United States,USA,2,1,1,0,15,4,19,0,30681,0,0,116356,30681,147037,15664,0,1557,0,312975,17222,330198,2771534
2019-01-18,2019,1,18,port481,Houston (US-TX),United States,USA,0,1,1,0,15,2,17,0,0,0,0,239391,0,239391,0,43035,2682,0,224161,45718,269880,2771535
2019-01-19,2019,1,19,port481,Houston (US-TX),United States,USA,4,1,1,0,17,6,23,23341,0,1724,0,64508,25065,89574,88765,57627,1425,0,622570,147818,770389,2771536
2019-01-20,2019,1,20,port481,Houston (US-TX),United States,USA,2,6,2,1,9,11,20,0,42832,1724,0,60879,44557,105436,79010,112083,3993,1021,192604,196109,388713,2771537
2019-01-21,2019,1,21,port481,Houston (US-TX),United States,USA,5,2,3,0,23,10,33,33175,13838,3448,0,139331,50463,189794,60768,0,3475,0,413200,64243,477443,2771538
2019-01-22,2019,1,22,port481,Houston (US-TX),United States,USA,1,0,1,0,13,2,15,52765,0,0,0,144669,52765,197435,0,0,9850,0,178828,9850,188679,2771539
2019-01-23,2019,1,23,port481,Houston (US-TX),United States,USA,1,2,0,2,12,5,17,0,24920,0,4129,22555,29050,51605,23372,8269,0,100,175271,31742,207014,2771540
2019-01-24,2019,1,24,port481,Houston (US-TX),United States,USA,2,5,2,0,13,9,22,23341,1937,8828,0,57800,34107,91907,20944,72371,0,0,210570,93315,303886,2771541
2019-01-25,2019,1,25,port481,Houston (US-TX),United States,USA,3,4,1,2,15,10,25,23341,112609,1724,3937,118828,141612,260440,68649,13609,1425,0,320426,83684,404111,2771542
2019-01-26,2019,1,26,port481,Houston (US-TX),United States,USA,3,1,3,0,16,7,23,112815,0,377,0,179288,113193,292481,44574,0,3085,0,379476,47659,427136,2771543
2019-01-27,2019,1,27,port481,Houston (US-TX),United States,USA,1,2,2,0,14,5,19,23341,24757,1708,0,97439,49807,147247,12831,13609,2040,0,301959,28481,330441,2771544
2019-01-28,2019,1,28,port481,Houston (US-TX),United States,USA,4,3,1,0,19,8,27,0,39269,1724,0,168352,40993,209346,147543,26914,1425,0,415417,175882,591300,2771545
2019-01-29,2019,1,29,port481,Houston (US-TX),United States,USA,1,3,2,0,16,6,22,29969,0,3448,0,78218,33418,111636,0,47719,2850,0,390587,50569,441156,2771546
2019-01-30,2019,1,30,port481,Houston (US-TX),United States,USA,4,2,5,0,13,11,24,52377,10822,15480,0,52080,78680,130760,54349,43348,8519,0,250032,106217,356250,2771547
2019-01-31,2019,1,31,port481,Houston (US-TX),United States,USA,2,1,2,0,17,5,22,23341,1776,3879,0,253918,28996,282915,29786,0,786,0,278371,30572,308944,2771548
2019-02-01,2019,2,1,port481,Houston (US-TX),United States,USA,1,2,3,1,3,7,10,0,10822,19548,0,14095,30370,44465,7640,36722,1324,0,3097,45688,48785,2771549
2019-02-02,2019,2,2,port481,Houston (US-TX),United States,USA,2,0,3,0,12,5,17,0,0,26215,0,67043,26215,93258,53482,0,1425,0,168308,54907,223216,2771550
2019-02-03,2019,2,3,port481,Houston (US-TX),United States,USA,0,1,0,0,2,1,3,0,24364,0,0,0,24364,24364,0,0,0,0,96876,0,96876,2771551
2019-02-04,2019,2,4,port481,Houston (US-TX),United States,USA,0,1,1,0,8,2,10,0,0,1724,0,99666,1724,101390,0,48294,1425,0,14903,49719,64623,2771552
2019-02-05,2019,2,5,port481,Houston (US-TX),United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771553
2019-02-06,2019,2,6,port481,Houston (US-TX),United States,USA,3,1,4,0,12,8,20,146092,0,3034,0,79053,149126,228179,94885,106034,2604,0,304883,203524,508408,2771554
2019-02-07,2019,2,7,port481,Houston (US-TX),United States,USA,3,1,1,0,9,5,14,28362,0,0,0,76512,28362,104874,62196,3304,6579,0,423921,72080,496001,2771555
2019-02-08,2019,2,8,port481,Houston (US-TX),United States,USA,4,7,1,1,21,13,34,98851,101865,0,1059,174537,201776,376313,55282,79155,130,100,385144,134669,519813,2771556
2019-02-09,2019,2,9,port481,Houston (US-TX),United States,USA,5,4,4,1,15,14,29,101291,112911,12678,0,158446,226881,385327,63180,60415,2160,0,376640,125755,502396,2771557
2019-02-10,2019,2,10,port481,Houston (US-TX),United States,USA,3,2,4,0,23,9,32,0,10822,13681,0,58571,24503,83074,33373,65461,230,0,508804,99064,607869,2771558
2019-02-11,2019,2,11,port481,Houston (US-TX),United States,USA,2,1,3,0,6,6,12,47474,48259,4372,0,978,100106,101085,18448,0,6130,0,126604,24578,151183,2771559
2019-02-12,2019,2,12,port481,Houston (US-TX),United States,USA,4,2,3,0,20,9,29,23107,23367,383,0,176044,46858,222902,126201,22843,4272,0,450738,153317,604056,2771560
2019-02-13,2019,2,13,port481,Houston (US-TX),United States,USA,6,1,5,1,26,13,39,0,0,2106,1059,74215,3166,77382,143846,9396,1425,100,276705,154768,431474,2771561
2019-02-14,2019,2,14,port481,Houston (US-TX),United States,USA,5,4,1,0,23,10,33,54353,71946,0,0,29715,126299,156015,63230,56982,146,0,624565,120360,744925,2771562
2019-02-15,2019,2,15,port481,Houston (US-TX),United States,USA,2,3,5,0,21,10,31,31224,10822,12744,0,176431,54790,231222,3989,75552,3624,0,366619,83166,449785,2771563
2019-02-16,2019,2,16,port481,Houston (US-TX),United States,USA,0,0,0,0,4,0,4,0,0,0,0,2621,0,2621,0,0,0,0,77015,0,77015,2771564
2019-02-17,2019,2,17,port481,Houston (US-TX),United States,USA,0,0,0,0,12,0,12,0,0,0,0,77639,0,77639,0,0,0,0,610278,0,610278,2771565
2019-02-18,2019,2,18,port481,Houston (US-TX),United States,USA,5,3,4,2,26,14,40,40608,0,6783,1059,126715,48450,175166,42543,66468,4275,1830,475454,115117,590572,2771566
2019-02-19,2019,2,19,port481,Houston (US-TX),United States,USA,1,6,2,0,13,9,22,0,51501,5307,0,98117,56809,154926,4375,100761,4688,0,311654,109825,421480,2771567
2019-02-20,2019,2,20,port481,Houston (US-TX),United States,USA,2,3,1,2,12,8,20,0,20098,0,0,117371,20098,137469,48505,26068,0,0,262619,74573,337193,2771568
2019-02-21,2019,2,21,port481,Houston (US-TX),United States,USA,3,1,2,0,14,6,20,68964,0,1724,0,58102,70688,128791,19380,27777,2635,0,197995,49794,247790,2771569
2019-02-22,2019,2,22,port481,Houston (US-TX),United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771570
2019-02-23,2019,2,23,port481,Houston (US-TX),United States,USA,0,1,1,0,9,2,11,0,25963,2089,0,84355,28052,112408,0,0,0,0,169065,0,169065,2771571
2019-02-24,2019,2,24,port481,Houston (US-TX),United States,USA,6,5,4,0,25,15,40,131721,68855,8286,0,161871,208863,370734,117757,38058,7454,0,511233,163270,674503,2771572
2019-02-25,2019,2,25,port481,Houston (US-TX),United States,USA,0,1,2,1,19,4,23,0,0,0,0,48767,0,48767,0,53488,10633,0,397561,64122,461684,2771573
2019-02-26,2019,2,26,port481,Houston (US-TX),United States,USA,6,2,1,0,20,9,29,0,10822,0,0,203060,10822,213882,79198,13609,0,0,390030,92807,482838,2771574
2019-02-27,2019,2,27,port481,Houston (US-TX),United States,USA,0,0,1,0,5,1,6,0,0,0,0,195,0,195,0,0,1314,0,243622,1314,244936,2771575
2019-02-28,2019,2,28,port481,Houston (US-TX),United States,USA,2,1,0,0,0,3,3,271384,0,0,0,0,271384,271384,0,53648,0,0,0,53648,53648,2771576
2019-03-01,2019,3,1,port481,Houston (US-TX),United States,USA,8,5,1,1,20,15,35,29648,28630,0,0,125956,58279,184236,237585,78266,12182,0,553795,328034,881829,2771577
2019-03-02,2019,3,2,port481,Houston (US-TX),United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,37397,0,37397,2771578
2019-03-03,2019,3,3,port481,Houston (US-TX),United States,USA,0,1,2,0,6,3,9,0,26659,1724,0,103035,28383,131418,0,0,3460,0,102677,3460,106137,2771579
2019-03-04,2019,3,4,port481,Houston (US-TX),United States,USA,8,4,3,0,27,15,42,192591,77268,5928,0,62493,275788,338282,151099,57695,7192,0,645661,215987,861648,2771580
2019-03-05,2019,3,5,port481,Houston (US-TX),United States,USA,1,3,2,0,16,6,22,0,23717,6238,0,108030,29956,137986,4501,20354,0,0,165801,24856,190657,2771581
2019-03-06,2019,3,6,port481,Houston (US-TX),United States,USA,5,4,3,0,19,12,31,237789,25827,1686,0,320539,265304,585843,55570,30842,452,0,485173,86865,572039,2771582
2019-03-07,2019,3,7,port481,Houston (US-TX),United States,USA,1,2,1,1,13,5,18,0,0,1858,0,2621,1858,4480,2802,45906,0,2825,258503,51534,310037,2771583
2019-03-08,2019,3,8,port481,Houston (US-TX),United States,USA,0,0,1,0,2,1,3,0,0,13425,0,28903,13425,42329,0,0,0,0,37518,0,37518,2771584
2019-03-09,2019,3,9,port481,Houston (US-TX),United States,USA,5,2,3,0,29,10,39,36354,0,1524,0,65719,37878,103598,69736,69529,3678,0,647090,142945,790036,2771585
2019-03-10,2019,3,10,port481,Houston (US-TX),United States,USA,0,0,2,0,4,2,6,0,0,0,0,41290,0,41290,0,0,9051,0,26017,9051,35069,2771586
2019-03-11,2019,3,11,port481,Houston (US-TX),United States,USA,3,0,0,0,7,3,10,0,0,0,0,50019,0,50019,100133,0,0,0,238527,100133,338661,2771587
2019-03-12,2019,3,12,port481,Houston (US-TX),United States,USA,3,0,3,0,10,6,16,0,0,0,0,44098,0,44098,33993,0,2981,0,328419,36974,365394,2771588
2019-03-13,2019,3,13,port481,Houston (US-TX),United States,USA,1,4,1,0,12,6,18,0,60174,0,0,256344,60174,316519,28737,49991,2105,0,226969,80834,307803,2771589
2019-03-14,2019,3,14,port481,Houston (US-TX),United States,USA,5,2,4,1,22,12,34,6682,0,9715,0,72266,16397,88664,50166,89568,5482,0,600304,145217,745521,2771590
2019-03-15,2019,3,15,port481,Houston (US-TX),United States,USA,5,0,1,0,32,6,38,51854,0,0,0,192742,51854,244597,16787,0,470,0,567771,17257,585029,2771591
2019-03-16,2019,3,16,port481,Houston (US-TX),United States,USA,1,2,3,1,15,7,22,11315,0,7949,0,20274,19264,39538,0,56207,1425,2156,229569,59788,289357,2771592
2019-03-17,2019,3,17,port481,Houston (US-TX),United States,USA,5,3,1,0,16,9,25,246506,59463,0,0,81374,305970,387344,40255,67284,1027,0,335070,108567,443638,2771593
2019-03-18,2019,3,18,port481,Houston (US-TX),United States,USA,2,2,0,1,17,5,22,15305,1515,0,3070,119845,19891,139736,9667,49659,0,0,410149,59327,469476,2771594
2019-03-19,2019,3,19,port481,Houston (US-TX),United States,USA,4,2,5,0,12,11,23,91947,26647,12442,0,2103,131037,133140,73719,37761,2380,0,131403,113861,245264,2771595
2019-03-20,2019,3,20,port481,Houston (US-TX),United States,USA,3,5,1,0,15,9,24,0,31058,0,0,94283,31058,125342,94559,134150,1476,0,222993,230186,453179,2771596
2019-03-21,2019,3,21,port481,Houston (US-TX),United States,USA,3,2,2,0,21,7,28,11252,8303,2479,0,192401,22034,214435,75915,0,692,0,390954,76607,467562,2771597
2019-03-22,2019,3,22,port481,Houston (US-TX),United States,USA,6,0,1,1,9,8,17,111761,0,2430,0,35420,114192,149612,48130,0,0,0,210789,48130,258919,2771598
2019-03-23,2019,3,23,port481,Houston (US-TX),United States,USA,3,0,0,0,4,3,7,22015,0,0,0,76720,22015,98736,56404,0,0,0,72432,56404,128837,2771599
2019-03-24,2019,3,24,port481,Houston (US-TX),United States,USA,1,0,0,0,7,1,8,0,0,0,0,2816,0,2816,27846,0,0,0,219206,27846,247052,2771600
2019-03-25,2019,3,25,port481,Houston (US-TX),United States,USA,6,0,0,0,5,6,11,45107,0,0,0,0,45107,45107,57566,0,0,0,108364,57566,165931,2771601
2019-03-26,2019,3,26,port481,Houston (US-TX),United States,USA,1,0,0,1,3,2,5,0,0,0,1059,10792,1059,11852,4067,0,0,100,49333,4168,53501,2771602
2019-03-27,2019,3,27,port481,Houston (US-TX),United States,USA,6,1,3,0,7,10,17,58476,0,15759,0,74977,74236,149214,82899,14854,0,0,179984,97753,277737,2771603
2019-03-28,2019,3,28,port481,Houston (US-TX),United States,USA,2,4,0,0,9,6,15,99471,18295,0,0,12039,117766,129806,13393,950,0,0,298177,14343,312520,2771604
2019-03-29,2019,3,29,port481,Houston (US-TX),United States,USA,3,5,0,2,15,10,25,22015,26440,0,0,63134,48456,111590,44374,24353,0,0,304866,68727,373594,2771605
2019-03-30,2019,3,30,port481,Houston (US-TX),United States,USA,2,4,2,0,8,8,16,25151,45802,6518,0,2698,77472,80171,28076,51637,0,0,171212,79713,250925,2771606
2019-03-31,2019,3,31,port481,Houston (US-TX),United States,USA,2,2,1,0,18,5,23,0,2413,1724,0,149336,4138,153474,11552,53018,1425,0,482298,65996,548294,2771607
2019-04-01,2019,4,1,port481,Houston (US-TX),United States,USA,5,2,2,1,11,10,21,0,46757,5447,0,83802,52204,136007,78197,0,906,0,202866,79104,281970,2771608
2019-04-02,2019,4,2,port481,Houston (US-TX),United States,USA,2,3,4,0,14,9,23,99494,0,4485,0,158294,103979,262273,14306,101436,17612,0,91272,133355,224627,2771609
2019-04-03,2019,4,3,port481,Houston (US-TX),United States,USA,2,2,1,1,12,6,18,0,0,2878,0,78368,2878,81246,28460,0,0,0,243722,28460,272182,2771610
2019-04-04,2019,4,4,port481,Houston (US-TX),United States,USA,3,1,1,0,10,5,15,0,10822,18994,0,12303,29816,42119,29463,13609,0,0,224893,43073,267967,2771611
2019-04-05,2019,4,5,port481,Houston (US-TX),United States,USA,0,1,1,0,5,2,7,0,0,2735,0,2621,2735,5356,0,53516,0,0,103375,53516,156891,2771612
2019-04-06,2019,4,6,port481,Houston (US-TX),United States,USA,0,0,1,0,6,1,7,0,0,0,0,2621,0,2621,0,0,2430,0,283516,2430,285946,2771613
2019-04-07,2019,4,7,port481,Houston (US-TX),United States,USA,5,1,2,0,8,8,16,0,0,0,0,0,0,0,140024,35662,1150,0,181023,176837,357860,2771614
2019-04-08,2019,4,8,port481,Houston (US-TX),United States,USA,3,6,3,1,22,13,35,33882,105047,9511,2348,123118,150789,273908,32778,31256,1425,0,443947,65459,509406,2771615
2019-04-09,2019,4,9,port481,Houston (US-TX),United States,USA,2,3,4,0,19,9,28,67765,54827,10734,0,123817,133327,257144,28612,21546,5778,0,544573,55938,600511,2771616
2019-04-10,2019,4,10,port481,Houston (US-TX),United States,USA,4,2,2,1,15,9,24,32203,16199,3201,0,126817,51604,178422,99466,0,0,0,428240,99466,527706,2771617
2019-04-11,2019,4,11,port481,Houston (US-TX),United States,USA,4,3,3,0,18,10,28,76875,0,0,0,246075,76875,322950,16829,134627,8711,0,233121,160168,393289,2771618
2019-04-12,2019,4,12,port481,Houston (US-TX),United States,USA,3,0,3,0,22,6,28,0,0,2504,0,92047,2504,94552,67643,0,782,0,469250,68426,537677,2771619
