date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-03-04,2021,3,4,port493,Immingham,United Kingdom,GBR,3,2,2,6,6,13,19,3407,85190,631,9543,638,98772,99410,378,0,526,95,26728,1001,27729,2028001
2021-03-05,2021,3,5,port493,Immingham,United Kingdom,GBR,3,0,6,6,6,15,21,7118,0,10838,7616,81543,25574,107118,0,0,232,1568,28261,1800,30062,2028002
2021-03-06,2021,3,6,port493,Immingham,United Kingdom,GBR,2,1,0,9,4,12,16,2063,49572,0,12802,34906,64438,99344,0,0,0,2019,1769,2019,3789,2028003
2021-03-07,2021,3,7,port493,Immingham,United Kingdom,GBR,3,0,4,6,9,13,22,7671,0,7097,11943,39132,26712,65844,0,0,3330,1424,28537,4755,33293,2028004
2021-03-08,2021,3,8,port493,Immingham,United Kingdom,GBR,3,0,5,2,6,10,16,5226,0,3861,1332,25535,10420,35955,0,0,1382,0,13272,1382,14655,2028005
2021-03-09,2021,3,9,port493,Immingham,United Kingdom,GBR,3,4,2,7,2,16,18,4910,94101,2723,7226,1563,108961,110525,0,0,0,191,5775,191,5966,2028006
2021-03-10,2021,3,10,port493,Immingham,United Kingdom,GBR,1,0,3,6,3,10,13,1604,0,11506,12969,124854,26079,150933,0,0,0,2396,0,2396,2396,2028007
2021-03-11,2021,3,11,port493,Immingham,United Kingdom,GBR,3,0,1,6,3,10,13,4468,0,1049,7915,3916,13433,17350,0,0,0,95,4906,95,5002,2028008
2021-03-12,2021,3,12,port493,Immingham,United Kingdom,GBR,3,1,0,6,5,10,15,3871,36680,0,14385,4232,54936,59169,0,0,0,0,29438,0,29438,2028009
2021-03-13,2021,3,13,port493,Immingham,United Kingdom,GBR,2,0,2,8,4,12,16,4528,0,1785,7127,15360,13440,28801,0,0,0,2817,4920,2817,7738,2028010
2021-03-14,2021,3,14,port493,Immingham,United Kingdom,GBR,2,1,1,5,4,9,13,3958,66234,681,5479,34910,76353,111263,0,0,0,1516,3748,1516,5264,2028011
2021-03-15,2021,3,15,port493,Immingham,United Kingdom,GBR,4,0,3,5,8,12,20,7643,0,3004,4098,103779,14746,118526,0,0,1693,95,44457,1789,46246,2028012
