date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-11-27,2020,11,27,port494,Incheon,Korea,KOR,7,2,6,0,6,15,21,18476,15288,12239,0,46563,46004,92567,1575,181,2792,0,14830,4548,19379,3584001
2020-11-28,2020,11,28,port494,Incheon,Korea,KOR,6,1,4,1,3,12,15,15404,27106,8344,0,15668,50855,66523,1169,1870,164,4662,11139,7867,19006,3584002
2020-11-29,2020,11,29,port494,Incheon,Korea,KOR,2,3,3,1,5,9,14,13597,14434,8986,0,17235,37017,54252,410,0,211,2050,13165,2673,15838,3584003
2020-11-30,2020,11,30,port494,Incheon,Korea,KOR,1,2,5,1,2,9,11,2393,33613,6229,196,3907,42432,46340,410,0,1545,313,8147,2270,10418,3584004
2020-12-01,2020,12,1,port494,Incheon,Korea,KOR,2,4,5,1,4,12,16,9728,72322,12557,0,90279,94607,184887,410,1870,211,2017,18440,4510,22951,3584005
2020-12-02,2020,12,2,port494,Incheon,Korea,KOR,8,0,7,2,9,17,26,21793,0,14417,403,190030,36614,226645,1547,0,423,3083,28968,5055,34024,3584006
2020-12-03,2020,12,3,port494,Incheon,Korea,KOR,3,3,4,1,4,11,15,5852,161315,10122,0,13962,177290,191253,0,35402,423,3973,37468,39799,77268,3584007
2020-12-04,2020,12,4,port494,Incheon,Korea,KOR,5,1,2,0,3,8,11,3758,0,5248,0,25974,9006,34980,5606,329,211,0,871,6148,7020,3584008
2020-12-05,2020,12,5,port494,Incheon,Korea,KOR,8,2,2,1,2,13,15,23356,176320,7629,0,22046,207305,229351,2085,0,211,2361,0,4658,4658,3584009
2020-12-06,2020,12,6,port494,Incheon,Korea,KOR,5,3,2,0,10,10,20,30724,28100,8247,0,76894,67072,143966,1369,4047,0,0,38772,5417,44189,3584010
2020-12-07,2020,12,7,port494,Incheon,Korea,KOR,5,2,7,3,3,17,20,34588,5259,12257,196,10710,52301,63011,0,0,3331,11923,11828,15254,27082,3584011
2020-12-08,2020,12,8,port494,Incheon,Korea,KOR,4,3,12,0,8,19,27,29059,95810,45314,0,71400,170184,241585,1236,3740,635,0,11056,5613,16670,3584012
2020-12-09,2020,12,9,port494,Incheon,Korea,KOR,4,2,6,0,4,12,16,2933,28181,2520,0,50588,33634,84223,643,1870,1969,0,8099,4482,12582,3584013
2020-12-10,2020,12,10,port494,Incheon,Korea,KOR,11,3,6,0,9,20,29,11427,33093,6927,0,24008,51448,75457,10445,0,2214,0,28834,12659,41494,3584014
2020-12-11,2020,12,11,port494,Incheon,Korea,KOR,10,3,6,1,2,20,22,17606,54212,16102,0,8453,87920,96374,1499,4735,847,0,2150,7082,9233,3584015
2020-12-12,2020,12,12,port494,Incheon,Korea,KOR,6,1,8,1,6,16,22,6326,21198,7144,196,49466,34866,84332,812,0,2787,313,3429,3913,7343,3584016
2020-12-13,2020,12,13,port494,Incheon,Korea,KOR,2,1,2,0,3,5,8,2731,2420,4114,0,82717,9265,91983,209,0,211,0,3646,421,4067,3584017
