date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-10-12,2019,10,12,port503,Iskenderun,Türkiye,TUR,1,0,1,0,0,2,2,0,0,1604,0,0,1604,1604,7782,0,66,0,0,7849,7849,700063
2019-10-13,2019,10,13,port503,Iskenderun,Türkiye,TUR,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1570,0,0,0,0,1570,1570,700436
2019-10-14,2019,10,14,port503,Iskenderun,Türkiye,TUR,1,1,1,0,0,3,3,1131,36133,0,0,0,37265,37265,1872,0,4803,0,0,6675,6675,700437
2019-10-15,2019,10,15,port503,Iskenderun,Türkiye,TUR,1,0,2,0,0,3,3,1131,0,0,0,0,1131,1131,1872,0,873,0,0,2745,2745,700440
2019-10-16,2019,10,16,port503,Iskenderun,Türkiye,TUR,4,0,0,0,1,4,5,1487,0,0,0,2478,1487,3965,2514,0,0,0,0,2514,2514,700443
2019-10-17,2019,10,17,port503,Iskenderun,Türkiye,TUR,0,0,1,0,0,1,1,0,0,1628,0,0,1628,1628,0,0,0,0,0,0,0,700446
2019-10-18,2019,10,18,port503,Iskenderun,Türkiye,TUR,2,0,2,0,0,4,4,0,0,739,0,0,739,739,4068,0,2899,0,0,6968,6968,700449
2019-10-19,2019,10,19,port503,Iskenderun,Türkiye,TUR,1,0,2,0,0,3,3,0,0,0,0,0,0,0,5552,0,462,0,0,6015,6015,700452
2019-10-20,2019,10,20,port503,Iskenderun,Türkiye,TUR,0,0,3,0,0,3,3,0,0,2344,0,0,2344,2344,0,0,6468,0,0,6468,6468,700455
2019-10-21,2019,10,21,port503,Iskenderun,Türkiye,TUR,2,0,0,0,0,2,2,4781,0,0,0,0,4781,4781,88,0,0,0,0,88,88,700458
2019-10-22,2019,10,22,port503,Iskenderun,Türkiye,TUR,2,1,2,0,0,5,5,6186,2956,2251,0,0,11394,11394,897,0,3550,0,0,4447,4447,700461
2019-10-23,2019,10,23,port503,Iskenderun,Türkiye,TUR,3,0,0,0,0,3,3,1425,0,0,0,0,1425,1425,5727,0,0,0,0,5727,5727,700464
2019-10-24,2019,10,24,port503,Iskenderun,Türkiye,TUR,0,0,3,0,0,3,3,0,0,1662,0,0,1662,1662,0,0,1052,0,0,1052,1052,700467
2019-10-25,2019,10,25,port503,Iskenderun,Türkiye,TUR,1,1,0,0,1,2,3,0,15268,0,0,0,15268,15268,1300,5778,0,0,0,7078,7078,700470
2019-10-26,2019,10,26,port503,Iskenderun,Türkiye,TUR,2,0,0,0,0,2,2,0,0,0,0,0,0,0,6556,0,0,0,0,6556,6556,700473
2019-10-27,2019,10,27,port503,Iskenderun,Türkiye,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700476
2019-10-28,2019,10,28,port503,Iskenderun,Türkiye,TUR,1,0,4,0,0,5,5,1131,0,3083,0,0,4215,4215,1872,0,2071,0,0,3943,3943,700479
2019-10-29,2019,10,29,port503,Iskenderun,Türkiye,TUR,0,1,2,0,0,3,3,0,51678,1604,0,0,53282,53282,0,0,66,0,0,66,66,700481
2019-10-30,2019,10,30,port503,Iskenderun,Türkiye,TUR,2,1,4,0,0,7,7,1131,22930,4054,0,0,28117,28117,6859,0,2323,0,0,9183,9183,700484
2019-10-31,2019,10,31,port503,Iskenderun,Türkiye,TUR,1,2,0,0,3,3,6,1504,17907,0,0,3573,19412,22985,0,5778,0,0,0,5778,5778,700487
2019-11-01,2019,11,1,port503,Iskenderun,Türkiye,TUR,2,1,0,0,0,3,3,2601,0,0,0,0,2601,2601,160,861,0,0,0,1021,1021,700490
2019-11-02,2019,11,2,port503,Iskenderun,Türkiye,TUR,2,0,1,0,0,3,3,2450,0,0,0,0,2450,2450,0,0,0,0,0,0,0,700493
2019-11-03,2019,11,3,port503,Iskenderun,Türkiye,TUR,0,0,1,0,1,1,2,0,0,0,0,14753,0,14753,0,0,5086,0,0,5086,5086,700496
2019-11-04,2019,11,4,port503,Iskenderun,Türkiye,TUR,3,0,1,0,0,4,4,0,0,739,0,0,739,739,6163,0,1002,0,0,7165,7165,700499
2019-11-05,2019,11,5,port503,Iskenderun,Türkiye,TUR,2,0,1,0,1,3,4,731,0,0,0,4401,731,5133,2873,0,0,0,0,2873,2873,700502
2019-11-06,2019,11,6,port503,Iskenderun,Türkiye,TUR,2,0,1,0,0,3,3,819,0,0,0,0,819,819,3075,0,3456,0,0,6532,6532,700505
2019-11-07,2019,11,7,port503,Iskenderun,Türkiye,TUR,2,1,2,0,1,5,6,1818,15268,19095,0,9230,36182,45412,3077,5778,1586,0,0,10442,10442,700508
2019-11-08,2019,11,8,port503,Iskenderun,Türkiye,TUR,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1923,0,0,0,0,1923,1923,700511
