date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-06-07,2019,6,7,port2045,Porto de Itaguai,Brazil,BRA,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,155129,0,0,0,155129,155129,3954002
2019-06-08,2019,6,8,port2045,Porto de Itaguai,Brazil,BRA,1,0,0,0,0,1,1,2143,0,0,0,0,2143,2143,0,0,0,0,0,0,0,3954005
2021-08-15,2021,8,15,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,2190,0,0,0,0,2190,2190,2171,168582,0,0,0,170754,170754,3954006
2019-06-09,2019,6,9,port2045,Porto de Itaguai,Brazil,BRA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,195609,0,0,0,195609,195609,3954009
2021-08-16,2021,8,16,port2045,Porto de Itaguai,Brazil,BRA,0,3,0,0,0,3,3,0,39388,0,0,0,39388,39388,0,303413,0,0,0,303413,303413,3954010
2019-06-10,2019,6,10,port2045,Porto de Itaguai,Brazil,BRA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2950,0,0,0,0,2950,2950,3954013
2021-08-17,2021,8,17,port2045,Porto de Itaguai,Brazil,BRA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,176678,0,0,0,176678,176678,3954014
2020-07-11,2020,7,11,port2045,Porto de Itaguai,Brazil,BRA,2,1,0,0,0,3,3,2129,0,0,0,0,2129,2129,1113,190509,0,0,0,191622,191622,3954015
2019-06-11,2019,6,11,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,0,13129,0,0,0,13129,13129,7816,101137,0,0,0,108954,108954,3954018
2021-08-18,2021,8,18,port2045,Porto de Itaguai,Brazil,BRA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1501,0,0,0,0,1501,1501,3954019
2020-07-12,2020,7,12,port2045,Porto de Itaguai,Brazil,BRA,1,2,0,0,0,3,3,0,13129,0,0,0,13129,13129,0,269075,0,0,0,269075,269075,3954020
2019-06-12,2019,6,12,port2045,Porto de Itaguai,Brazil,BRA,1,2,1,0,0,4,4,0,31832,0,0,0,31832,31832,2110,170595,0,0,0,172705,172705,3954023
2021-08-19,2021,8,19,port2045,Porto de Itaguai,Brazil,BRA,2,6,0,0,0,8,8,1071,185066,0,0,0,186138,186138,5793,366773,0,0,0,372566,372566,3954024
2020-07-13,2020,7,13,port2045,Porto de Itaguai,Brazil,BRA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,166276,0,0,0,166276,166276,3954025
2019-01-01,2019,1,1,port2045,Porto de Itaguai,Brazil,BRA,1,2,0,0,0,3,3,0,13129,0,0,0,13129,13129,14258,276684,0,0,0,290943,290943,3954265
2019-01-02,2019,1,2,port2045,Porto de Itaguai,Brazil,BRA,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,147451,0,0,0,147451,147451,3954266
2019-01-03,2019,1,3,port2045,Porto de Itaguai,Brazil,BRA,2,1,0,0,0,3,3,17460,0,0,0,0,17460,17460,14935,171440,0,0,0,186376,186376,3954267
2019-01-04,2019,1,4,port2045,Porto de Itaguai,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954268
2019-01-05,2019,1,5,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,0,0,0,0,0,0,0,25689,164342,0,0,0,190031,190031,3954269
2019-01-06,2019,1,6,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,199517,0,0,0,199517,199517,3954270
2019-01-07,2019,1,7,port2045,Porto de Itaguai,Brazil,BRA,0,1,0,0,0,1,1,0,13129,0,0,0,13129,13129,0,101137,0,0,0,101137,101137,3954271
2019-01-08,2019,1,8,port2045,Porto de Itaguai,Brazil,BRA,2,1,0,0,0,3,3,0,69818,0,0,0,69818,69818,16043,0,0,0,0,16043,16043,3954272
2019-01-09,2019,1,9,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,2190,71137,0,0,0,73327,73327,2171,0,0,0,0,2171,2171,3954273
2019-01-10,2019,1,10,port2045,Porto de Itaguai,Brazil,BRA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,196299,0,0,0,196299,196299,3954274
2019-01-11,2019,1,11,port2045,Porto de Itaguai,Brazil,BRA,1,3,0,0,0,4,4,7613,13129,0,0,0,20743,20743,0,172092,0,0,0,172092,172092,3954275
2019-01-12,2019,1,12,port2045,Porto de Itaguai,Brazil,BRA,1,0,0,0,0,1,1,2190,0,0,0,0,2190,2190,2171,0,0,0,0,2171,2171,3954276
2019-01-13,2019,1,13,port2045,Porto de Itaguai,Brazil,BRA,1,3,1,0,0,5,5,0,50097,712,0,0,50810,50810,509,359924,0,0,0,360434,360434,3954277
2019-01-14,2019,1,14,port2045,Porto de Itaguai,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954278
2019-01-15,2019,1,15,port2045,Porto de Itaguai,Brazil,BRA,3,2,0,0,0,5,5,8005,56977,0,0,0,64983,64983,17239,174933,0,0,0,192172,192172,3954279
2019-01-16,2019,1,16,port2045,Porto de Itaguai,Brazil,BRA,1,0,0,0,0,1,1,2190,0,0,0,0,2190,2190,2171,0,0,0,0,2171,2171,3954280
2019-01-17,2019,1,17,port2045,Porto de Itaguai,Brazil,BRA,1,0,0,0,0,1,1,649,0,0,0,0,649,649,0,0,0,0,0,0,0,3954281
2019-01-18,2019,1,18,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,58581,0,0,0,0,58581,58581,0,168268,0,0,0,168268,168268,3954282
2019-01-19,2019,1,19,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,3359,32696,0,0,0,36055,36055,0,0,0,0,0,0,0,3954283
2019-01-20,2019,1,20,port2045,Porto de Itaguai,Brazil,BRA,1,2,0,0,0,3,3,0,43239,0,0,0,43239,43239,1468,101137,0,0,0,102606,102606,3954284
2019-01-21,2019,1,21,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,2190,0,0,0,0,2190,2190,2171,159275,0,0,0,161446,161446,3954285
2019-01-22,2019,1,22,port2045,Porto de Itaguai,Brazil,BRA,2,2,0,0,0,4,4,0,13129,0,0,0,13129,13129,9176,296716,0,0,0,305892,305892,3954286
2019-01-23,2019,1,23,port2045,Porto de Itaguai,Brazil,BRA,1,0,0,0,0,1,1,12223,0,0,0,0,12223,12223,0,0,0,0,0,0,0,3954287
2019-01-24,2019,1,24,port2045,Porto de Itaguai,Brazil,BRA,0,3,0,0,0,3,3,0,77824,0,0,0,77824,77824,0,155012,0,0,0,155012,155012,3954288
2019-01-25,2019,1,25,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,0,0,0,0,0,0,0,6653,167016,0,0,0,173670,173670,3954289
2019-01-26,2019,1,26,port2045,Porto de Itaguai,Brazil,BRA,1,1,0,0,0,2,2,5334,0,0,0,0,5334,5334,0,164459,0,0,0,164459,164459,3954290
