date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-21,2019,1,21,port510,Izmir,Türkiye,TUR,2,0,3,0,0,5,5,0,0,3248,0,0,3248,3248,9746,0,0,0,0,9746,9746,722001
2019-01-22,2019,1,22,port510,Izmir,Türkiye,TUR,2,1,4,0,0,7,7,1233,16619,4445,0,0,22298,22298,9596,0,320,0,0,9917,9917,722002
2019-01-23,2019,1,23,port510,Izmir,Türkiye,TUR,1,0,2,0,0,3,3,0,0,611,0,0,611,611,3699,0,275,0,0,3975,3975,722003
2019-01-24,2019,1,24,port510,Izmir,Türkiye,TUR,3,0,0,0,0,3,3,2320,0,0,0,0,2320,2320,299,0,0,0,0,299,299,722004
2019-01-25,2019,1,25,port510,Izmir,Türkiye,TUR,0,0,3,0,1,3,4,0,0,2920,0,6701,2920,9621,0,0,320,0,0,320,320,722005
2019-01-26,2019,1,26,port510,Izmir,Türkiye,TUR,2,0,0,0,0,2,2,0,0,0,0,0,0,0,4356,0,0,0,0,4356,4356,722006
2019-01-27,2019,1,27,port510,Izmir,Türkiye,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722007
2019-01-28,2019,1,28,port510,Izmir,Türkiye,TUR,0,1,3,0,2,4,6,0,10938,2786,0,5614,13725,19339,0,9813,0,0,636,9813,10450,722008
2019-01-29,2019,1,29,port510,Izmir,Türkiye,TUR,3,0,2,0,0,5,5,4538,0,2469,0,0,7007,7007,5252,0,320,0,0,5573,5573,722009
2019-01-30,2019,1,30,port510,Izmir,Türkiye,TUR,2,0,3,0,0,5,5,0,0,7111,0,0,7111,7111,4067,0,0,0,0,4067,4067,722010
2019-01-31,2019,1,31,port510,Izmir,Türkiye,TUR,2,1,1,0,0,4,4,3777,484,0,0,0,4262,4262,1905,0,349,0,0,2255,2255,722011
2019-02-01,2019,2,1,port510,Izmir,Türkiye,TUR,2,0,3,0,0,5,5,6355,0,6053,0,0,12409,12409,5959,0,320,0,0,6280,6280,722012
2019-02-02,2019,2,2,port510,Izmir,Türkiye,TUR,1,0,1,0,0,2,2,0,0,1368,0,0,1368,1368,6583,0,0,0,0,6583,6583,722013
2019-02-03,2019,2,3,port510,Izmir,Türkiye,TUR,0,0,1,1,0,2,2,0,0,1214,1308,0,2522,2522,0,0,320,188,0,509,509,722014
2019-02-04,2019,2,4,port510,Izmir,Türkiye,TUR,1,0,4,0,2,5,7,0,0,5666,0,10721,5666,16387,0,0,356,0,636,356,992,722015
2019-02-05,2019,2,5,port510,Izmir,Türkiye,TUR,2,1,1,0,0,4,4,0,0,2432,0,0,2432,2432,4810,0,0,0,0,4810,4810,722016
2019-02-06,2019,2,6,port510,Izmir,Türkiye,TUR,1,0,2,1,0,4,4,0,0,923,0,0,923,923,0,0,0,0,0,0,0,722017
2019-02-07,2019,2,7,port510,Izmir,Türkiye,TUR,4,0,0,0,1,4,5,2147,0,0,0,5675,2147,7823,2955,0,0,0,0,2955,2955,722018
2019-02-08,2019,2,8,port510,Izmir,Türkiye,TUR,2,0,1,0,1,3,4,580,0,2403,0,5383,2983,8367,618,0,0,0,0,618,618,722019
2019-02-09,2019,2,9,port510,Izmir,Türkiye,TUR,3,0,0,0,0,3,3,11055,0,0,0,0,11055,11055,3654,0,0,0,0,3654,3654,722020
2019-02-10,2019,2,10,port510,Izmir,Türkiye,TUR,0,0,1,0,0,1,1,0,0,1214,0,0,1214,1214,0,0,320,0,0,320,320,722021
2019-02-11,2019,2,11,port510,Izmir,Türkiye,TUR,2,0,2,0,1,4,5,1233,0,2362,0,2095,3596,5691,4050,0,320,0,0,4371,4371,722022
2019-02-12,2019,2,12,port510,Izmir,Türkiye,TUR,3,1,1,0,1,5,6,963,0,1011,0,2705,1975,4680,4453,12350,0,0,0,16803,16803,722023
2019-02-13,2019,2,13,port510,Izmir,Türkiye,TUR,2,0,1,0,0,3,3,0,0,0,0,0,0,0,9016,0,0,0,0,9016,9016,722024
2019-02-14,2019,2,14,port510,Izmir,Türkiye,TUR,0,0,1,0,0,1,1,0,0,1214,0,0,1214,1214,0,0,320,0,0,320,320,722025
2019-02-15,2019,2,15,port510,Izmir,Türkiye,TUR,3,0,4,0,1,7,8,1709,0,4830,0,3985,6539,10525,4152,0,0,0,0,4152,4152,722026
2019-02-16,2019,2,16,port510,Izmir,Türkiye,TUR,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4651,0,0,0,0,4651,4651,722027
2019-02-17,2019,2,17,port510,Izmir,Türkiye,TUR,2,0,0,0,0,2,2,5088,0,0,0,0,5088,5088,9112,0,0,0,0,9112,9112,722028
2019-02-18,2019,2,18,port510,Izmir,Türkiye,TUR,3,1,2,0,0,6,6,2424,29971,1671,0,0,34066,34066,238,0,349,0,0,588,588,722029
2019-02-19,2019,2,19,port510,Izmir,Türkiye,TUR,2,0,1,0,0,3,3,1233,0,1555,0,0,2789,2789,5030,0,0,0,0,5030,5030,722030
2019-02-20,2019,2,20,port510,Izmir,Türkiye,TUR,2,1,3,0,0,6,6,405,26092,4026,0,0,30523,30523,1614,0,320,0,0,1935,1935,722031
2019-02-21,2019,2,21,port510,Izmir,Türkiye,TUR,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,7522,0,0,7522,7522,722032
2019-02-22,2019,2,22,port510,Izmir,Türkiye,TUR,3,0,5,0,1,8,9,1543,0,5320,0,2095,6864,8959,7594,0,320,0,0,7914,7914,722033
2019-02-23,2019,2,23,port510,Izmir,Türkiye,TUR,1,0,1,0,0,2,2,1066,0,1214,0,0,2280,2280,0,0,320,0,0,320,320,722034
