date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-19,2019,1,19,port776,Mumbai,India,IND,2,1,4,0,3,7,10,4060,26705,1952,0,55972,32718,88690,23649,0,544,0,2810,24193,27004,3210076
2019-01-20,2019,1,20,port776,Mumbai,India,IND,3,4,3,1,1,11,12,78621,103967,0,0,0,182588,182588,0,2341,0,0,9983,2341,12324,3210405
2019-01-21,2019,1,21,port776,Mumbai,India,IND,2,3,4,0,5,9,14,0,62554,171,0,59610,62725,122335,156671,0,209,0,8376,156881,165257,3210409
2019-01-22,2019,1,22,port776,Mumbai,India,IND,3,2,8,0,5,13,18,74700,13052,5342,0,78997,93095,172092,0,0,1903,0,0,1903,1903,3210414
2019-01-23,2019,1,23,port776,Mumbai,India,IND,4,4,3,0,6,11,17,26018,36508,0,0,140525,62526,203052,78714,0,0,0,51417,78714,130132,3210418
2019-01-24,2019,1,24,port776,Mumbai,India,IND,4,4,7,0,3,15,18,88880,66416,4536,0,33277,159832,193110,3742,0,1265,0,0,5008,5008,3210422
2019-01-01,2019,1,1,port776,Mumbai,India,IND,2,6,1,0,1,9,10,50574,46038,0,0,0,96613,96613,0,0,0,0,51417,0,51417,3210802
2019-01-02,2019,1,2,port776,Mumbai,India,IND,7,5,5,0,4,17,21,153814,85594,464,0,123293,239874,363167,288674,2953,0,0,0,291628,291628,3210803
2019-01-03,2019,1,3,port776,Mumbai,India,IND,3,3,3,0,1,9,10,131031,52009,620,0,1612,183661,185273,0,2341,825,0,0,3167,3167,3210804
2019-01-04,2019,1,4,port776,Mumbai,India,IND,4,5,1,0,6,10,16,100394,46683,1752,0,146584,148830,295415,54811,0,0,0,0,54811,54811,3210805
2019-01-05,2019,1,5,port776,Mumbai,India,IND,5,2,2,0,5,9,14,68866,81979,0,0,21078,150845,171924,142245,2341,0,0,554,144586,145141,3210806
2019-01-06,2019,1,6,port776,Mumbai,India,IND,6,3,3,0,3,12,15,320214,14257,0,0,2711,334471,337182,98141,0,0,0,87259,98141,185400,3210807
2019-01-07,2019,1,7,port776,Mumbai,India,IND,4,2,3,0,5,9,14,33260,73206,1010,0,90701,107477,198178,50446,0,1768,0,25104,52215,77319,3210808
2019-01-08,2019,1,8,port776,Mumbai,India,IND,4,2,2,1,5,9,14,70844,27691,0,0,149306,98535,247842,114367,2341,0,2592,26162,119300,145463,3210809
2019-01-09,2019,1,9,port776,Mumbai,India,IND,3,2,4,0,2,9,11,4641,0,0,0,7360,4641,12001,91389,26599,0,0,54228,117989,172217,3210810
2019-01-10,2019,1,10,port776,Mumbai,India,IND,4,0,6,0,5,10,15,76727,0,2461,0,133210,79189,212399,63339,0,1047,0,554,64387,64941,3210811
2019-01-11,2019,1,11,port776,Mumbai,India,IND,6,2,3,1,1,12,13,145450,56343,1010,0,466,202803,203270,75638,0,1768,0,0,77407,77407,3210812
2019-01-12,2019,1,12,port776,Mumbai,India,IND,4,1,2,1,4,8,12,79445,10517,1155,0,63393,91118,154512,22871,0,0,0,27710,22871,50581,3210813
2019-01-13,2019,1,13,port776,Mumbai,India,IND,4,1,2,0,1,7,8,155425,0,0,0,0,155425,155425,40130,0,0,0,0,40130,40130,3210814
2019-01-14,2019,1,14,port776,Mumbai,India,IND,4,3,4,1,1,12,13,69898,29010,2124,184,0,101217,101217,68614,0,2383,838,0,71836,71836,3210815
2019-01-15,2019,1,15,port776,Mumbai,India,IND,5,3,7,0,7,15,22,104513,41741,1010,0,173537,147265,320803,63492,0,2809,0,386,66302,66688,3210816
2019-01-16,2019,1,16,port776,Mumbai,India,IND,2,1,2,0,1,5,6,74487,46403,0,0,3132,120891,124023,129014,0,0,0,0,129014,129014,3210817
2019-01-17,2019,1,17,port776,Mumbai,India,IND,4,3,3,1,6,11,17,65998,72623,191,184,194352,138999,333351,50115,2341,144,838,7163,53440,60604,3210818
2019-01-18,2019,1,18,port776,Mumbai,India,IND,3,3,4,0,3,10,13,134120,54321,1654,0,13525,190095,203620,62524,0,0,0,17940,62524,80465,3210819
2019-01-25,2019,1,25,port776,Mumbai,India,IND,5,1,0,0,3,6,9,63238,50075,0,0,72341,113313,185654,202022,0,0,0,0,202022,202022,3210820
2019-01-26,2019,1,26,port776,Mumbai,India,IND,3,4,3,0,1,10,11,57585,15824,0,0,0,73409,73409,66664,8076,0,0,31974,74741,106715,3210821
2019-01-27,2019,1,27,port776,Mumbai,India,IND,4,0,3,0,6,7,13,222960,0,0,0,131719,222960,354679,22871,0,0,0,0,22871,22871,3210822
2019-01-28,2019,1,28,port776,Mumbai,India,IND,2,1,2,1,0,6,6,0,0,0,0,0,0,0,176569,0,720,2368,0,179658,179658,3210823
2019-01-29,2019,1,29,port776,Mumbai,India,IND,3,5,2,0,1,10,11,39298,163884,0,0,0,203183,203183,126661,0,0,0,51417,126661,178079,3210824
2019-01-30,2019,1,30,port776,Mumbai,India,IND,3,3,3,3,4,12,16,46742,0,0,0,48728,46742,95470,138114,36325,0,0,52729,174439,227168,3210825
2019-01-31,2019,1,31,port776,Mumbai,India,IND,7,2,4,0,3,13,16,200589,105962,1462,0,2169,308013,310183,78095,0,1768,0,7703,79863,87567,3210826
2019-02-01,2019,2,1,port776,Mumbai,India,IND,5,5,5,2,5,17,22,89264,51717,1952,204,110003,143139,253142,72960,0,3618,1340,0,77919,77919,3210827
2019-02-02,2019,2,2,port776,Mumbai,India,IND,2,4,6,0,3,12,15,24518,64515,1416,0,38762,90450,129212,75560,0,209,0,433,75770,76204,3210828
2019-02-03,2019,2,3,port776,Mumbai,India,IND,5,1,10,0,5,16,21,112225,0,2428,0,98641,114654,213296,139273,0,0,0,9974,139273,149247,3210829
2019-02-04,2019,2,4,port776,Mumbai,India,IND,3,3,8,0,3,14,17,0,69583,3905,0,0,73489,73489,82473,0,4411,0,42809,86885,129695,3210830
2019-02-05,2019,2,5,port776,Mumbai,India,IND,2,3,1,1,2,7,9,89020,56798,0,184,138158,146003,284161,18674,2341,0,838,2810,21854,24665,3210831
2019-02-06,2019,2,6,port776,Mumbai,India,IND,5,7,6,0,1,18,19,98847,168936,0,0,0,267783,267783,78501,1308,0,0,0,79809,79809,3210832
2019-02-07,2019,2,7,port776,Mumbai,India,IND,7,1,5,0,1,13,14,245380,13754,0,0,33778,259134,292912,15667,0,754,0,0,16421,16421,3210833
2019-02-08,2019,2,8,port776,Mumbai,India,IND,3,2,4,1,4,10,14,130049,909,3425,0,156179,134384,290564,0,0,144,2942,7163,3087,10250,3210834
2019-02-09,2019,2,9,port776,Mumbai,India,IND,5,0,3,1,5,9,14,73554,0,1952,2928,18502,78435,96937,226687,0,544,0,2810,227231,230042,3210835
2019-02-10,2019,2,10,port776,Mumbai,India,IND,4,2,8,0,4,14,18,159282,46169,5046,0,136777,210498,347276,210634,0,544,0,0,211179,211179,3210836
2019-02-11,2019,2,11,port776,Mumbai,India,IND,4,3,6,1,5,14,19,52237,50998,1952,0,17388,105189,122577,43698,0,544,0,554,44243,44798,3210837
2019-02-12,2019,2,12,port776,Mumbai,India,IND,5,3,2,0,7,10,17,103895,26311,0,0,158768,130207,288976,96893,612,850,0,5621,98357,103979,3210838
2019-02-13,2019,2,13,port776,Mumbai,India,IND,3,3,5,0,4,11,15,30253,33251,2028,0,133910,65532,199442,111424,2341,3474,0,2810,117239,120050,3210839
