date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-01-26,2020,1,26,port744,Jebel Ali,United Arab Emirates,ARE,5,0,0,0,1,5,6,77410,0,0,0,9906,77410,87317,141638,0,0,0,4216,141638,145854,194186
2021-03-01,2021,3,1,port744,Jebel Ali,United Arab Emirates,ARE,20,0,3,1,6,24,30,494599,0,1664,653,14108,496916,511024,235608,0,1152,177,14064,236938,251002,194404
2020-01-27,2020,1,27,port744,Jebel Ali,United Arab Emirates,ARE,8,2,5,2,2,17,19,96116,21661,4904,8312,6315,130995,137310,258085,2141,1927,98,0,262252,262252,194405
2021-03-02,2021,3,2,port744,Jebel Ali,United Arab Emirates,ARE,10,0,5,1,3,16,19,67764,0,7300,653,32398,75718,108117,74580,0,4155,177,45004,78913,123918,194406
2020-01-28,2020,1,28,port744,Jebel Ali,United Arab Emirates,ARE,10,6,0,0,3,16,19,224381,84785,0,0,79373,309166,388539,59194,28934,0,0,4216,88129,92346,194407
2021-03-03,2021,3,3,port744,Jebel Ali,United Arab Emirates,ARE,13,3,2,1,1,19,20,454431,26533,1613,1642,36580,484221,520802,229675,552,1152,98,0,231479,231479,194409
2020-01-29,2020,1,29,port744,Jebel Ali,United Arab Emirates,ARE,12,1,3,0,0,16,16,290135,14166,1133,0,0,305435,305435,68106,0,2598,0,0,70705,70705,194410
2021-03-04,2021,3,4,port744,Jebel Ali,United Arab Emirates,ARE,14,2,0,0,2,16,18,270407,0,0,0,13894,270407,284302,439881,46126,0,0,5019,486007,491027,194412
2020-01-30,2020,1,30,port744,Jebel Ali,United Arab Emirates,ARE,12,1,0,0,1,13,14,183820,54714,0,0,0,238534,238534,263123,0,0,0,0,263123,263123,194413
2021-03-05,2021,3,5,port744,Jebel Ali,United Arab Emirates,ARE,11,4,5,1,3,21,24,87859,61497,4383,2301,95635,156043,251678,184332,0,4034,0,5798,188366,194165,194415
2020-01-31,2020,1,31,port744,Jebel Ali,United Arab Emirates,ARE,14,1,2,0,3,17,20,354070,21661,5432,0,9192,381165,390357,279431,2141,1152,0,6250,282725,288975,194416
2021-03-06,2021,3,6,port744,Jebel Ali,United Arab Emirates,ARE,13,1,2,0,2,16,18,537613,15057,1121,0,33808,553792,587601,149393,0,2206,0,10595,151600,162195,194418
2020-02-01,2020,2,1,port744,Jebel Ali,United Arab Emirates,ARE,13,2,1,1,2,17,19,243915,21733,6854,653,26485,273157,299642,169744,2141,0,177,4216,172062,176279,194419
2021-03-07,2021,3,7,port744,Jebel Ali,United Arab Emirates,ARE,11,1,1,0,5,13,18,84609,1464,12923,0,61171,98997,160168,344054,0,0,0,5019,344054,349073,194421
2020-02-02,2020,2,2,port744,Jebel Ali,United Arab Emirates,ARE,15,3,4,0,3,22,25,222405,67292,2762,0,43450,292460,335910,356362,0,5247,0,34817,361609,396427,194422
2021-03-08,2021,3,8,port744,Jebel Ali,United Arab Emirates,ARE,11,0,1,2,2,14,16,218092,0,1121,3986,7205,223201,230406,190978,0,1152,98,0,192229,192229,194424
2020-02-03,2020,2,3,port744,Jebel Ali,United Arab Emirates,ARE,10,1,0,0,3,11,14,45975,833,0,0,15209,46808,62017,163919,0,0,0,5019,163919,168938,194425
2021-03-09,2021,3,9,port744,Jebel Ali,United Arab Emirates,ARE,11,5,5,2,3,23,26,200886,143531,4856,511,97135,349786,446921,166511,0,4610,4660,81774,175782,257557,194427
