date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-03-17,2019,3,17,port1195,Shougang Jingtang,China,CHN,0,4,2,0,0,6,6,0,173585,1394,0,0,174979,174979,0,152802,8968,0,0,161770,161770,208006
2020-04-20,2020,4,20,port1195,Shougang Jingtang,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208007
2021-05-25,2021,5,25,port1195,Shougang Jingtang,China,CHN,0,13,0,0,0,13,13,0,641,0,0,0,641,641,0,374094,0,0,0,374094,374094,208044
2019-01-01,2019,1,1,port1195,Shougang Jingtang,China,CHN,0,5,2,0,0,7,7,0,28919,1394,0,0,30313,30313,0,178499,13119,0,0,191619,191619,208330
2019-01-02,2019,1,2,port1195,Shougang Jingtang,China,CHN,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,302225,0,0,0,302225,302225,208331
2019-01-03,2019,1,3,port1195,Shougang Jingtang,China,CHN,1,16,0,0,1,17,18,0,301618,0,0,117219,301618,418837,6409,530917,0,0,0,537326,537326,208332
2019-01-04,2019,1,4,port1195,Shougang Jingtang,China,CHN,0,15,3,0,1,18,19,0,1046795,11375,0,32793,1058170,1090964,0,284640,9316,0,9854,293957,303811,208333
2019-01-05,2019,1,5,port1195,Shougang Jingtang,China,CHN,0,11,5,0,2,16,18,0,339272,16628,0,32793,355901,388694,0,327211,19097,0,9854,346308,356163,208334
2019-01-06,2019,1,6,port1195,Shougang Jingtang,China,CHN,0,6,1,0,0,7,7,0,83281,0,0,0,83281,83281,0,187878,5200,0,0,193079,193079,208335
2019-01-07,2019,1,7,port1195,Shougang Jingtang,China,CHN,0,13,3,0,2,16,18,0,66465,3986,0,349237,70452,419689,0,447248,3120,0,0,450368,450368,208336
2019-01-08,2019,1,8,port1195,Shougang Jingtang,China,CHN,0,16,1,0,0,17,17,0,393746,0,0,0,393746,393746,0,412734,7978,0,0,420713,420713,208337
2019-01-09,2019,1,9,port1195,Shougang Jingtang,China,CHN,0,8,1,0,3,9,12,0,303657,0,0,300076,303657,603734,0,290714,2300,0,35741,293014,328755,208338
2019-01-10,2019,1,10,port1195,Shougang Jingtang,China,CHN,1,11,1,0,1,13,14,0,485108,4742,0,0,489851,489851,1513,264665,0,0,0,266179,266179,208339
2019-01-11,2019,1,11,port1195,Shougang Jingtang,China,CHN,0,8,2,0,1,10,11,0,0,0,0,32793,0,32793,0,259423,9650,0,9854,269074,278928,208340
2019-01-12,2019,1,12,port1195,Shougang Jingtang,China,CHN,0,1,1,0,0,2,2,0,137241,4578,0,0,141819,141819,0,0,0,0,0,0,0,208341
2019-01-13,2019,1,13,port1195,Shougang Jingtang,China,CHN,1,7,2,0,0,10,10,503,230496,0,0,0,231000,231000,4928,113398,7717,0,0,126044,126044,208342
2019-01-14,2019,1,14,port1195,Shougang Jingtang,China,CHN,1,16,1,0,2,18,20,0,470580,1394,0,32793,471974,504767,2599,499559,3120,0,9854,505279,515133,208343
2019-01-15,2019,1,15,port1195,Shougang Jingtang,China,CHN,0,7,0,0,1,7,8,0,0,0,0,0,0,0,0,196037,0,0,0,196037,196037,208344
2019-01-16,2019,1,16,port1195,Shougang Jingtang,China,CHN,0,8,1,0,3,9,12,0,0,0,0,0,0,0,0,236320,7806,0,25887,244127,270014,208345
2019-01-17,2019,1,17,port1195,Shougang Jingtang,China,CHN,2,24,0,0,1,26,27,503,995657,0,0,32793,996160,1028953,4928,603272,0,0,9854,608200,618055,208346
2019-01-18,2019,1,18,port1195,Shougang Jingtang,China,CHN,0,11,0,0,0,11,11,0,270602,0,0,0,270602,270602,0,260181,0,0,0,260181,260181,208347
2019-01-19,2019,1,19,port1195,Shougang Jingtang,China,CHN,0,15,1,0,0,16,16,0,259281,8494,0,0,267775,267775,0,557913,0,0,0,557913,557913,208348
2019-01-20,2019,1,20,port1195,Shougang Jingtang,China,CHN,0,15,1,0,4,16,20,0,809295,0,0,355346,809295,1164642,0,454938,272,0,25887,455210,481098,208349
2019-01-21,2019,1,21,port1195,Shougang Jingtang,China,CHN,1,12,0,0,0,13,13,0,653379,0,0,0,653379,653379,3953,242611,0,0,0,246565,246565,208350
2019-01-22,2019,1,22,port1195,Shougang Jingtang,China,CHN,0,15,2,0,2,17,19,0,405956,1394,0,32793,407350,440143,0,432082,5983,0,9854,438066,447920,208351
2019-01-23,2019,1,23,port1195,Shougang Jingtang,China,CHN,0,8,2,0,2,10,12,0,57838,15473,0,215435,73312,288748,0,298759,3120,0,0,301879,301879,208352
2019-01-24,2019,1,24,port1195,Shougang Jingtang,China,CHN,1,13,2,0,1,16,17,503,490263,1394,0,0,492160,492160,4928,323625,11627,0,0,340181,340181,208353
2019-01-25,2019,1,25,port1195,Shougang Jingtang,China,CHN,1,6,0,0,1,7,8,0,0,0,0,32793,0,32793,2599,246275,0,0,9854,248875,258729,208354
2019-01-26,2019,1,26,port1195,Shougang Jingtang,China,CHN,0,12,1,1,0,14,14,0,225236,0,0,0,225236,225236,0,350067,5995,0,0,356062,356062,208355
2019-01-27,2019,1,27,port1195,Shougang Jingtang,China,CHN,0,7,1,0,0,8,8,0,198918,0,0,0,198918,198918,0,194508,1552,0,0,196060,196060,208356
2019-01-28,2019,1,28,port1195,Shougang Jingtang,China,CHN,1,11,1,0,2,13,15,503,117604,0,0,364453,118107,482561,4928,282219,272,0,0,287420,287420,208357
2019-01-29,2019,1,29,port1195,Shougang Jingtang,China,CHN,0,10,0,0,2,10,12,0,686209,0,0,0,686209,686209,0,241148,0,0,0,241148,241148,208358
2019-01-30,2019,1,30,port1195,Shougang Jingtang,China,CHN,0,5,0,0,0,5,5,0,45510,0,0,0,45510,45510,0,167088,0,0,0,167088,167088,208359
2019-01-31,2019,1,31,port1195,Shougang Jingtang,China,CHN,0,7,0,0,0,7,7,0,419026,0,0,0,419026,419026,0,187927,0,0,0,187927,187927,208360
2019-02-01,2019,2,1,port1195,Shougang Jingtang,China,CHN,0,9,1,0,1,10,11,0,118545,1312,0,261754,119858,381613,0,300557,0,0,0,300557,300557,208361
2019-02-02,2019,2,2,port1195,Shougang Jingtang,China,CHN,0,2,0,0,1,2,3,0,398542,0,0,0,398542,398542,0,0,0,0,25887,0,25887,208362
2019-02-03,2019,2,3,port1195,Shougang Jingtang,China,CHN,1,9,0,0,1,10,11,0,327645,0,0,78388,327645,406034,2599,229326,0,0,0,231926,231926,208363
2019-02-04,2019,2,4,port1195,Shougang Jingtang,China,CHN,0,3,1,0,1,4,5,0,0,2184,0,32793,2184,34977,0,80807,0,0,9854,80807,90662,208364
2019-02-05,2019,2,5,port1195,Shougang Jingtang,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208365
2019-02-06,2019,2,6,port1195,Shougang Jingtang,China,CHN,0,12,0,0,0,12,12,0,720637,0,0,0,720637,720637,0,356174,0,0,0,356174,356174,208366
2019-02-07,2019,2,7,port1195,Shougang Jingtang,China,CHN,0,12,2,0,1,14,15,0,259834,0,0,32793,259834,292627,0,401083,5827,0,9854,406910,416764,208367
2019-02-08,2019,2,8,port1195,Shougang Jingtang,China,CHN,0,5,1,0,2,6,8,0,44586,0,0,117219,44586,161805,0,204076,11927,0,0,216003,216003,208368
2019-02-09,2019,2,9,port1195,Shougang Jingtang,China,CHN,0,9,0,0,2,9,11,0,428225,0,0,0,428225,428225,0,234036,0,0,25887,234036,259923,208369
2019-02-10,2019,2,10,port1195,Shougang Jingtang,China,CHN,0,6,0,0,0,6,6,0,210436,0,0,0,210436,210436,0,131591,0,0,0,131591,131591,208370
2019-02-11,2019,2,11,port1195,Shougang Jingtang,China,CHN,0,10,0,0,1,10,11,0,423258,0,0,0,423258,423258,0,152737,0,0,0,152737,152737,208371
2019-02-12,2019,2,12,port1195,Shougang Jingtang,China,CHN,0,3,0,0,0,3,3,0,62649,0,0,0,62649,62649,0,41894,0,0,0,41894,41894,208372
2019-02-13,2019,2,13,port1195,Shougang Jingtang,China,CHN,0,13,1,0,1,14,15,0,365972,2531,0,0,368504,368504,0,369204,0,0,0,369204,369204,208373
2019-02-14,2019,2,14,port1195,Shougang Jingtang,China,CHN,1,9,1,0,3,11,14,3411,232641,1880,0,375060,237934,612994,0,211994,0,0,9854,211994,221848,208374
2019-02-15,2019,2,15,port1195,Shougang Jingtang,China,CHN,0,6,1,0,2,7,9,0,55897,0,0,0,55897,55897,0,134807,272,0,25887,135079,160966,208375
2019-02-16,2019,2,16,port1195,Shougang Jingtang,China,CHN,0,15,2,0,0,17,17,0,614743,0,0,0,614743,614743,0,304848,9549,0,0,314398,314398,208376
2019-02-17,2019,2,17,port1195,Shougang Jingtang,China,CHN,0,15,0,0,2,15,17,0,470355,0,0,77814,470355,548170,0,428322,0,0,0,428322,428322,208377
2019-02-18,2019,2,18,port1195,Shougang Jingtang,China,CHN,0,8,0,0,0,8,8,0,438127,0,0,0,438127,438127,0,104433,0,0,0,104433,104433,208378
2019-02-19,2019,2,19,port1195,Shougang Jingtang,China,CHN,1,10,0,0,2,11,13,12819,712438,0,0,111571,725258,836830,0,219000,0,0,0,219000,219000,208379
2019-02-20,2019,2,20,port1195,Shougang Jingtang,China,CHN,0,12,2,0,2,14,16,0,835038,1394,0,32793,836432,869225,0,288293,6912,0,35741,295206,330947,208380
2019-02-21,2019,2,21,port1195,Shougang Jingtang,China,CHN,0,5,1,0,2,6,8,0,350580,0,0,240224,350580,590805,0,113045,2952,0,0,115998,115998,208381
2019-02-22,2019,2,22,port1195,Shougang Jingtang,China,CHN,1,10,1,0,0,12,12,503,496658,0,0,0,497161,497161,4928,227656,2863,0,0,235448,235448,208382
2019-02-23,2019,2,23,port1195,Shougang Jingtang,China,CHN,0,16,2,0,0,18,18,0,658448,1394,0,0,659842,659842,0,378640,3499,0,0,382140,382140,208383
2019-02-24,2019,2,24,port1195,Shougang Jingtang,China,CHN,1,12,1,0,1,14,15,20630,427316,2300,0,32793,450248,483041,0,415430,0,0,9854,415430,425284,208384
2019-02-25,2019,2,25,port1195,Shougang Jingtang,China,CHN,0,11,1,0,1,12,13,0,254466,4390,0,82077,258857,340934,0,356983,0,0,0,356983,356983,208385
2019-02-26,2019,2,26,port1195,Shougang Jingtang,China,CHN,0,13,0,0,0,13,13,0,205262,0,0,0,205262,205262,0,477527,0,0,0,477527,477527,208386
2019-02-27,2019,2,27,port1195,Shougang Jingtang,China,CHN,1,9,1,0,1,11,12,0,230347,0,0,143607,230347,373955,0,324563,93,0,8565,324657,333222,208387
2019-02-28,2019,2,28,port1195,Shougang Jingtang,China,CHN,0,9,2,0,2,11,13,0,440303,0,0,340940,440303,781244,0,215312,15785,0,0,231098,231098,208388
2019-03-01,2019,3,1,port1195,Shougang Jingtang,China,CHN,1,13,0,0,0,14,14,0,444023,0,0,0,444023,444023,2599,383451,0,0,0,386051,386051,208389
2019-03-02,2019,3,2,port1195,Shougang Jingtang,China,CHN,0,10,1,0,0,11,11,0,635584,15785,0,0,651369,651369,0,180328,0,0,0,180328,180328,208390
2019-03-03,2019,3,3,port1195,Shougang Jingtang,China,CHN,0,12,1,0,1,13,14,0,591819,0,0,259251,591819,851071,0,252421,0,0,0,252421,252421,208391
2019-03-04,2019,3,4,port1195,Shougang Jingtang,China,CHN,1,11,0,0,1,12,13,0,517477,0,0,0,517477,517477,3953,344546,0,0,25887,348500,374387,208392
2019-03-05,2019,3,5,port1195,Shougang Jingtang,China,CHN,0,13,0,0,1,13,14,0,229901,0,0,32793,229901,262694,0,397286,0,0,9854,397286,407140,208393
2019-03-06,2019,3,6,port1195,Shougang Jingtang,China,CHN,0,12,3,0,2,15,17,0,573608,1394,0,263,575003,575266,0,321465,8570,0,0,330035,330035,208394
2019-03-07,2019,3,7,port1195,Shougang Jingtang,China,CHN,0,11,0,0,1,11,12,0,627371,0,0,258435,627371,885806,0,151382,0,0,0,151382,151382,208395
2019-03-08,2019,3,8,port1195,Shougang Jingtang,China,CHN,1,6,1,0,0,8,8,5112,50727,0,0,0,55840,55840,0,186505,2863,0,0,189369,189369,208396
2019-03-09,2019,3,9,port1195,Shougang Jingtang,China,CHN,0,12,0,0,0,12,12,0,369870,0,0,0,369870,369870,0,476202,0,0,0,476202,476202,208397
