date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port521,Jinzhou,China,CHN,1,1,2,0,0,4,4,0,83888,0,0,0,83888,83888,20931,0,10995,0,0,31927,31927,1768842
2019-01-02,2019,1,2,port521,Jinzhou,China,CHN,2,2,2,0,2,6,8,0,0,0,0,3894,0,3894,32346,68411,17038,0,135853,117795,253649,1768843
2019-01-03,2019,1,3,port521,Jinzhou,China,CHN,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,16589,10363,0,51376,26953,78329,1768844
2019-01-04,2019,1,4,port521,Jinzhou,China,CHN,1,3,2,0,2,6,8,0,85322,1183,0,0,86505,86505,11097,77325,5451,0,8371,93873,102245,1768845
2019-01-05,2019,1,5,port521,Jinzhou,China,CHN,2,1,2,0,2,5,7,0,0,1183,0,59930,1183,61113,27185,16273,6825,0,37308,50284,87593,1768846
2019-01-06,2019,1,6,port521,Jinzhou,China,CHN,2,1,2,0,1,5,6,0,54396,4318,0,0,58715,58715,12896,0,11888,0,37469,24784,62254,1768847
2019-01-07,2019,1,7,port521,Jinzhou,China,CHN,0,4,0,0,1,4,5,0,76296,0,0,0,76296,76296,0,50212,0,0,1019,50212,51231,1768848
2019-01-08,2019,1,8,port521,Jinzhou,China,CHN,0,3,1,0,1,4,5,0,24395,0,0,0,24395,24395,0,60135,11175,0,35823,71310,107134,1768849
2019-01-09,2019,1,9,port521,Jinzhou,China,CHN,2,3,1,0,2,6,8,0,8046,0,0,3830,8046,11876,45853,115026,1725,0,16856,162604,179461,1768850
2019-01-10,2019,1,10,port521,Jinzhou,China,CHN,2,2,0,0,1,4,5,0,23038,0,0,3830,23038,26868,27214,54362,0,0,16449,81576,98025,1768851
2019-01-11,2019,1,11,port521,Jinzhou,China,CHN,1,2,0,0,0,3,3,0,12176,0,0,0,12176,12176,25338,51167,0,0,0,76506,76506,1768852
2019-01-12,2019,1,12,port521,Jinzhou,China,CHN,0,0,0,0,1,0,1,0,0,0,0,135853,0,135853,0,0,0,0,0,0,0,1768853
2021-03-23,2021,3,23,port521,Jinzhou,China,CHN,0,2,0,0,1,2,3,0,21900,0,0,0,21900,21900,0,0,0,0,5606,0,5606,1770001
2021-03-24,2021,3,24,port521,Jinzhou,China,CHN,2,1,0,0,0,3,3,0,16779,0,0,0,16779,16779,18525,16717,0,0,0,35243,35243,1770002
2021-03-25,2021,3,25,port521,Jinzhou,China,CHN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,29725,0,0,0,0,29725,29725,1770003
2021-03-26,2021,3,26,port521,Jinzhou,China,CHN,1,0,1,0,0,2,2,0,0,0,0,0,0,0,10534,0,7209,0,0,17744,17744,1770004
2021-03-27,2021,3,27,port521,Jinzhou,China,CHN,0,3,0,0,1,3,4,0,60668,0,0,0,60668,60668,0,4876,0,0,51376,4876,56252,1770005
2021-03-28,2021,3,28,port521,Jinzhou,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770006
2021-03-29,2021,3,29,port521,Jinzhou,China,CHN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,61195,0,0,0,61195,61195,1770007
2021-03-30,2021,3,30,port521,Jinzhou,China,CHN,1,1,1,0,0,3,3,0,10509,147,0,0,10656,10656,18716,0,5246,0,0,23963,23963,1770008
2021-03-31,2021,3,31,port521,Jinzhou,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770009
2021-04-01,2021,4,1,port521,Jinzhou,China,CHN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5232,0,0,0,0,5232,5232,1770010
2021-04-02,2021,4,2,port521,Jinzhou,China,CHN,1,2,0,0,0,3,3,0,3737,0,0,0,3737,3737,10534,49252,0,0,0,59787,59787,1770011
2021-04-03,2021,4,3,port521,Jinzhou,China,CHN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5768,0,0,5768,5768,1770012
2021-04-04,2021,4,4,port521,Jinzhou,China,CHN,0,7,0,0,2,7,9,0,87831,0,0,0,87831,87831,0,59662,0,0,75483,59662,135145,1770013
2021-04-05,2021,4,5,port521,Jinzhou,China,CHN,0,1,1,0,0,2,2,0,25347,147,0,0,25494,25494,0,0,5246,0,0,5246,5246,1770014
2021-04-06,2021,4,6,port521,Jinzhou,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770015
2021-04-07,2021,4,7,port521,Jinzhou,China,CHN,0,1,1,0,2,2,4,0,0,0,0,61805,0,61805,0,36569,8230,0,33804,44800,78605,1770016
2021-04-08,2021,4,8,port521,Jinzhou,China,CHN,2,1,0,0,1,3,4,0,0,0,0,0,0,0,27258,2447,0,0,3826,29705,33531,1770017
2021-04-09,2021,4,9,port521,Jinzhou,China,CHN,1,2,0,0,1,3,4,339,16779,0,0,0,17118,17118,11626,65717,0,0,3170,77343,80514,1770018
2021-04-10,2021,4,10,port521,Jinzhou,China,CHN,1,2,0,0,0,3,3,0,0,0,0,0,0,0,9514,59065,0,0,0,68580,68580,1770019
2021-04-11,2021,4,11,port521,Jinzhou,China,CHN,1,2,0,0,0,3,3,0,4249,0,0,0,4249,4249,12775,0,0,0,0,12775,12775,1770020
2021-04-12,2021,4,12,port521,Jinzhou,China,CHN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,21668,0,0,0,0,21668,21668,1770021
2021-04-13,2021,4,13,port521,Jinzhou,China,CHN,0,2,0,0,0,2,2,0,101789,0,0,0,101789,101789,0,0,0,0,0,0,0,1770022
2021-04-14,2021,4,14,port521,Jinzhou,China,CHN,1,3,1,0,1,5,6,0,12534,0,0,0,12534,12534,21678,5945,2923,0,51376,30547,81923,1770023
2021-04-15,2021,4,15,port521,Jinzhou,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770024
2021-04-16,2021,4,16,port521,Jinzhou,China,CHN,1,1,0,0,1,2,3,0,0,0,0,0,0,0,4507,4882,0,0,34889,9389,44279,1770025
2021-04-17,2021,4,17,port521,Jinzhou,China,CHN,1,0,1,0,1,2,3,0,0,0,0,0,0,0,16385,0,509,0,0,16895,16895,1770026
2021-04-18,2021,4,18,port521,Jinzhou,China,CHN,2,3,1,0,1,6,7,0,0,0,0,0,0,0,43024,97340,1779,0,62340,142143,204484,1770027
2021-04-19,2021,4,19,port521,Jinzhou,China,CHN,1,1,0,0,0,2,2,0,49276,0,0,0,49276,49276,19456,0,0,0,0,19456,19456,1770028
2021-04-20,2021,4,20,port521,Jinzhou,China,CHN,1,3,1,0,0,5,5,3370,21227,6639,0,0,31237,31237,0,41601,0,0,0,41601,41601,1770029
2021-04-21,2021,4,21,port521,Jinzhou,China,CHN,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,49000,13379,0,0,62379,62379,1770030
2021-04-22,2021,4,22,port521,Jinzhou,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770031
2021-04-23,2021,4,23,port521,Jinzhou,China,CHN,1,2,1,0,0,4,4,0,107849,0,0,0,107849,107849,3012,16717,13816,0,0,33546,33546,1770032
2021-04-24,2021,4,24,port521,Jinzhou,China,CHN,1,0,1,0,0,2,2,0,0,0,0,0,0,0,7733,0,4289,0,0,12023,12023,1770033
2021-04-25,2021,4,25,port521,Jinzhou,China,CHN,1,1,1,0,0,3,3,0,6029,0,0,0,6029,6029,20931,0,6067,0,0,26999,26999,1770034
2021-04-26,2021,4,26,port521,Jinzhou,China,CHN,0,4,0,0,2,4,6,0,39118,0,0,0,39118,39118,0,69833,0,0,22818,69833,92652,1770035
2021-04-27,2021,4,27,port521,Jinzhou,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770036
2021-04-28,2021,4,28,port521,Jinzhou,China,CHN,1,2,2,0,1,5,6,0,0,0,0,0,0,0,14265,36569,2814,0,6426,53649,60076,1770037
2021-04-29,2021,4,29,port521,Jinzhou,China,CHN,1,3,2,0,0,6,6,0,0,7376,0,0,7376,7376,18661,92151,3257,0,0,114069,114069,1770038
2019-01-13,2019,1,13,port521,Jinzhou,China,CHN,1,3,3,0,1,7,8,0,52222,0,0,0,52222,52222,15759,0,18250,0,34528,34009,68537,1770039
2020-02-17,2020,2,17,port521,Jinzhou,China,CHN,1,5,0,0,4,6,10,0,98472,0,0,1156,98472,99629,23873,33413,0,0,87638,57286,144924,1770040
2022-04-27,2022,4,27,port521,Jinzhou,China,CHN,1,1,0,0,0,2,2,0,5844,0,0,0,5844,5844,7151,0,0,0,0,7151,7151,1770041
2021-04-30,2021,4,30,port521,Jinzhou,China,CHN,0,3,0,0,1,3,4,0,33558,0,0,0,33558,33558,0,78866,0,0,51376,78866,130242,1770042
2021-05-01,2021,5,1,port521,Jinzhou,China,CHN,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,39896,11029,0,0,50926,50926,1770043
2021-05-02,2021,5,2,port521,Jinzhou,China,CHN,1,5,1,0,0,7,7,339,9412,0,0,0,9752,9752,11626,127975,5035,0,0,144636,144636,1770044
2021-05-03,2021,5,3,port521,Jinzhou,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770045
2021-05-04,2021,5,4,port521,Jinzhou,China,CHN,2,3,0,0,0,5,5,339,67976,0,0,0,68316,68316,18413,36600,0,0,0,55013,55013,1770046
2021-05-05,2021,5,5,port521,Jinzhou,China,CHN,1,2,1,0,2,4,6,0,100842,1183,0,0,102025,102025,16501,0,3471,0,58251,19973,78224,1770047
2021-05-06,2021,5,6,port521,Jinzhou,China,CHN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,20912,0,0,0,0,20912,20912,1770048
2021-05-07,2021,5,7,port521,Jinzhou,China,CHN,0,5,3,0,1,8,9,0,116953,223,0,61805,117176,178982,0,39876,14199,0,24725,54076,78801,1770049
2021-05-08,2021,5,8,port521,Jinzhou,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,955,0,955,1770050
