date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-07-27,2021,7,27,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,63958,2755,0,0,66713,66713,3100001
2021-07-28,2021,7,28,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,0,2755,0,0,2755,2755,3100002
2021-07-29,2021,7,29,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1112,0,0,1112,1112,0,0,1300,0,0,1300,1300,3100003
2021-07-30,2021,7,30,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,60116,2755,0,0,62871,62871,3100004
2021-07-31,2021,7,31,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,65133,2755,0,0,67889,67889,3100005
2021-08-01,2021,8,1,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,769,0,0,0,769,769,0,52600,0,0,0,52600,52600,3100006
2021-08-02,2021,8,2,port536,Kamsar,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100007
2021-08-03,2021,8,3,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,66372,0,0,0,66372,66372,3100008
2021-08-04,2021,8,4,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,60271,2755,0,0,63026,63026,3100009
2021-08-05,2021,8,5,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,67514,0,0,0,67514,67514,3100010
2021-08-06,2021,8,6,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1112,0,0,1112,1112,0,0,1300,0,0,1300,1300,3100011
2021-08-07,2021,8,7,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100012
2021-08-08,2021,8,8,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1305,0,0,1305,1305,0,0,2755,0,0,2755,2755,3100013
2021-08-09,2021,8,9,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,69519,0,0,0,69519,69519,3100014
2021-08-10,2021,8,10,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1305,0,0,1305,1305,0,0,2755,0,0,2755,2755,3100015
2021-08-11,2021,8,11,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,71294,2755,0,0,74049,74049,3100016
2021-08-12,2021,8,12,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,67799,0,0,0,67799,67799,3100017
2021-08-13,2021,8,13,port536,Kamsar,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100018
2021-08-14,2021,8,14,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,65868,2755,0,0,68623,68623,3100019
2021-08-15,2021,8,15,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,66741,0,0,0,66741,66741,3100020
2021-08-16,2021,8,16,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,769,1305,0,0,2075,2075,0,52600,2755,0,0,55355,55355,3100021
2021-08-17,2021,8,17,port536,Kamsar,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100022
2021-08-18,2021,8,18,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1305,0,0,1305,1305,0,0,2755,0,0,2755,2755,3100023
2021-08-19,2021,8,19,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1112,0,0,1112,1112,0,0,1300,0,0,1300,1300,3100024
2021-08-20,2021,8,20,port536,Kamsar,Guinea,GIN,0,2,1,0,1,3,4,0,769,1305,0,16215,2075,18291,0,116889,2755,0,0,119644,119644,3100025
2021-08-21,2021,8,21,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,58936,2755,0,0,61692,61692,3100026
2021-08-22,2021,8,22,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1305,0,0,1305,1305,0,62177,2755,0,0,64933,64933,3100027
2021-08-23,2021,8,23,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,1112,0,0,1112,1112,0,0,1300,0,0,1300,1300,3100028
2021-08-24,2021,8,24,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,0,5643,0,0,5643,5643,0,62877,0,0,0,62877,62877,3100029
2021-08-25,2021,8,25,port536,Kamsar,Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100030
2021-08-26,2021,8,26,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,55589,0,0,0,55589,55589,3100031
2021-08-27,2021,8,27,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1112,0,0,1112,1112,0,0,1300,0,0,1300,1300,3100032
2021-08-28,2021,8,28,port536,Kamsar,Guinea,GIN,0,1,1,0,0,2,2,0,769,1305,0,0,2075,2075,0,52600,2755,0,0,55355,55355,3100033
2021-08-29,2021,8,29,port536,Kamsar,Guinea,GIN,0,0,1,0,0,1,1,0,0,1112,0,0,1112,1112,0,0,1300,0,0,1300,1300,3100034
2021-08-30,2021,8,30,port536,Kamsar,Guinea,GIN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,64686,0,0,0,64686,64686,3100035
