date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-12-17,2020,12,17,port540,Kandla,India,IND,2,2,1,0,5,5,10,1880,43514,0,0,34628,45395,80023,17099,0,3966,0,828,21065,21894,3194001
2020-12-18,2020,12,18,port540,Kandla,India,IND,0,2,0,0,2,2,4,0,35815,0,0,50910,35815,86725,0,45294,0,0,0,45294,45294,3194002
2020-12-19,2020,12,19,port540,Kandla,India,IND,2,1,0,0,3,3,6,0,33359,0,0,45927,33359,79287,15574,0,0,0,0,15574,15574,3194003
2020-12-20,2020,12,20,port540,Kandla,India,IND,2,0,0,0,3,2,5,0,0,0,0,23634,0,23634,25634,0,0,0,40753,25634,66387,3194004
2020-12-21,2020,12,21,port540,Kandla,India,IND,0,1,1,0,3,2,5,0,21004,1547,0,32427,22551,54979,0,13269,3696,0,0,16966,16966,3194005
2020-12-22,2020,12,22,port540,Kandla,India,IND,1,3,0,0,2,4,6,0,0,0,0,0,0,0,1852,37449,0,0,32880,39301,72182,3194006
2020-12-23,2020,12,23,port540,Kandla,India,IND,2,3,1,0,3,6,9,0,21004,0,0,22908,21004,43912,23237,121349,637,0,13432,145224,158656,3194007
2020-12-24,2020,12,24,port540,Kandla,India,IND,3,1,2,0,1,6,7,7974,62948,2037,0,38091,72959,111051,4508,0,5431,0,0,9939,9939,3194008
2020-12-25,2020,12,25,port540,Kandla,India,IND,2,0,1,0,3,3,6,0,0,16222,0,37592,16222,53815,20572,0,0,0,1839,20572,22412,3194009
2020-12-26,2020,12,26,port540,Kandla,India,IND,0,2,1,0,2,3,5,0,0,1547,0,18624,1547,20171,0,3813,3696,0,0,7510,7510,3194010
2020-12-27,2020,12,27,port540,Kandla,India,IND,2,0,0,0,4,2,6,17944,0,0,0,26263,17944,44207,5724,0,0,0,16238,5724,21962,3194011
2020-12-28,2020,12,28,port540,Kandla,India,IND,0,1,0,0,3,1,4,0,31154,0,0,21974,31154,53129,0,0,0,0,30483,0,30483,3194012
2020-12-29,2020,12,29,port540,Kandla,India,IND,2,3,0,0,4,5,9,0,132060,0,0,92554,132060,224614,36935,0,0,0,0,36935,36935,3194013
2020-12-30,2020,12,30,port540,Kandla,India,IND,0,1,1,0,1,2,3,0,54882,7728,0,2454,62610,65065,0,0,0,0,0,0,0,3194014
2020-12-31,2020,12,31,port540,Kandla,India,IND,2,0,1,0,7,3,10,721,0,767,0,47709,1489,49199,27578,0,0,0,43530,27578,71108,3194015
2021-01-01,2021,1,1,port540,Kandla,India,IND,1,0,2,0,4,3,7,0,0,1547,0,51871,1547,53418,957,0,20386,0,0,21343,21343,3194016
2021-01-02,2021,1,2,port540,Kandla,India,IND,2,1,0,0,0,3,3,0,0,0,0,0,0,0,30148,51499,0,0,0,81648,81648,3194017
2021-01-03,2021,1,3,port540,Kandla,India,IND,0,1,0,0,6,1,7,0,89318,0,0,67286,89318,156605,0,0,0,0,1415,0,1415,3194018
2021-01-04,2021,1,4,port540,Kandla,India,IND,1,2,0,0,4,3,7,0,43934,0,0,64306,43934,108240,10582,29344,0,0,0,39927,39927,3194019
2021-01-05,2021,1,5,port540,Kandla,India,IND,1,4,0,0,3,5,8,0,73723,0,0,23462,73723,97185,5724,103372,0,0,18900,109097,127997,3194020
2019-11-13,2019,11,13,port540,Kandla,India,IND,1,1,1,0,3,3,6,0,21004,6792,0,15716,27797,43513,16656,13269,0,0,34583,29925,64509,3194021
2021-01-06,2021,1,6,port540,Kandla,India,IND,1,0,1,0,4,2,6,0,0,14357,0,17685,14357,32043,1558,0,0,0,421,1558,1980,3194022
2021-01-07,2021,1,7,port540,Kandla,India,IND,1,0,1,0,2,2,4,0,0,1901,0,48631,1901,50532,15861,0,0,0,0,15861,15861,3194023
2021-01-08,2021,1,8,port540,Kandla,India,IND,0,1,2,0,5,3,8,0,0,6748,0,67294,6748,74043,0,43780,5936,0,32880,49717,82598,3194024
