date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-01-31,2020,1,31,port541,Kaohsiung,Taiwan Province of China,TWN,23,4,5,0,13,32,45,68951,114770,14816,0,6663,198537,205201,213806,15618,9036,0,70307,238461,308769,2880001
2020-02-01,2020,2,1,port541,Kaohsiung,Taiwan Province of China,TWN,22,1,3,1,5,27,32,224443,0,1228,2161,83282,227833,311116,122141,397,9970,0,3344,132509,135854,2880002
2020-02-02,2020,2,2,port541,Kaohsiung,Taiwan Province of China,TWN,15,4,3,0,3,22,25,55203,169806,6856,0,0,231865,231865,114883,0,1256,0,36227,116139,152367,2880003
2020-02-03,2020,2,3,port541,Kaohsiung,Taiwan Province of China,TWN,14,0,3,0,1,17,18,75700,0,965,0,0,76666,76666,144697,0,3226,0,1046,147924,148970,2880004
2020-02-04,2020,2,4,port541,Kaohsiung,Taiwan Province of China,TWN,12,5,1,0,9,18,27,88599,171965,1228,0,3956,261793,265750,226999,1153,1617,0,50148,229770,279919,2880005
2020-02-05,2020,2,5,port541,Kaohsiung,Taiwan Province of China,TWN,24,5,5,0,8,34,42,107003,42082,14199,0,9993,163285,173278,136500,48218,8198,0,6327,192917,199245,2880006
2020-02-06,2020,2,6,port541,Kaohsiung,Taiwan Province of China,TWN,14,2,8,0,6,24,30,235535,25465,10142,0,26910,271143,298054,55774,0,10718,0,34616,66492,101108,2880007
2020-02-07,2020,2,7,port541,Kaohsiung,Taiwan Province of China,TWN,28,8,3,0,5,39,44,341327,189557,3475,0,9290,534360,543650,273400,22185,1356,0,286,296942,297229,2880008
2020-02-08,2020,2,8,port541,Kaohsiung,Taiwan Province of China,TWN,26,3,3,1,10,33,43,160651,75473,1228,0,21855,237354,259210,98539,5966,10528,0,40033,115035,155068,2880009
2020-02-09,2020,2,9,port541,Kaohsiung,Taiwan Province of China,TWN,17,6,8,0,5,31,36,13722,252854,18044,0,7291,284620,291912,190404,4306,16052,0,20838,210763,231602,2880010
2020-02-10,2020,2,10,port541,Kaohsiung,Taiwan Province of China,TWN,12,6,6,0,3,24,27,8697,63043,1975,0,4506,73716,78223,116238,62280,10033,0,4128,188552,192680,2880011
2020-02-11,2020,2,11,port541,Kaohsiung,Taiwan Province of China,TWN,15,3,6,0,8,24,32,129405,80158,8091,0,7349,217654,225003,102604,0,3648,0,71915,106253,178168,2880012
2020-02-12,2020,2,12,port541,Kaohsiung,Taiwan Province of China,TWN,21,4,6,1,5,32,37,158852,28213,5202,0,11003,192268,203272,126717,31041,5625,0,28783,163384,192167,2880013
2020-02-13,2020,2,13,port541,Kaohsiung,Taiwan Province of China,TWN,23,4,4,0,8,31,39,265401,213527,2562,0,27396,481492,508889,160815,8612,3832,0,4884,173260,178145,2880014
2020-02-14,2020,2,14,port541,Kaohsiung,Taiwan Province of China,TWN,28,5,8,0,5,41,46,338758,109986,19065,0,8246,467810,476057,177209,47655,7991,0,2512,232856,235369,2880015
2020-02-15,2020,2,15,port541,Kaohsiung,Taiwan Province of China,TWN,24,5,4,2,7,35,42,132848,148886,6772,597,6294,289105,295399,93752,0,8788,120,25101,102661,127763,2880016
2020-02-16,2020,2,16,port541,Kaohsiung,Taiwan Province of China,TWN,18,7,8,0,7,33,40,121941,98756,16451,0,29439,237148,266588,62867,31430,12866,0,65822,107164,172986,2880017
2020-02-17,2020,2,17,port541,Kaohsiung,Taiwan Province of China,TWN,16,6,4,0,6,26,32,68069,75872,2057,0,44780,145999,190780,134838,10141,11453,0,18390,156433,174824,2880018
2020-02-18,2020,2,18,port541,Kaohsiung,Taiwan Province of China,TWN,15,4,4,0,6,23,29,103341,210607,0,0,21231,313948,335179,105155,0,18819,0,46915,123974,170890,2880019
2020-02-19,2020,2,19,port541,Kaohsiung,Taiwan Province of China,TWN,23,4,7,0,6,34,40,97081,35183,12715,0,19887,144979,164867,441579,5332,6569,0,21985,453480,475466,2880020
2020-02-20,2020,2,20,port541,Kaohsiung,Taiwan Province of China,TWN,26,2,4,0,7,32,39,455956,38509,3176,0,2838,497642,500481,127093,0,10626,0,38152,137720,175872,2880021
2020-02-21,2020,2,21,port541,Kaohsiung,Taiwan Province of China,TWN,31,7,1,0,6,39,45,288494,273730,203,0,6172,562429,568601,280173,3400,684,0,71845,284258,356104,2880022
2020-02-22,2020,2,22,port541,Kaohsiung,Taiwan Province of China,TWN,20,4,6,2,10,32,42,131523,92570,9125,0,11719,233219,244938,99129,4306,10376,349,43975,114162,158138,2880023
2020-02-23,2020,2,23,port541,Kaohsiung,Taiwan Province of China,TWN,22,2,6,0,2,30,32,135899,41256,2457,0,0,179614,179614,241750,2273,15541,0,614,259566,260180,2880024
2020-02-24,2020,2,24,port541,Kaohsiung,Taiwan Province of China,TWN,19,5,8,0,13,32,45,99986,49278,11839,0,21279,161105,182384,213963,48904,21154,0,45875,284022,329897,2880025
2020-02-25,2020,2,25,port541,Kaohsiung,Taiwan Province of China,TWN,16,5,3,0,6,24,30,100052,73154,2113,0,5681,175321,181003,62574,4306,7301,0,5267,74182,79450,2880026
2020-02-26,2020,2,26,port541,Kaohsiung,Taiwan Province of China,TWN,30,4,4,0,4,38,42,103525,127739,1228,0,3932,232493,236425,436609,0,10024,0,47931,446633,494565,2880027
2020-02-27,2020,2,27,port541,Kaohsiung,Taiwan Province of China,TWN,18,4,5,0,7,27,34,290221,56866,7149,0,51397,354237,405634,112307,11514,1702,0,99078,125524,224602,2880028
2020-02-28,2020,2,28,port541,Kaohsiung,Taiwan Province of China,TWN,32,3,8,0,4,43,47,268853,100947,8076,0,4247,377877,382124,271796,32548,19038,0,2512,323383,325895,2880029
2020-02-29,2020,2,29,port541,Kaohsiung,Taiwan Province of China,TWN,23,1,3,2,11,29,40,145260,8617,2670,1049,46988,157599,204587,55485,0,3530,0,42616,59016,101632,2880030
2020-03-01,2020,3,1,port541,Kaohsiung,Taiwan Province of China,TWN,24,4,4,0,6,32,38,137808,86218,12680,0,2195,236708,238904,164794,4306,1617,0,104091,170718,274810,2880031
2020-03-02,2020,3,2,port541,Kaohsiung,Taiwan Province of China,TWN,21,6,6,0,9,33,42,91574,150688,5909,0,15688,248172,263861,205382,4306,13361,0,49678,223050,272728,2880032
2020-03-03,2020,3,3,port541,Kaohsiung,Taiwan Province of China,TWN,18,7,7,0,4,32,36,68849,199537,5113,0,5174,273500,278675,269140,47172,8937,0,2012,325250,327263,2880033
2020-03-04,2020,3,4,port541,Kaohsiung,Taiwan Province of China,TWN,26,7,6,0,7,39,46,287455,104723,5797,0,15199,397975,413174,165338,31472,6641,0,5843,203452,209295,2880034
2020-03-05,2020,3,5,port541,Kaohsiung,Taiwan Province of China,TWN,19,5,5,0,6,29,35,302189,207585,8379,0,0,518154,518154,37396,0,7726,0,4341,45123,49464,2880035
2020-03-06,2020,3,6,port541,Kaohsiung,Taiwan Province of China,TWN,23,3,7,0,8,33,41,103416,20007,21887,0,21474,145310,166785,213402,8173,5538,0,27578,227115,254693,2880036
2020-03-07,2020,3,7,port541,Kaohsiung,Taiwan Province of China,TWN,23,3,3,2,6,31,37,268866,197740,2944,597,7295,470149,477444,131706,0,4352,120,84532,136179,220712,2880037
2020-03-08,2020,3,8,port541,Kaohsiung,Taiwan Province of China,TWN,25,5,7,0,5,37,42,101999,92880,6808,0,3444,201688,205132,239892,8612,20494,0,79782,268999,348782,2880038
2020-03-09,2020,3,9,port541,Kaohsiung,Taiwan Province of China,TWN,19,7,8,0,6,34,40,55148,174583,11119,0,1910,240851,242762,128395,1767,8523,0,62351,138686,201038,2880039
2020-03-10,2020,3,10,port541,Kaohsiung,Taiwan Province of China,TWN,20,4,5,0,7,29,36,132960,87437,3917,0,4076,224315,228391,193454,0,11472,0,3057,204927,207984,2880040
2020-03-11,2020,3,11,port541,Kaohsiung,Taiwan Province of China,TWN,23,3,5,0,6,31,37,445486,78127,530,0,3093,524144,527237,76396,0,4067,0,21400,80463,101864,2880041
2020-03-12,2020,3,12,port541,Kaohsiung,Taiwan Province of China,TWN,23,4,6,1,6,34,40,140679,280559,5119,812,6240,427171,433411,86555,31247,8817,0,43144,126620,169764,2880042
2020-03-13,2020,3,13,port541,Kaohsiung,Taiwan Province of China,TWN,26,5,5,0,11,36,47,150240,43663,3948,0,23194,197852,221047,249933,0,12576,0,47667,262510,310177,2880043
2020-03-14,2020,3,14,port541,Kaohsiung,Taiwan Province of China,TWN,21,5,6,2,8,34,42,146410,113663,6961,1195,13131,268230,281362,75808,4306,8613,241,2512,88970,91482,2880044
